store_id,store_name,store_name_english,score,review_cnt,tabelog_lunch_budget_min,tabelog_lunch_budget_max,tabelog_dinner_budget_min,tabelog_dinner_budget_max,customer_lunch_budget_min,customer_lunch_budget_max,customer_dinner_budget_min,customer_dinner_budget_max,genre,url,url_english,address,latitude,longitude,prefecture,address_english,prefecture_english,website
00000001,南インド料理 葉菜,hana,3.64,284,1000,1999,1000,1999,1000,1999,1000,1999,asia,https://tabelog.com/chiba/A1202/A120204/12012667/,https://tabelog.com/en/chiba/A1202/A120204/12012667/,千葉県八千代市勝田台1-13-32 MTビル １F,35.7145779,140.128057,千葉県,Katsutadai Yachiyo Chiba,Ciba,http://www.hana-india.com/
00000002,アルカラム,Al Karam,3.53,209,1000,1999,1000,1999,1000,1999,1000,1999,asia,https://tabelog.com/saitama/A1102/A110205/11021841/,https://tabelog.com/en/saitama/A1102/A110205/11021841/,埼玉県八潮市中央1-8-10,35.8208923,139.8383715,埼玉県,Central Yashio Saitama,Saitama,
00000003,タイ国料理レストラン コワタイ,taikokuryouriresutorankowatai,3.43,62,1000,1999,1000,1999,1000,1999,1000,1999,asia,https://tabelog.com/ibaraki/A0802/A080201/8019630/,https://tabelog.com/en/ibaraki/A0802/A080201/8019630/,茨城県つくば市南中妻826-5,36.0323956,140.1074408,茨城県,826-5 Minaminakazuma Tsukuba Ibaraki,Ibaraki,https://www.crostage.net
00000004,ヒマラヤユキノシタ,Himarayayukinoshita,3.49,107,1000,1999,1000,1999,1000,999,1000,999,asia,https://tabelog.com/chiba/A1203/A120301/12049220/,https://tabelog.com/en/chiba/A1203/A120301/12049220/,千葉県柏市旭町1-7-17 中山ビル 1F,35.8607449,139.9690066,千葉県,1-chome-7-17 Asahicho Kashiwa Chiba,Ciba,http://curryhouse-bombay.com/
00000005,湘南韓国料理GOKAN,shounanhambarugokan,3.52,145,1000,1999,5000,5999,1000,1999,5000,5999,asia,https://tabelog.com/kanagawa/A1404/A140403/14066068/,https://tabelog.com/en/kanagawa/A1404/A140403/14066068/,神奈川県藤沢市片瀬海岸1-13-12,35.3088968,139.4858252,神奈川県,1-chome-13-12 Katasekaigan Fujisawa Kanagawa,Kanagawa,
00000006,カルマ,Karuma,3.58,130,1000,1999,5000,5999,1000,1999,1000,1999,asia,https://tabelog.com/ibaraki/A0801/A080101/8000263/,https://tabelog.com/en/ibaraki/A0801/A080101/8000263/,茨城県水戸市中央2-8-10,36.3661755,140.4700121,茨城県,2 Chome-8-10 Central Mito Ibaraki,Ibaraki,
00000007,ボンベイ,BOMBAY INDIAN RESTAURANT,3.51,193,1000,999,1000,1999,1000,1999,1000,1999,asia,https://tabelog.com/kanagawa/A1408/A140802/14003773/,https://tabelog.com/en/kanagawa/A1408/A140802/14003773/,神奈川県厚木市水引1-17-17,35.4495228,139.3588304,神奈川県,Mizuhiki Atsugi Kanagawa,Kanagawa,
00000008,サンサール 本八幡店,Sansaru,3.50,159,1000,999,1000,1999,1000,1999,1000,1999,asia,https://tabelog.com/chiba/A1202/A120202/12038344/,https://tabelog.com/en/chiba/A1202/A120202/12038344/,千葉県市川市八幡2-7-11 岡ビル 2F,35.7216184,139.9284682,千葉県,2-chome-7-11 Yawata Ichikawa Chiba,Ciba,http://san-sar.info/
00000009,Spice Drunker やぶや,Spice Drunker　yabuya,3.73,76,1000,999,8000,9999,1000,1999,8000,9999,asia,https://tabelog.com/kanagawa/A1401/A140104/14082117/,https://tabelog.com/en/kanagawa/A1401/A140104/14082117/,神奈川県横浜市中区伊勢佐木町1-3-7 沼田ビル 3F,35.445128,139.6333393,神奈川県,1-chome-3-7 Isezakicho Naka Ward Yokohama Kanagawa,Kanagawa,
00000010,シナモンガーデン,CINNAMON GARDEN,3.63,316,1000,999,8000,9999,1000,1999,1000,1999,asia,https://tabelog.com/kanagawa/A1407/A140702/14055360/,https://tabelog.com/en/kanagawa/A1407/A140702/14055360/,神奈川県大和市林間2-22-19,35.4995959,139.4507909,神奈川県,2-chome-22-19 Rinkan Yamato Kanagawa,Kanagawa,https://cinnamon-garden.com/
00000011,しみず,Shimizu,3.73,126,1000,999,2000,2999,8000,9999,10000,14999,asia,https://tabelog.com/aichi/A2301/A230110/23037011/,https://tabelog.com/en/aichi/A2301/A230110/23037011/,愛知県名古屋市北区清水2丁目4-6 清水ビル１F,35.1869192,136.9136583,愛知県,2-chome-4-6 Shimizu Kita-ku Nagoya Aichi,Aichi,
00000012,ナマステキッチン,Namasutekicchin,3.29,41,1000,999,2000,2999,1000,1999,10000,14999,asia,https://tabelog.com/saitama/A1104/A110401/11037766/,https://tabelog.com/en/saitama/A1104/A110401/11037766/,埼玉県上尾市原市中3-1-1,35.9647691,139.623067,埼玉県,Haraichinaka Ageo Saitama,Saitama,
00000013,インド食堂 チャラカラ,indoshokudoucharakara,3.63,106,1000,999,2000,2999,1000,1999,1000,1999,asia,https://tabelog.com/gunma/A1001/A100101/10015770/,https://tabelog.com/en/gunma/A1001/A100101/10015770/,群馬県前橋市総社町総社2014-5 大山マンション 104,36.4042468,139.0328131,群馬県,2014-5 Sojamachi Soja Maebashi Gunma,Gunma,
00000014,サウンスンダ Hiroko,Saunsundahiroko,3.57,109,1000,1999,1000,1999,1000,1999,1000,1999,asia,https://tabelog.com/aichi/A2303/A230302/23063380/,https://tabelog.com/en/aichi/A2303/A230302/23063380/,愛知県長久手市北熊16,35.18143,137.0715716,愛知県,16 Kitaguma Nagakute Aichi,Aichi,https://www.facebook.com/saungsunda.nishijyawa/
00000015,三日月バル,Mikadukibaru,3.63,91,1000,1999,1000,1999,1000,1999,3000,3999,asia,https://tabelog.com/gifu/A2101/A210101/21013254/,https://tabelog.com/en/gifu/A2101/A210101/21013254/,岐阜県岐阜市住田町2-20,35.4111789,136.7578246,岐阜県,2-chome-20 Sumidamachi Gifu,Gifu,
00000016,カリカキッチン,Karikakicchin,3.55,71,1000,999,3000,3999,1000,1999,1000,1999,asia,https://tabelog.com/saitama/A1101/A110101/11051760/,https://tabelog.com/en/saitama/A1101/A110101/11051760/,埼玉県さいたま市大宮区桜木町4-209,35.9059888,139.61738,埼玉県,4-chome-209 Sakuragicho Ōmiya-ku Saitama,Saitama,
00000017,香膳,Kazen,3.51,91,2000,2999,4000,4999,2000,2999,3000,3999,asia,https://tabelog.com/aichi/A2301/A230114/23015025/,https://tabelog.com/en/aichi/A2301/A230114/23015025/,愛知県名古屋市守山区喜多山2-2-14,35.2053914,136.9875553,愛知県,2-chome-2-14 Kitayama Moriyama-ku Nagoya Aichi,Aichi,https://www.facebook.com/silkroad.kazen
00000018,Cao★マンガイ,Kaomangai,3.59,62,2000,2999,1000,1999,2000,2999,1000,1999,asia,https://tabelog.com/hokkaido/A0101/A010103/1052247/,https://tabelog.com/en/hokkaido/A0101/A010103/1052247/,北海道札幌市中央区南5条西4-1-3 日劇ビル 2F,43.05413009999999,141.3534679,北海道,Minami 5 Jonishi Chuo Ward Sapporo Hokkaido,Hokkaido,
00000019,きむち屋,Kimuchiya,3.47,90,1000,999,2000,2999,1000,1999,2000,2999,asia,https://tabelog.com/gunma/A1001/A100101/10014070/,https://tabelog.com/en/gunma/A1001/A100101/10014070/,群馬県前橋市元総社町2-20-10,36.3893552,139.0381875,群馬県,2-chome-20-10 Motosojamachi Maebashi Gunma,Gunma,http://mochuni.com/
00000020,ビンヤン,Binyan,3.71,236,1000,1999,2000,2999,1000,1999,1000,1999,asia,https://tabelog.com/aichi/A2301/A230105/23049561/,https://tabelog.com/en/aichi/A2301/A230105/23049561/,愛知県名古屋市中区正木4-6-10 羽衣ビル 1F,35.1432767,136.8981859,愛知県,Masaki Naka Ward Nagoya Aichi,Aichi,http://vietnam9cafe.com/
00000021,韓国家庭料理 扶餘,Kankokukateiryouripuyo,3.58,266,1000,999,3000,3999,1000,1999,3000,3999,asia,https://tabelog.com/miyagi/A0401/A040103/4002098/,https://tabelog.com/en/miyagi/A0401/A040103/4002098/,宮城県仙台市若林区新寺1-2-13 渡辺ビル　１Ｆ,38.2573259,140.8836324,宮城県,Shintera Wakabayashi Ward Sendai Miyagi,Miyagi,
00000022,印度料理シタール,Shitaru,3.77,1285,1000,1999,2000,2999,1000,1999,3000,3999,asia,https://tabelog.com/chiba/A1201/A120104/12000109/,https://tabelog.com/en/chiba/A1201/A120104/12000109/,千葉県千葉市花見川区検見川町1-106-16,35.6519304,140.0654134,千葉県,1-chome-106-16 Kemigawacho Hanamigawa-ku Chiba,Ciba,https://sitar.co.jp/
00000023,ナーガ・ラジャ,naga:raja,3.58,113,1000,1999,2000,2999,1000,1999,1000,1999,asia,https://tabelog.com/kanagawa/A1406/A140601/14003967/,https://tabelog.com/en/kanagawa/A1406/A140601/14003967/,神奈川県横須賀市久里浜4-3-15 メゾンドアヤ　１０２,35.2316049,139.7026051,神奈川県,Kurihama Yokosuka Kanagawa,Kanagawa,
00000024,インド・バングラデシュ料理 スターカリーハウス,STAR CURRY HOUSE,3.46,65,1000,1999,1000,999,1000,1999,1000,1999,asia,https://tabelog.com/saitama/A1102/A110202/11054085/,https://tabelog.com/en/saitama/A1102/A110202/11054085/,埼玉県蕨市塚越1-4-18,35.8274025,139.6917357,埼玉県,1-chome-4-18 Tsukagoshi Warabi Saitama,Saitama,
00000025,Salaam Curry,Salaam Curry,3.60,90,1000,1999,1000,999,1000,1999,1000,1999,asia,https://tabelog.com/gunma/A1002/A100202/10022154/,https://tabelog.com/en/gunma/A1002/A100202/10022154/,群馬県伊勢崎市柳原町54,36.3286141,139.1980821,群馬県,54 Yanagiharacho Isesaki Gunma,Gunma,https://salaam-curry.webnode.jp/
00000026,(食)越南,Betonamu,3.61,350,1000,1999,1000,999,1000,999,1000,1999,asia,https://tabelog.com/kanagawa/A1405/A140504/14011047/,https://tabelog.com/en/kanagawa/A1405/A140504/14011047/,神奈川県川崎市中原区上小田中3丁目27-10,35.5877605,139.6321987,神奈川県,3-chome-27-10 Kamikodanaka Nakahara-ku Kawasaki Kanagawa,Kanagawa,
00000027,ピアーズ 東浦和店,Piazu,3.47,96,1000,999,1000,1999,1000,1999,1000,1999,asia,https://tabelog.com/saitama/A1101/A110102/11028975/,https://tabelog.com/en/saitama/A1101/A110102/11028975/,埼玉県さいたま市緑区東浦和6-9-3 東浦和グルメ館 1F,35.8707619,139.7057216,埼玉県,6-chome-9-3 Higashiurawa Midori Ward Saitama,Saitama,
00000028,タージ・マハル,Taj Mahal,3.45,43,1000,999,1000,1999,1000,1999,1000,1999,asia,https://tabelog.com/ibaraki/A0802/A080201/8023792/,https://tabelog.com/en/ibaraki/A0802/A080201/8023792/,茨城県つくば市二の宮2-14-15,36.06311609999999,140.121537,茨城県,2-chome-14-15 Ninomiya Tsukuba Ibaraki,Ibaraki,
00000029,レストラン サダフ,Resutoransadafu,3.46,81,1000,999,1000,1999,1000,1999,2000,2999,asia,https://tabelog.com/chiba/A1204/A120402/12040017/,https://tabelog.com/en/chiba/A1204/A120402/12040017/,千葉県佐倉市吉見602-32,35.7084687,140.1867504,千葉県,602-32 Yoshimi Sakura Chiba,Ciba,
00000030,サティヤム,Sathiyamu,3.59,185,1000,999,1000,1999,1000,1999,2000,2999,asia,https://tabelog.com/saitama/A1101/A110102/11023701/,https://tabelog.com/en/saitama/A1101/A110102/11023701/,埼玉県さいたま市緑区道祖土1-27-10 サイドプラザ １F,35.8789739,139.6684483,埼玉県,1-chome-27-10 Saido Midori Ward Saitama,Saitama,http://satyam-s.com
00000031,テコテコ,Tekoteko,3.54,104,2000,2999,2000,2999,2000,2999,2000,2999,asia,https://tabelog.com/chiba/A1204/A120401/12002649/,https://tabelog.com/en/chiba/A1204/A120401/12002649/,千葉県成田市上町858-1,35.7802806,140.3153703,千葉県,858-1 Kamicho Narita Chiba,Ciba,http://teco-teco.jp/
00000032,ガネーシュ,Ganeshu,3.75,291,1000,1999,2000,2999,1000,1999,3000,3999,asia,https://tabelog.com/kanagawa/A1401/A140310/14012113/,https://tabelog.com/en/kanagawa/A1401/A140310/14012113/,神奈川県横浜市金沢区能見台通8-5,35.3608069,139.6281806,神奈川県,8-5 Nokendaidori Kanazawa-ku Yokohama Kanagawa,Kanagawa,http://www.ganesh.gr.jp/
00000033,ちきゅうや 本町本店,Chikyuuya,3.56,58,1000,999,2000,2999,1000,1999,1000,1999,asia,https://tabelog.com/iwate/A0301/A030101/3006055/,https://tabelog.com/en/iwate/A0301/A030101/3006055/,岩手県盛岡市本町通1-17-27 テンロードナカムラ２F,39.7058152,141.1526333,岩手県,1-chome-17-27 Honchodori Morioka Iwate,Iwate,http://chikyuuya.com
00000034,ジャド プール,Jhad Pul ,3.75,224,1000,1999,2000,2999,1000,1999,2000,2999,asia,https://tabelog.com/hokkaido/A0101/A010105/1046448/,https://tabelog.com/en/hokkaido/A0101/A010105/1046448/,北海道札幌市中央区南6西24-3-21 1F・2F,43.0500536,141.322556,北海道,24 Chome-3-21 Minami 6 Jonishi Chuo Ward Sapporo Hokkaido,Hokkaido,
00000035,ブラジル グリル,BRAZIL GRILL,3.57,38,1000,1999,5000,5999,1000,1999,3000,3999,asia,https://tabelog.com/gunma/A1001/A100102/10011057/,https://tabelog.com/en/gunma/A1001/A100102/10011057/,群馬県高崎市鞘町63-1 さやもーる通り,36.3254049,139.0060246,群馬県,63-1 Sayacho Takasaki Gunma,Gunma,https://brazilgrill-takasaki.com/
00000036,ニランカフェ,Nirankafe,3.47,101,0,999,2000,2999,0,999,3000,3999,asia,https://tabelog.com/saitama/A1102/A110202/11033908/,https://tabelog.com/en/saitama/A1102/A110202/11033908/,埼玉県戸田市本町4-4-16,35.8063714,139.6824601,埼玉県,4-chome-4-16 Honcho Toda Saitama,Saitama,https://nirancafe.com/
00000037,未来カレー こりす,Future Curry Koris,3.63,420,1000,999,2000,2999,1000,1999,1000,1999,asia,https://tabelog.com/hokkaido/A0101/A010103/1035490/,https://tabelog.com/en/hokkaido/A0101/A010103/1035490/,北海道札幌市中央区南3条西6 ARK36ビル 1F,43.055242,141.340692,北海道,Minami 3 Jonishi Chuo Ward Sapporo Hokkaido,Hokkaido,https://ja-jp.facebook.com/koriscurry
00000038,サイアム,SIAM,3.49,154,1000,999,2000,2999,1000,1999,2000,2999,asia,https://tabelog.com/hokkaido/A0101/A010204/1009201/,https://tabelog.com/en/hokkaido/A0101/A010204/1009201/,北海道札幌市西区琴似1条2丁目5-3 ハシモトビル 2F,43.0786087,141.3063734,北海道,2-chome-5-3 Kotoni 1 Jo Nishi-ku Sapporo Hokkaido,Hokkaido,http://www.hokkaidothai.com/
00000039,セイロン キッチン,Seironkicchin,3.47,62,1000,999,2000,2999,1000,1999,2000,2999,asia,https://tabelog.com/saitama/A1104/A110401/11054822/,https://tabelog.com/en/saitama/A1104/A110401/11054822/,埼玉県桶川市川田谷2817-17,36.00514,139.5670405,埼玉県,2817-17 Kawataya Okegawa Saitama,Saitama,
00000040,アユタヤ,Ayutaya,3.60,274,1000,999,2000,2999,1000,1999,1000,1999,asia,https://tabelog.com/chiba/A1202/A120201/12000203/,https://tabelog.com/en/chiba/A1202/A120201/12000203/,千葉県船橋市本町3-36-34 石井ビル 3F,35.6971124,139.9857794,千葉県,3-chome-36-34 Honcho Funabashi Chiba,Ciba,https://www.ayuthaya.info
00000041,南インド料理店 ボーディセナ,Minamiinndoryouritennbodexisena,3.59,354,1000,1999,3000,3999,1000,1999,2000,2999,asia,https://tabelog.com/kanagawa/A1401/A140104/14076991/,https://tabelog.com/en/kanagawa/A1401/A140104/14076991/,神奈川県横浜市中区住吉町3-28 新井ビル 1F,35.4464795,139.6376775,神奈川県,3-chome-28 Sumiyoshicho Naka-ku Yokohama Kanagawa,Kanagawa,
