store_id,store_name,store_name_english,score,review_cnt,tabelog_lunch_budget_min,tabelog_lunch_budget_max,tabelog_dinner_budget_min,tabelog_dinner_budget_max,customer_lunch_budget_min,customer_lunch_budget_max,customer_dinner_budget_min,customer_dinner_budget_max,genre,url,url_english,address,latitude,longitude,prefecture,address_english,prefecture_english,website
00000001,ネパリコ 渋谷店,NEPALICO,3.70,615,1000,1999,3000,3999,1000,1999,2000,2999,asia,https://tabelog.com/tokyo/A1303/A130301/13116418/,https://tabelog.com/en/tokyo/A1303/A130301/13116418/,東京都渋谷区桜丘町30-18 メイサ南平台 １Ｆ,35.6558157,139.6984566,東京都,30-18 Sakuragaokacho Shibuya City Tokyo-to,Tokyo,http://nepalico.com/
00000002,An Di,An Di,3.76,369,8000,9999,10000,14999,10000,14999,15000,19999,asia,https://tabelog.com/tokyo/A1306/A130603/13209346/,https://tabelog.com/en/tokyo/A1306/A130603/13209346/,東京都渋谷区神宮前3-42-12 1F,35.671913,139.7138955,東京都,3-chome-42-12 Jingumae Shibuya City Tokyo-to,Tokyo,http://andivietnamese.com/
00000003,マンダラ,mandara,3.65,863,1000,1999,3000,3999,1000,1999,1000,1999,asia,https://tabelog.com/tokyo/A1310/A131003/13000442/,https://tabelog.com/en/tokyo/A1310/A131003/13000442/,東京都千代田区神田神保町2-17 集英社共同ビル Ｂ１,35.6950841,139.7577409,東京都,2-chome-17 Kanda Jinbocho Chiyoda City Tokyo-to,Tokyo,http://www.westindia-group.com
00000004,フォーティン トーキョー,Pho Thin TOKYO,3.70,923,0,999,0,999,0,999,0,999,asia,https://tabelog.com/tokyo/A1305/A130501/13232077/,https://tabelog.com/en/tokyo/A1305/A130501/13232077/,東京都豊島区東池袋1-12-14 ハヤカワビル B1F,35.7294259,139.7146536,東京都,1-chome-12-14 Higashiikebukuro Toshima City Tokyo-to,Tokyo,https://phothin.co.jp/
00000005,HASUO,HASUO,3.60,208,4000,4999,10000,14999,2000,2999,10000,14999,asia,https://tabelog.com/tokyo/A1307/A130703/13227361/,https://tabelog.com/en/tokyo/A1307/A130703/13227361/,東京都渋谷区広尾5-10-3 フロストバード広尾 1F,35.6495128,139.7210419,東京都,5-chome-10-3 Hiroo Shibuya City Tokyo-to,Tokyo,https://www.instagram.com/newkoreanhasuo/
00000006,砂の岬,Sunanomisaki,3.70,455,1000,1999,10000,14999,2000,2999,5000,5999,asia,https://tabelog.com/tokyo/A1317/A131707/13120204/,https://tabelog.com/en/tokyo/A1317/A131707/13120204/,東京都世田谷区新町2-6-14,35.6309805,139.6504102,東京都,2-chome-6-14 Shinmachi Setagaya City Tokyo-to,Tokyo,https://sunareserve.official.ec/?fbclid=PAAabq_-6QzabBRDrReG13Zkdxq4ALyAOckOIy31aNO0OZYXIWiP1X0OIcQrk
00000007,アーンドラ・ダイニング 銀座,Andhra Dining GINZA,3.67,1384,1000,999,2000,2999,1000,1999,2000,2999,asia,https://tabelog.com/tokyo/A1301/A130101/13136701/,https://tabelog.com/en/tokyo/A1301/A130101/13136701/,東京都中央区銀座1-8-2 銀座プルミエビル２Ｆ,35.6745515,139.769096,東京都,1-chome-8-2 Ginza Chuo City Tokyo-to,Tokyo,https://ja-jp.facebook.com/andhradining
00000008,大岩食堂,Ooiwashokudou,3.62,336,1000,1999,2000,2999,1000,1999,2000,2999,asia,https://tabelog.com/tokyo/A1319/A131907/13171369/,https://tabelog.com/en/tokyo/A1319/A131907/13171369/,東京都杉並区西荻南3-24-1,35.7037467,139.6026121,東京都,3-chome-24-1 Nishiogiminami Suginami City Tokyo-to,Tokyo,https://oiwashokudo.jimdofree.com/
00000009,馬来風光美食,Maraifuukoubishoku,3.65,240,1000,1999,3000,3999,1000,1999,4000,4999,asia,https://tabelog.com/tokyo/A1319/A131906/13005578/,https://tabelog.com/en/tokyo/A1319/A131906/13005578/,東京都杉並区天沼2-3-7 ＳＡＫＡＩビルディング　Ｂ１Ｆ,35.7051565,139.6235632,東京都,2-chome-3-7 Amanuma Suginami City Tokyo-to,Tokyo,http://malayhu-ko.com/
00000010,カーン・ケバブ・ビリヤニ,KHAN KEBAB BIRYANI,3.70,1718,1000,999,3000,3999,1000,1999,5000,5999,asia,https://tabelog.com/tokyo/A1301/A130103/13170211/,https://tabelog.com/en/tokyo/A1301/A130103/13170211/,東京都中央区銀座8-8-11 銀座博品館 6F,35.6677914,139.7611249,東京都,8-chome-8-11 Ginza Chuo City Tokyo-to,Tokyo,
00000011,サンバレーホテル,SUNVALLEY HOTEL,3.67,190,1000,999,3000,3999,1000,1999,3000,3999,asia,https://tabelog.com/tokyo/A1317/A131706/13195313/,https://tabelog.com/en/tokyo/A1317/A131706/13195313/,東京都世田谷区上馬1-15-10 オリエント三軒茶屋ハウス1F,35.6382732,139.6673313,東京都,1-chome-15-10 Kamiuma Setagaya City Tokyo-to,Tokyo,
00000012,HOPPERS,HOPPERS,3.75,388,1000,1999,6000,7999,1000,1999,8000,9999,asia,https://tabelog.com/tokyo/A1302/A130203/13266235/,https://tabelog.com/en/tokyo/A1302/A130203/13266235/,東京都中央区日本橋兜町7-1 KABUTO ONE 1F,35.6811162,139.7782008,東京都,7 Nihonbashikabutocho Chuo City Tokyo,Tokyo,https://hoppers.jp/
