store_id,store_name,store_name_english,score,review_cnt,tabelog_lunch_budget_min,tabelog_lunch_budget_max,tabelog_dinner_budget_min,tabelog_dinner_budget_max,customer_lunch_budget_min,customer_lunch_budget_max,customer_dinner_budget_min,customer_dinner_budget_max,genre,url,url_english,address,latitude,longitude,prefecture,address_english,prefecture_english,website
00000001,DIAMOND BIRYANI,DIAMOND BIRYANI,3.72,445,1000,1999,1000,1999,1000,1999,1000,1999,asia,https://tabelog.com/osaka/A2701/A270101/27095755/,https://tabelog.com/en/osaka/A2701/A270101/27095755/,大阪府大阪市北区中津3-17-2,34.7111167,135.4935801,大阪府,3-chome-17-2 Nakatsu Kita-ku Osaka,Osaka,
00000002,まるか,Maruka,3.44,34,0,999,1000,999,0,999,1000,1999,asia,https://tabelog.com/tokushima/A3601/A360103/36004972/,https://tabelog.com/en/tokushima/A3601/A360103/36004972/,徳島県小松島市小松島町字新港29-4,34.0107634,134.588268,徳島県,Shinko-29-4 Komatsushimacho Komatsushima Tokushima,Tokushima,http://cat.ap.teacup.com/maruka/
00000003,インド・ネパール料理　ナラヤニ,Indoneparuryourinarayani,3.54,162,1000,1999,2000,2999,1000,1999,1000,1999,asia,https://tabelog.com/hyogo/A2803/A280301/28028744/,https://tabelog.com/en/hyogo/A2803/A280301/28028744/,兵庫県西宮市戸田町3-30 プロックスビル1F,34.7350193,135.3415879,兵庫県,3-30 Todacho Nishinomiya Hyogo,Hyogo,
00000004,ユズフザイハラール,Yuzufuzaihararu,3.56,41,1000,1999,2000,2999,1000,1999,1000,1999,asia,https://tabelog.com/fukuoka/A4001/A400201/40055138/,https://tabelog.com/en/fukuoka/A4001/A400201/40055138/,福岡県福岡市東区多の津1-13-1,33.6255145,130.4504393,福岡県,1-chome-13-1 Tanotsu Higashi-ku Fukuoka,Fukuoka,https://www.yousafzai.jp
00000005,大阪ハラールレストラン,Oosakahararuresutoran,3.68,213,1000,1999,1000,1999,1000,1999,1000,1999,asia,https://tabelog.com/osaka/A2701/A270407/27072992/,https://tabelog.com/en/osaka/A2701/A270407/27072992/,大阪府大阪市西淀川区大和田4-13-2,34.7084909,135.4448227,大阪府,4-chome-13-2 Ōwada Nishiyodogawa-ku Osaka,Osaka,http://osaka-halal-restaurant.jp/
00000006,わさんたらんか,Wasantaranka,3.44,28,1000,999,1000,1999,1000,1999,1000,1999,asia,https://tabelog.com/kumamoto/A4303/A430302/43012966/,https://tabelog.com/en/kumamoto/A4303/A430302/43012966/,熊本県玉名郡和水町江田302,32.9694798,130.5979857,熊本県,302 Eta Nagomi Tamana-gun Kumamoto,Kumamoto,
00000007,パビタラ,Pabitara,3.42,53,1000,999,1000,1999,1000,1999,1000,1999,asia,https://tabelog.com/fukuoka/A4008/A400804/40025137/,https://tabelog.com/en/fukuoka/A4008/A400804/40025137/,福岡県筑後市大字野町東原371-1,33.1998094,130.5012663,福岡県,371-1 Nomachi Chikugo Fukuoka,Fukuoka,
00000008,エルボラーチョ 大名店,Elborracho,3.56,157,1000,999,5000,5999,1000,1999,5000,5999,asia,https://tabelog.com/fukuoka/A4001/A400104/40004068/,https://tabelog.com/en/fukuoka/A4001/A400104/40004068/,福岡県福岡市中央区大名2-3-2 大名リバティー 2F,33.5881086,130.3915037,福岡県,2-chome-3-2 Daimyo Chuo-ku Fukuoka,Fukuoka,http://www.elborracho.com/
00000009,亜州食堂 チョウク,Ashuushokudouchouku,3.66,247,1000,1999,4000,4999,1000,1999,6000,7999,asia,https://tabelog.com/osaka/A2701/A270108/27015360/,https://tabelog.com/en/osaka/A2701/A270108/27015360/,大阪府大阪市福島区福島2-4-17,34.6932972,135.4862541,大阪府,2-chome-4-17 Fukushima Fukushima-ku Osaka,Osaka,https://chowk.hp.peraichi.com/
00000010,酒と女と鶏と麺,Saketoonnatotoritomen,3.57,81,1000,1999,15000,19999,1000,1999,15000,19999,asia,https://tabelog.com/osaka/A2701/A270101/27122020/,https://tabelog.com/en/osaka/A2701/A270101/27122020/,大阪府大阪市北区曽根崎新地1-5-21 松木興産ビル 8F,34.6982594,135.4988228,大阪府,Osaka Kita Ward Sonezakishinchi 1-chome−5−２１ 松木興産ビル,Osaka,http://saketori.jp
