store_id,store_name,store_name_english,score,review_cnt,url,url_english,address,prefecture,address_english,prefecture_english,website
00000001,パン樹 久遠,Panjukuon,3.64,431,https://tabelog.com/shizuoka/A2205/A220502/22002858/,https://tabelog.com/en/shizuoka/A2205/A220502/22002858/,静岡県熱海市田原本町7-3,静岡県,7-3 Tawarahoncho Atami Shizuoka,Shizuoka,https://atamikuwon.wixsite.com/kuwon
00000002,ムール ア・ラ ムール,Moulus a la Meule,3.72,285,https://tabelog.com/kanagawa/A1408/A140803/14035775/,https://tabelog.com/en/kanagawa/A1408/A140803/14035775/,神奈川県伊勢原市板戸645-5,神奈川県,645-5 Itado Isehara-shi Kanagawa,Kanagawa,http://moulusalameule.blog92.fc2.com/
00000003,アサカベーカリー 本町店,Asakabekari,3.67,224,https://tabelog.com/saitama/A1103/A110301/11006122/,https://tabelog.com/en/saitama/A1103/A110301/11006122/,埼玉県朝霞市本町2-21-36,埼玉県,2-chome-21-36 Honcho Asaka Saitama,Saitama,http://www.saitama-j.or.jp/syougyou/genki/shop/w3021_pan.html
00000004,天然酵母パン工房 KIBIYAベーカリー 段葛店,Come va? SHOP,3.68,274,https://tabelog.com/kanagawa/A1404/A140402/14004671/,https://tabelog.com/en/kanagawa/A1404/A140402/14004671/,神奈川県鎌倉市小町2丁目13-1,神奈川県,2-chome-13-1 Komachi Kamakura Kanagawa,Kanagawa,https://kibiyabakery.com/
00000005,バゲット ラビット,Baguette rabbit,3.67,316,https://tabelog.com/aichi/A2301/A230111/23058942/,https://tabelog.com/en/aichi/A2301/A230111/23058942/,愛知県名古屋市名東区社口1-916,愛知県,1-chome-916 Yashiroguchi Meito-ku Nagoya Aichi,Aichi,https://baguetterabbit.allhearts.company/
00000006,エコモ ベーカリー ヨコハマ モトマチ,ecomo Bakery YOKOHAMA MOTOMACHI,3.71,441,https://tabelog.com/kanagawa/A1401/A140105/14059688/,https://tabelog.com/en/kanagawa/A1401/A140105/14059688/,神奈川県横浜市中区元町1-13 元町プラザ 2F,神奈川県,1-chome-13 Motomachi Naka-ku Yokohama Kanagawa,Kanagawa,
00000007,モン・ペシェ・ミニョン,Mompesheminin,3.68,286,https://tabelog.com/kanagawa/A1404/A140402/14041555/,https://tabelog.com/en/kanagawa/A1404/A140402/14041555/,神奈川県鎌倉市雪ノ下4-3-17,神奈川県,Yukinoshita Kamakura Kanagawa,Kanagawa,https://bigot-tokyo.co.jp/
00000008,Le Supreme. 栄生本店,Le Supreme.,3.71,528,https://tabelog.com/aichi/A2301/A230113/23005960/,https://tabelog.com/en/aichi/A2301/A230113/23005960/,愛知県名古屋市中村区栄生町7-8,愛知県,7-8 Sakocho Nakamura Ward Nagoya Aichi,Aichi,
00000009,テトラ コンタ,TETRA CONTA,3.62,206,https://tabelog.com/aichi/A2301/A230104/23037293/,https://tabelog.com/en/aichi/A2301/A230104/23037293/,愛知県名古屋市東区白壁3-24-58 日興コーポラス 1F,愛知県,3-chome-24-58 Shirakabe Higashi-ku Nagoya Aichi,Aichi,http://tetraconta.blog133.fc2.com/
00000010,ブランジェリー ぱぴ・ぱん,Boulangerie Papi-Pain,3.67,367,https://tabelog.com/aichi/A2301/A230111/23004064/,https://tabelog.com/en/aichi/A2301/A230111/23004064/,愛知県名古屋市天白区植田3-1209-1 サンテラスタカギ　１Ｆ,愛知県,Ueda Tempaku Ward Nagoya Aichi,Aichi,http://www.papi-pain.jp/
00000011,トースト ネイバーフッド ベイカリー,TOAST neighborhood bakery,3.63,126,https://tabelog.com/kanagawa/A1401/A140106/14037517/,https://tabelog.com/en/kanagawa/A1401/A140106/14037517/,神奈川県横浜市中区本郷町1-25,神奈川県,1-chome-25 Hongocho Naka-ku Yokohama Kanagawa,Kanagawa,http://www.toastbakery.jp/
00000012,トツゼン ベーカーズ キッチン,Totsuzembekazukicchin,3.69,394,https://tabelog.com/kanagawa/A1401/A140204/14004443/,https://tabelog.com/en/kanagawa/A1401/A140204/14004443/,神奈川県横浜市港北区大倉山2-1-11,神奈川県,2-chome-1-11 Ōkurayama Kohoku Ward Yokohama Kanagawa,Kanagawa,
00000013,ベーカリー＆テーブル 東府や 足湯カフェ,be-kari-andote-burutoufuyaashiyukafe,3.63,426,https://tabelog.com/shizuoka/A2205/A220504/22021103/,https://tabelog.com/en/shizuoka/A2205/A220504/22021103/,静岡県伊豆市吉奈98 東府や Resort&Spa-Izu,静岡県,98 Yoshina Izu Shizuoka,Shizuoka,http://www.tfyjapan.com/bakery/
00000014,ベルグフェルド 鎌倉本店,Beruguferudo,3.64,188,https://tabelog.com/kanagawa/A1404/A140402/14006781/,https://tabelog.com/en/kanagawa/A1404/A140402/14006781/,神奈川県鎌倉市雪ノ下3-9-24,神奈川県,3-chome-3-9-24 Yukinoshita Kamakura Kanagawa,Kanagawa,http://bergfeld-kamakura.com
00000015,エグ・ヴィヴ,Aigues Vives,3.68,374,https://tabelog.com/hokkaido/A0106/A010601/1004949/,https://tabelog.com/en/hokkaido/A0106/A010601/1004949/,北海道小樽市忍路1-195,北海道,Oshoro Otaru Hokkaido,Hokkaido,
00000016,ブレッド＆サーカス,Burendoandosakasu,3.73,573,https://tabelog.com/kanagawa/A1410/A141002/14004024/,https://tabelog.com/en/kanagawa/A1410/A141002/14004024/,神奈川県足柄下郡湯河原町土肥4-2-16,神奈川県,4-chome-2-16 Doi Yugawara Ashigarashimo-gun Kanagawa,Kanagawa,http://www.breadandcircusjapan.com/
00000017,前田パン,Maedapan,3.68,141,https://tabelog.com/kanagawa/A1401/A140201/14041192/,https://tabelog.com/en/kanagawa/A1401/A140201/14041192/,神奈川県横浜市青葉区黒須田33-5 タウンコートあざみ野　１F,神奈川県,33-5 Kurosuda Aoba-ku Yokohama Kanagawa,Kanagawa,http://maedapan.web.fc2.com/
00000018,ドーレ,DORER,3.74,742,https://tabelog.com/kanagawa/A1401/A140101/14000421/,https://tabelog.com/en/kanagawa/A1401/A140101/14000421/,神奈川県横浜市西区北幸1-3-23 横浜ベイシェラトン ホテル＆タワーズ B1F,神奈川県,Kitasaiwai Nishi Ward Yokohama Kanagawa,Kanagawa,https://yokohama-bay-sheraton.jp/restaurants/dorer/
00000019,nico,Niko,3.68,246,https://tabelog.com/kanagawa/A1404/A140407/14054459/,https://tabelog.com/en/kanagawa/A1404/A140407/14054459/,神奈川県平塚市宮松町7-2 落合ビル 1F,神奈川県,7-2 Miyamatsucho Hiratsuka Kanagawa,Kanagawa,
00000020,ぱん吉,Pankichi,3.66,299,https://tabelog.com/hokkaido/A0101/A010101/1001468/,https://tabelog.com/en/hokkaido/A0101/A010101/1001468/,北海道札幌市北区北八条西4-18,北海道,Kita 8 Jonishi Kita Ward Sapporo Hokkaido,Hokkaido,
