store_id,store_name,store_name_english,score,review_cnt,tabelog_lunch_budget_min,tabelog_lunch_budget_max,tabelog_dinner_budget_min,tabelog_dinner_budget_max,customer_lunch_budget_min,customer_lunch_budget_max,customer_dinner_budget_min,customer_dinner_budget_max,genre,url,url_english,address,latitude,longitude,prefecture,address_english,prefecture_english,website
00000001,パーラー江古田,Paraekoda,3.85,884,1000,1999,1000,1999,1000,1999,1000,1999,bread,https://tabelog.com/tokyo/A1321/A132101/13185945/,https://tabelog.com/en/tokyo/A1321/A132101/13185945/,東京都練馬区栄町41-7,35.7398531,139.6710992,東京都,41-7 Sakaecho Nerima City Tokyo-to,Tokyo,https://parlour.base.shop/
00000002,モンシェール 東陽町工場,monshe-ru,3.74,757,1000,1999,1000,1999,1000,1999,1000,1999,bread,https://tabelog.com/tokyo/A1313/A131303/13024396/,https://tabelog.com/en/tokyo/A1313/A131303/13024396/,東京都江東区東陽5-24-10,35.6715127,139.8138471,東京都,5-chome-24-10 Toyo Koto City Tokyo-to,Tokyo,http://moncher.tokyo/
00000003,リベルテ・パティスリー・ブーランジェリー 東京本店・吉祥寺,Riberutepathisuriburanjeri,3.84,885,1000,1999,2000,2999,1000,1999,1000,1999,bread,https://tabelog.com/tokyo/A1320/A132001/13219660/,https://tabelog.com/en/tokyo/A1320/A132001/13219660/,東京都武蔵野市吉祥寺本町2-14-3,35.7058746,139.577309,東京都,2-chome-14-3 Kichijoji Honcho Musashino Tokyo-to,Tokyo,http://libertejapon.com/
00000004,カイソ,KAISO,3.73,357,,,,,,,,,bread,https://tabelog.com/tokyo/A1318/A131812/13129587/,https://tabelog.com/en/tokyo/A1318/A131812/13129587/,東京都世田谷区代沢5-6-15,35.6557356,139.6670793,東京都,5-chome-6-15 Daizawa Setagaya City Tokyo-to,Tokyo,
00000005,ポワンタージュ,pointage,3.78,1159,1000,1999,,,1000,1999,,,bread,https://tabelog.com/tokyo/A1307/A130702/13004566/,https://tabelog.com/en/tokyo/A1307/A130702/13004566/,東京都港区麻布十番3-3-10,35.6536365,139.7356445,東京都,Azabujuban Minato City Tokyo,Tokyo,
00000006,ブーランジェリーブルディガラ 広尾本店,BURDIGALA,3.74,582,,,1000,1999,,,1000,1999,bread,https://tabelog.com/tokyo/A1307/A130703/13000523/,https://tabelog.com/en/tokyo/A1307/A130703/13000523/,東京都港区南麻布4-5-66,35.6511293,139.7237414,東京都,Minamiazabu Minato City Tokyo,Tokyo,http://www.burdigala.co.jp/
00000007,パン工房 ブランジェリーケン,BOULANGERIE KEN,3.74,678,,,,,,,,,bread,https://tabelog.com/tokyo/A1322/A132204/13046260/,https://tabelog.com/en/tokyo/A1322/A132204/13046260/,東京都板橋区赤塚2-2-17 東永地産ビル　１Ｆ,35.77119709999999,139.6455579,東京都,2-chome-2-17 Akatsuka Itabashi City Tokyo-to,Tokyo,http://boulangerieken.itabashi-life.com/
00000008,ルヴァン 富ヶ谷店,Levain,3.77,768,,,,,,,,,bread,https://tabelog.com/tokyo/A1318/A131810/13001841/,https://tabelog.com/en/tokyo/A1318/A131810/13001841/,東京都渋谷区富ケ谷2-43-13,35.6676628,139.6857975,東京都,Tomigaya Shibuya City Tokyo,Tokyo,http://levain317.jugem.jp/
00000009,ジャン フランコ,Gian Franco,3.73,368,,,1000,1999,,,1000,1999,bread,https://tabelog.com/tokyo/A1317/A131707/13169306/,https://tabelog.com/en/tokyo/A1317/A131707/13169306/,東京都世田谷区用賀4-14-21,35.6287261,139.6348285,東京都,4-chome-14-21 Yoga Setagaya City Tokyo-to,Tokyo,http://www.gianfranco.jp/
00000010,俺のBakery 恵比寿,orenobe-kari-,3.73,1026,1000,1999,1000,1999,1000,1999,1000,1999,bread,https://tabelog.com/tokyo/A1303/A130302/13201307/,https://tabelog.com/en/tokyo/A1303/A130302/13201307/,東京都渋谷区恵比寿4-20-6 恵比寿ガーデンプレイス 時計広場,35.6424892,139.7138345,東京都,4-chome-20-6 Ebisu Shibuya City Tokyo-to,Tokyo,http://www.oreno.co.jp/restaurant/bakery_cafe_ebisu/
