store_id,store_name,store_name_english,score,review_cnt,tabelog_lunch_budget_min,tabelog_lunch_budget_max,tabelog_dinner_budget_min,tabelog_dinner_budget_max,customer_lunch_budget_min,customer_lunch_budget_max,customer_dinner_budget_min,customer_dinner_budget_max,genre,url,url_english,address,latitude,longitude,prefecture,address_english,prefecture_english,website
00000001,グランディール 下鴨店,Gurandhiru,3.52,321,,,,,,,,,bread,https://tabelog.com/kyoto/A2601/A260503/26002312/,https://tabelog.com/en/kyoto/A2601/A260503/26002312/,京都府京都市左京区下鴨梅ノ木町44 ロジェ下鴨 1F,35.0465973,135.7705189,京都府,44 Shimogamo Umenokicho Sakyo-ku Kyoto,Kyoto,https://grandir-kyoto.jp/
00000002,ル・シュクレクール,LE SUCRE-COEUR,3.76,910,1000,1999,1000,1999,1000,1999,1000,1999,bread,https://tabelog.com/osaka/A2701/A270101/27092018/,https://tabelog.com/en/osaka/A2701/A270101/27092018/,大阪府大阪市北区堂島浜1-2-1 新ダイビル 1F,34.6956963,135.4991341,大阪府,1-chome-2-1 Dojimahama Kita-ku Osaka,Osaka,https://lesucre-coeur.com/
00000003,泉北堂 本店,Sembokudou,3.55,445,1000,1999,1000,1999,1000,1999,1000,1999,bread,https://tabelog.com/osaka/A2705/A270501/27014335/,https://tabelog.com/en/osaka/A2705/A270501/27014335/,大阪府堺市南区和田東329-2,34.5034567,135.5055716,大阪府,329-2 Wadahigashi Minami-ku Sakai Osaka,Osaka,https://www.senbokudo.net/
00000004,ワルダー,Waruda,3.73,818,,,,,,,,,bread,https://tabelog.com/kyoto/A2601/A260201/26004637/,https://tabelog.com/en/kyoto/A2601/A260201/26004637/,京都府京都市中京区麩屋町六角下ル坂井町452 ハイマート・ふや町 1F,35.0070183,135.76589,京都府,Kyoto Nakagyo Ward Fuyacho Dori 六角下る 坂井町 452,Kyoto,
00000005,パンやきどころ RIKI,panyakidokororiki,3.74,843,,,,,,,,,bread,https://tabelog.com/hyogo/A2801/A280102/28038627/,https://tabelog.com/en/hyogo/A2801/A280102/28038627/,兵庫県神戸市中央区栄町通2-7-4 佐野達ビル 1F,34.6873557,135.1869804,兵庫県,2-chome-7-4 Sakaemachidori Chuo-ku Kobe Hyogo,Hyogo,
00000006,ラ・フルネ,La Fournee,3.71,308,,,,,,,,,bread,https://tabelog.com/osaka/A2701/A270102/27081942/,https://tabelog.com/en/osaka/A2701/A270102/27081942/,大阪府大阪市西区土佐堀1-4-2 西田ビル 1F,34.69045680000001,135.4931744,大阪府,1-chome-4-2 Tosabori Nishi-ku Osaka,Osaka,
00000007,ブーランジェ エス・カガワ,Boulanger S.KAGAWA,3.74,456,,,,,,,,,bread,https://tabelog.com/osaka/A2701/A270101/27059555/,https://tabelog.com/en/osaka/A2701/A270101/27059555/,大阪府大阪市北区中崎1-10-10 ソレイユ中崎 1F,34.7077497,135.5067993,大阪府,1-chome-10-10 Nakazaki Kita-ku Osaka,Osaka,http://skagawa77.blog65.fc2.com/
00000008,Pane Ho Maretta,panehomaretta,3.67,382,,,,,,,,,bread,https://tabelog.com/hyogo/A2801/A280102/28049237/,https://tabelog.com/en/hyogo/A2801/A280102/28049237/,兵庫県神戸市中央区下山手通5-1-1 興栄ビル 1F,34.6899948,135.1850237,兵庫県,5-chome-1-1 Shimoyamatedori Chuo-ku Kobe Hyogo,Hyogo,https://homaretta.wixsite.com/kobe
00000009,un peu de,Ampudo,3.66,192,,,,,,,,,bread,https://tabelog.com/hyogo/A2801/A280105/28025630/,https://tabelog.com/en/hyogo/A2801/A280105/28025630/,兵庫県神戸市東灘区森南町1-11-11,34.7293407,135.2920172,兵庫県,1-chome-11-11 Moriminamimachi Higashinada-ku Kobe Hyogo,Hyogo,
00000010,フロインドリーブ 生田店,FREUNDLIEB,3.68,231,,,,,,,,,bread,https://tabelog.com/hyogo/A2801/A280101/28000106/,https://tabelog.com/en/hyogo/A2801/A280101/28000106/,兵庫県神戸市中央区生田町4-6-15 １Ｆ,34.7007905,135.1951759,兵庫県,4-chome-6-15 Ikutacho Chuo-ku Kobe Hyogo,Hyogo,http://freundlieb.jp/
