store_id,store_name,store_name_english,score,review_cnt,tabelog_lunch_budget_min,tabelog_lunch_budget_max,tabelog_dinner_budget_min,tabelog_dinner_budget_max,customer_lunch_budget_min,customer_lunch_budget_max,customer_dinner_budget_min,customer_dinner_budget_max,genre,url,url_english,address,latitude,longitude,prefecture,address_english,prefecture_english,website
00000001,シルクロードガーデン,SILKROAD GARDEN,3.67,179,6000,7999,10000,14999,6000,7999,10000,14999,chinese,https://tabelog.com/chiba/A1202/A120203/12002798/,https://tabelog.com/en/chiba/A1202/A120203/12002798/,千葉県浦安市舞浜1-13 東京ディズニー・シーホテルミラコスタ,35.6272723,139.8878297,千葉県,３-1-13 Maihama Urayasu Chiba,Ciba,http://www.disneyhotels.jp/dhm/restaurant/silk.html
00000002,榮林 軽井沢店,Eirin,3.68,168,2000,2999,10000,14999,2000,2999,6000,7999,chinese,https://tabelog.com/nagano/A2003/A200301/20000154/,https://tabelog.com/en/nagano/A2003/A200301/20000154/,長野県北佐久郡軽井沢町軽井沢1151-3,36.3503539,138.6345491,長野県,Kyukaruizawa-1151-3 Karuizawa Kitasaku-gun Nagano,Nagano,https://eirin-official.jp/
00000003,家庭中華料理 しんちゃん,kateichuukaryourishinchan,3.53,32,2000,2999,10000,14999,1000,1999,6000,7999,chinese,https://tabelog.com/ibaraki/A0803/A080302/8008463/,https://tabelog.com/en/ibaraki/A0803/A080302/8008463/,茨城県つくば市宝陽台18-8,35.9798543,140.1258255,茨城県,18-8 Hoyodai Tsukuba Ibaraki,Ibaraki,
00000004,四川 China 八兵衛,shisenchainahachibee,3.68,279,1000,1999,3000,3999,1000,1999,2000,2999,chinese,https://tabelog.com/aichi/A2303/A230302/23032100/,https://tabelog.com/en/aichi/A2303/A230302/23032100/,愛知県日進市岩崎町大塚42-3 エターナルビル　1F,35.1441278,137.0425479,愛知県,Ōtsuka-42-3 Iwasakicho Nisshin Aichi,Aichi,http://www.shisen-hachibei.com/
00000005,慶龍,Chinron,3.60,121,1000,1999,3000,3999,1000,1999,1000,1999,chinese,https://tabelog.com/chiba/A1202/A120201/12003459/,https://tabelog.com/en/chiba/A1202/A120201/12003459/,千葉県船橋市湊町3丁目6-24,35.6924127,139.9819268,千葉県,3-chome-6-24 Minatocho Funabashi Chiba,Ciba,
00000006,中山邸Labo,NakayamateLabo,3.62,31,5000,5999,8000,9999,6000,7999,10000,14999,chinese,https://tabelog.com/aichi/A2301/A230106/23078337/,https://tabelog.com/en/aichi/A2301/A230106/23078337/,愛知県名古屋市千種区仲田2-12-25 金子ビル 1F,35.1701319,136.9423701,愛知県,2-chome-12-25 Nakata Chikusa Ward Nagoya Aichi,Aichi,
00000007,Joe'skitchen,jo-zukicchin,3.84,90,5000,5999,20000,29999,6000,7999,20000,29999,chinese,https://tabelog.com/aichi/A2301/A230103/23000564/,https://tabelog.com/en/aichi/A2301/A230103/23000564/,愛知県名古屋市中区丸の内3-9-19 正起ビル 1F,35.1756475,136.9045655,愛知県,3-chome-9-19 Marunouchi Naka-ku Nagoya Aichi,Aichi,
00000008,中国四川酒家 蔓山,chuugokushisenshukamanzan,3.99,283,5000,5999,8000,9999,1000,1999,10000,14999,chinese,https://tabelog.com/chiba/A1201/A120102/12020350/,https://tabelog.com/en/chiba/A1201/A120102/12020350/,千葉県千葉市花見川区幕張本郷6-25-4 マリオット本郷 1F,35.6740411,140.0440128,千葉県,6-chome-25-4 Makuharihongo Hanamigawa-ku Chiba,Ciba,http://www.manzan4000.com/
00000009,第一亭,Daiichitei,3.67,1039,1000,1999,1000,1999,1000,1999,1000,1999,chinese,https://tabelog.com/kanagawa/A1401/A140102/14004194/,https://tabelog.com/en/kanagawa/A1401/A140102/14004194/,神奈川県横浜市中区日ノ出町1-20,35.4456075,139.6281049,神奈川県,1-chome-20 Hinodecho Naka-ku Yokohama Kanagawa,Kanagawa,
00000010,MASA'S KITCHEN 名古屋JRゲートタワー,MASA'S KITCHEN,3.66,363,1000,1999,6000,7999,2000,2999,10000,14999,chinese,https://tabelog.com/aichi/A2301/A230101/23063252/,https://tabelog.com/en/aichi/A2301/A230101/23063252/,愛知県名古屋市中村区名駅1-1-3 JR ゲートタワー12F ゲートタワープラザレストラン街,35.1708374,136.882869,愛知県,1-chome-1-3 Meieki Nakamura Ward Nagoya Aichi,Aichi,https://www.masas-kitchen.com/jp/nagoya/
00000011,獅門酒楼,Shimonshurou,3.59,674,1000,1999,4000,4999,1000,1999,6000,7999,chinese,https://tabelog.com/kanagawa/A1401/A140105/14007196/,https://tabelog.com/en/kanagawa/A1401/A140105/14007196/,神奈川県横浜市中区山下町145,35.4431427,139.6450697,神奈川県,145 Yamashitacho Naka-ku Yokohama Kanagawa,Kanagawa,https://www.shimonsyuro.com/
00000012,中国料理 天廣堂,chuugokuryouritenkoudou,3.56,135,1000,1999,6000,7999,1000,1999,6000,7999,chinese,https://tabelog.com/chiba/A1203/A120302/12032118/,https://tabelog.com/en/chiba/A1203/A120302/12032118/,千葉県松戸市松戸1339-1,35.7815837,139.9010973,千葉県,1339-1 Matsudo Chiba,Ciba,http://tenkoudou.net
