store_id,store_name,store_name_english,score,review_cnt,tabelog_lunch_budget_min,tabelog_lunch_budget_max,tabelog_dinner_budget_min,tabelog_dinner_budget_max,customer_lunch_budget_min,customer_lunch_budget_max,customer_dinner_budget_min,customer_dinner_budget_max,genre,url,url_english,address,latitude,longitude,prefecture,address_english,prefecture_english,website
00000001,龍口酒家 本店,Ronkouchuucha,3.70,535,1000,1999,6000,7999,1000,1999,10000,14999,chinese,https://tabelog.com/tokyo/A1318/A131807/13004350/,https://tabelog.com/en/tokyo/A1318/A131807/13004350/,東京都渋谷区幡ケ谷1-3-1 幡ヶ谷ゴールデンセンター　Ｂ１Ｆ,35.6767844,139.6761032,東京都,1-chome-3-1 Hatagaya Shibuya City Tokyo-to,Tokyo,
00000002,ワキヤ 一笑美茶樓,Wakiyaichiemicharou,3.71,399,10000,14999,30000,39999,10000,14999,30000,39999,chinese,https://tabelog.com/tokyo/A1308/A130801/13005033/,https://tabelog.com/en/tokyo/A1308/A130801/13005033/,東京都港区赤坂6-11-10,35.6696829,139.7347624,東京都,6-chome-11-10 Akasaka Minato City Tokyo-to,Tokyo,https://www.wakiya.co.jp/restaurants/ichiemi/
00000003,メゾン・ド・ユーロン,Maison de YULONG,3.77,499,6000,7999,20000,29999,6000,7999,20000,29999,chinese,https://tabelog.com/tokyo/A1308/A130801/13002871/,https://tabelog.com/en/tokyo/A1308/A130801/13002871/,東京都港区赤坂4-13-18,35.67293799999999,139.7318225,東京都,4-chome-13-18 Akasaka Minato City Tokyo-to,Tokyo,https://www.yulong.jp/
00000004,52,Goni,3.74,417,6000,7999,6000,7999,6000,7999,5000,5999,chinese,https://tabelog.com/tokyo/A1307/A130701/13150543/,https://tabelog.com/en/tokyo/A1307/A130701/13150543/,東京都港区六本木4-6-4 第５一越ビル 2F,35.664513,139.7325259,東京都,Roppongi Minato City Tokyo,Tokyo,
00000005,西亀有 ギャラリー,nishikamearigyarari-,3.63,137,1000,1999,5000,5999,2000,2999,6000,7999,chinese,https://tabelog.com/tokyo/A1324/A132403/13231088/,https://tabelog.com/en/tokyo/A1324/A132403/13231088/,東京都葛飾区西亀有2-45-16 1-2F,35.7594756,139.8358226,東京都,2 Chome-45 Kameari Katsushika City Tokyo,Tokyo,https://kiseki-gallery.com/
00000006,黒猫夜 六本木店,Kuronekoyoru,3.68,690,1000,1999,6000,7999,1000,1999,6000,7999,chinese,https://tabelog.com/tokyo/A1307/A130701/13115202/,https://tabelog.com/en/tokyo/A1307/A130701/13115202/,東京都港区六本木4-9-1 佐竹ビル ４F,35.6639174,139.7325712,東京都,Roppongi Minato City Tokyo,Tokyo,http://kuronekoyoru.com/
00000007,礼華,Raika,3.65,500,1000,1999,10000,14999,1000,1999,15000,19999,chinese,https://tabelog.com/tokyo/A1304/A130402/13004304/,https://tabelog.com/en/tokyo/A1304/A130402/13004304/,東京都新宿区新宿1-3-12 壱丁目参番館　１Ｆ,35.6878012,139.7120898,東京都,Shinjuku Shinjuku City Tokyo,Tokyo,https://www.rai-ka.com/shinjuku/
00000008,中国飯店 三田店,Chuugokuhanten,3.75,781,1000,1999,10000,14999,1000,1999,8000,9999,chinese,https://tabelog.com/tokyo/A1314/A131402/13003506/,https://tabelog.com/en/tokyo/A1314/A131402/13003506/,東京都港区芝5-13-18 いちご三田ビル 1F,35.6495265,139.744985,東京都,5-chome-13-18 Shiba Minato City Tokyo-to,Tokyo,http://www.chuugokuhanten.com/storemita/index.html
00000009,蜃気楼,Shinkirou,3.68,119,1000,1999,10000,14999,1000,1999,8000,9999,chinese,https://tabelog.com/tokyo/A1322/A132201/13008896/,https://tabelog.com/en/tokyo/A1322/A132201/13008896/,東京都板橋区板橋1-33-1,35.7479613,139.716983,東京都,1-chome-33-1 Itabashi Itabashi City Tokyo,Tokyo,
00000010,春秋,Shunjuu,3.67,95,1000,1999,20000,29999,1000,1999,20000,29999,chinese,https://tabelog.com/tokyo/A1307/A130703/13001307/,https://tabelog.com/en/tokyo/A1307/A130703/13001307/,東京都港区南青山7-14-5 針村ビル 1F,35.6568311,139.7179753,東京都,7-chome-14-5 Minamiaoyama Minato City Tokyo-to,Tokyo,http://shunju1986.com/
00000011,中国飯店 富麗華,FUREIKA,4.22,1800,3000,3999,10000,14999,10000,14999,40000,49999,chinese,https://tabelog.com/tokyo/A1307/A130702/13004967/,https://tabelog.com/en/tokyo/A1307/A130702/13004967/,東京都港区東麻布3-7-5,35.6562601,139.7385183,東京都,3-chome-7-5 Higashiazabu Minato City Tokyo-to,Tokyo,https://www.chuugokuhanten.com/store/fureika.html
00000012,広東料理 センス,kantonryourisensu,3.93,859,8000,9999,15000,19999,10000,14999,20000,29999,chinese,https://tabelog.com/tokyo/A1302/A130202/13020361/,https://tabelog.com/en/tokyo/A1302/A130202/13020361/,東京都中央区日本橋室町2-1-1 マンダリン オリエンタル 東京 37F,35.6870475,139.7730634,東京都,2-chome-1-1 Nihonbashimuromachi Chuo City Tokyo-to,Tokyo,http://www.mandarinoriental.co.jp/tokyo/dining/sense/
00000013,龍天門,Ryuutemmon,3.74,875,4000,4999,10000,14999,10000,14999,20000,29999,chinese,https://tabelog.com/tokyo/A1303/A130302/13004490/,https://tabelog.com/en/tokyo/A1303/A130302/13004490/,東京都目黒区三田1-4-1 ウェスティンホテル東京 2F,35.6415837,139.7154177,東京都,1-chome-4-1 Mita Meguro City Tokyo-to,Tokyo,http://www.ryutenmon.westin-tokyo.co.jp/jp/
00000014,ジュウバー,Jiubar,3.72,412,4000,4999,5000,5999,1000,1999,20000,29999,chinese,https://tabelog.com/tokyo/A1309/A130905/13207885/,https://tabelog.com/en/tokyo/A1309/A130905/13207885/,東京都新宿区神楽坂2-12 神楽坂ビル 3F,35.7015006,139.7402846,東京都,2-chome-12 Kagurazaka Shinjuku City Tokyo-to,Tokyo,
00000015,趙楊,Choyo,3.86,180,4000,4999,30000,39999,1000,1999,30000,39999,chinese,https://tabelog.com/tokyo/A1301/A130103/13172920/,https://tabelog.com/en/tokyo/A1301/A130103/13172920/,東京都港区新橋1-5-5 グランベル銀座ビル2   7F,35.6676314,139.7600767,東京都,1-chome-5-5 Shinbashi Minato City Tokyo-to,Tokyo,
00000016,マツシマ,Matsushima,3.66,87,4000,4999,10000,14999,1000,1999,8000,9999,chinese,https://tabelog.com/tokyo/A1318/A131811/13195689/,https://tabelog.com/en/tokyo/A1318/A131811/13195689/,東京都渋谷区上原1-35-6 第16菊地ビル B1F,35.6695127,139.6818652,東京都,1-chome-35-6 Uehara Shibuya City Tokyo-to,Tokyo,
00000017,珉亭,Mintei,3.49,1284,1000,1999,1000,1999,1000,1999,1000,1999,chinese,https://tabelog.com/tokyo/A1318/A131802/13001826/,https://tabelog.com/en/tokyo/A1318/A131802/13001826/,東京都世田谷区北沢2-8-8,35.6625927,139.6694984,東京都,2-chome-8-8 Kitazawa Setagaya City Tokyo-to,Tokyo,
00000018,港式料理 鴻禧,Koushikiryourikouki,3.87,52,1000,1999,20000,29999,1000,1999,20000,29999,chinese,https://tabelog.com/tokyo/A1308/A130802/13274319/,https://tabelog.com/en/tokyo/A1308/A130802/13274319/,東京都港区西新橋2-13-6 ミタニビル 1F,35.6667277,139.7515822,東京都,2-chome-13-6 Nishishinbashi Minato City Tokyo,Tokyo,https://koushiki-ryori.com
00000019,ミモザ,Mimosa,3.78,261,1000,1999,20000,29999,1000,1999,20000,29999,chinese,https://tabelog.com/tokyo/A1306/A130602/13197047/,https://tabelog.com/en/tokyo/A1306/A130602/13197047/,東京都港区南青山3-10-40 フィオラ南青山ビル 2F,35.6664928,139.7142703,東京都,Minamiaoyama Minato City Tokyo,Tokyo,
00000020,ヤウメイ,YAUMAY,3.74,777,3000,3999,8000,9999,10000,14999,10000,14999,chinese,https://tabelog.com/tokyo/A1301/A130102/13228215/,https://tabelog.com/en/tokyo/A1301/A130102/13228215/,東京都千代田区丸の内3-2-3 二重橋スクエア 2F,35.6778127,139.7613388,東京都,3-chome-2-3 Marunouchi Chiyoda City Tokyo-to,Tokyo,https://yaumay.squarespace.com/
00000021,北京遊膳,Beijing Yuzen,3.79,192,3000,3999,8000,9999,1000,1999,8000,9999,chinese,https://tabelog.com/tokyo/A1319/A131906/13001102/,https://tabelog.com/en/tokyo/A1319/A131906/13001102/,東京都杉並区荻窪5-24-7 富士ビル　２Ｆ,35.7038467,139.6199579,東京都,5-chome-24-7 Ogikubo Suginami City Tokyo-to,Tokyo,
00000022,福満苑 鼓楼,Fukumanenguro,3.70,176,1000,1999,5000,5999,1000,1999,4000,4999,chinese,https://tabelog.com/tokyo/A1322/A132202/13228727/,https://tabelog.com/en/tokyo/A1322/A132202/13228727/,東京都豊島区要町1-14-9,35.73430889999999,139.6993241,東京都,1-chome-14-9 Kanamecho Toshima City Tokyo-to,Tokyo,
00000023,farm studio #203,Farm studio #203,3.68,299,1000,1999,6000,7999,2000,2999,10000,14999,chinese,https://tabelog.com/tokyo/A1317/A131702/13236333/,https://tabelog.com/en/tokyo/A1317/A131702/13236333/,東京都目黒区鷹番2-20-4 学大十字街ビル 2F,35.6293426,139.6865846,東京都,2-chome-20-4 Takaban Meguro City Tokyo-to,Tokyo,
00000024,一平飯店,Ippeihanten,3.85,141,1000,1999,30000,39999,2000,2999,30000,39999,chinese,https://tabelog.com/tokyo/A1307/A130702/13268624/,https://tabelog.com/en/tokyo/A1307/A130702/13268624/,東京都港区元麻布3-12-41,35.6563428,139.7318165,東京都,3-chome-12-41 Motoazabu Minato City Tokyo,Tokyo,http://ippei-hanten.com/
00000025,4000 Chinese Restaurant,yonsenchaini-zuresutoran,4.13,318,15000,19999,30000,39999,20000,29999,40000,49999,chinese,https://tabelog.com/tokyo/A1307/A130703/13229559/,https://tabelog.com/en/tokyo/A1307/A130703/13229559/,東京都港区南青山7-10-10 パークアクシス南青山7丁目 1F,35.65888169999999,139.7186836,東京都,7-chome-10-10 Minamiaoyama Minato City Tokyo-to,Tokyo,https://minamiaoyama4000.jp/
00000026,赤坂璃宮 赤坂本店,Akasakarikyuu,3.68,446,2000,2999,10000,14999,10000,14999,20000,29999,chinese,https://tabelog.com/tokyo/A1308/A130801/13005028/,https://tabelog.com/en/tokyo/A1308/A130801/13005028/,東京都港区赤坂5-3-1 赤坂Bizタワー 2F,35.673049,139.7362794,東京都,5-chome-3-1 Akasaka 港区 Minato City Tokyo-to,Tokyo,http://www.rikyu.jp/akasaka.html
00000027,茶禅華,Sazenka,4.49,609,2000,2999,50000,59999,20000,29999,80000,99999,chinese,https://tabelog.com/tokyo/A1307/A130703/13205298/,https://tabelog.com/en/tokyo/A1307/A130703/13205298/,東京都港区南麻布4-7-5,35.6495943,139.7283407,東京都,Minamiazabu Minato City Tokyo,Tokyo,http://sazenka.com/
