store_id,store_name,store_name_english,score,review_cnt,url,url_english,address,prefecture,address_english,prefecture_english,website
00000001,福龍園,Fukuryuuen,3.70,341,https://tabelog.com/osaka/A2701/A270103/27002221/,https://tabelog.com/en/osaka/A2701/A270103/27002221/,大阪府大阪市北区天満4-16-8 ハイツ天満宮　１Ｆ,大阪府,4-chome-16-8 Tenma Kita-ku Osaka,Osaka,
00000002,Bullet,baretto,3.65,169,https://tabelog.com/osaka/A2701/A270102/27067203/,https://tabelog.com/en/osaka/A2701/A270102/27067203/,大阪府大阪市西区江戸堀1-9-13 NEXAS HIGOBASHI 1F,大阪府,1-chome-9-13 Edobori Nishi-ku Osaka,Osaka,http://www.bullet0725.com/
00000003,東天閣 神戸本店,Toutenkaku,3.60,152,https://tabelog.com/hyogo/A2801/A280102/28000884/,https://tabelog.com/en/hyogo/A2801/A280102/28000884/,兵庫県神戸市中央区山本通3-14-18,兵庫県,3-chome-14-18 Yamamotodori Chuo-ku Kobe Hyogo,Hyogo,https://www.totenkaku.com/
00000004,老虎菜 オーキッドコート店,raofu-tsuxai,3.71,150,https://tabelog.com/hyogo/A2801/A280106/28041421/,https://tabelog.com/en/hyogo/A2801/A280106/28041421/,兵庫県神戸市東灘区西岡本2-7-3 オーキッドコート右峯館 1F,兵庫県,2-chome-7-3 Nishiokamoto Higashinada-ku Kobe Hyogo,Hyogo,https://www.lao-fuu-tsaii.co.jp/
00000005,広東料理　翡翠廳,Kantonryourihisuichou,3.62,42,https://tabelog.com/kagoshima/A4601/A460101/46001272/,https://tabelog.com/en/kagoshima/A4601/A460101/46001272/,鹿児島県鹿児島市新照院町41番1号 SHIROYAMA HOTEL kagoshima 3F,鹿児島県,41-1 Shinshoincho Kagoshima,Kagoshima,https://www.shiroyama-g.co.jp/restaurant/hisui/
00000006,中華 本田,Chuukahonda,3.56,21,https://tabelog.com/kagawa/A3701/A370101/37010131/,https://tabelog.com/en/kagawa/A3701/A370101/37010131/,香川県高松市磨屋町1-7 森ビル 1F,香川県,1-7 Togiyamachi Takamatsu Kagawa,Kagawa,http://chukahonda.com/
00000007,四川飯店 博多,Shisenhanten,3.52,283,https://tabelog.com/fukuoka/A4001/A400101/40026378/,https://tabelog.com/en/fukuoka/A4001/A400101/40026378/,福岡県福岡市博多区博多駅中央街1-1 JR博多シティ 10F,福岡県,1-1 Hakataekichuogai Hakata-ku Fukuoka,Fukuoka,http://www.sisen.jp/hakata/
00000008,中国料理 响鈴,Chuugokuryourishanrin,3.59,39,https://tabelog.com/toyama/A1603/A160301/16000726/,https://tabelog.com/en/toyama/A1603/A160301/16000726/,富山県中新川郡上市町正印新上谷55,富山県,Toyama Nakaniikawa District Kamiichi Shoinshin 上谷５５,Toyama,
00000009,ライオン飯店,Raionhanten,3.65,553,https://tabelog.com/osaka/A2701/A270103/27009169/,https://tabelog.com/en/osaka/A2701/A270103/27009169/,大阪府大阪市北区池田町7-7 好きやねん天満ビル　１Ｆ,大阪府,7-7 Ikedacho Kita-ku Osaka,Osaka,
00000010,神龍,XENLON,3.48,129,https://tabelog.com/tokushima/A3602/A360201/36003856/,https://tabelog.com/en/tokushima/A3602/A360201/36003856/,徳島県阿南市羽ノ浦町宮倉芝生1-3,徳島県,Shibou-1-3 Hanouracho Miyagura Anan Tokushima,Tokushima,https://xenlon2010kojima.jimdofree.com/
