store_id,store_name,store_name_english,score,review_cnt,url,url_english,address,prefecture,address_english,prefecture_english,website
00000001,フレンチカレー スプーン,FRENCH CURRY SPOON,3.75,1000,https://tabelog.com/tokyo/A1319/A131907/13093699/,https://tabelog.com/en/tokyo/A1319/A131907/13093699/,東京都杉並区松庵3-38-19 リヴェール西荻　1F,東京都,3-chome-38-19 Shoan Suginami City Tokyo-to,Tokyo,https://ameblo.jp/frenchcurryspoon/
00000002,ムルギー,Murugi,3.77,1536,https://tabelog.com/tokyo/A1303/A130301/13001732/,https://tabelog.com/en/tokyo/A1303/A130301/13001732/,東京都渋谷区道玄坂2-19-2,東京都,2-chome-19-2 Dogenzaka Shibuya City Tokyo-to,Tokyo,https://murugi.co.jp/
00000003,ハルダモンカレー,Harudamonkare,3.83,340,https://tabelog.com/tokyo/A1318/A131811/13234284/,https://tabelog.com/en/tokyo/A1318/A131811/13234284/,東京都渋谷区上原1-33-12 ちとせビル 1F,東京都,1-chome-33-12 Uehara Shibuya City Tokyo-to,Tokyo,
00000004,ガンジー,Ganji,3.74,2490,https://tabelog.com/tokyo/A1304/A130401/13000880/,https://tabelog.com/en/tokyo/A1304/A130401/13000880/,東京都新宿区新宿3-17-21 第３ビル　２Ｆ,東京都,3-chome-17-21 Shinjuku Shinjuku City Tokyo-to,Tokyo,
00000005,ホットスプーン,Hot Spoon,3.74,1395,https://tabelog.com/tokyo/A1316/A131603/13024328/,https://tabelog.com/en/tokyo/A1316/A131603/13024328/,東京都品川区東五反田1-14-8 KCビル 1F,東京都,1-chome-14-8 Higashigotanda Shinagawa City Tokyo-to,Tokyo,http://hot-spoon.com/
00000006,インド風カリーライス すぱいす,indofuukari-raisusupaisu,3.76,792,https://tabelog.com/tokyo/A1319/A131906/13004379/,https://tabelog.com/en/tokyo/A1319/A131906/13004379/,東京都杉並区荻窪5-16-20,東京都,5-chome-16-20 Ogikubo Suginami City Tokyo-to,Tokyo,
00000007,本石亭,Hongokutei,3.80,729,https://tabelog.com/tokyo/A1302/A130202/13046781/,https://tabelog.com/en/tokyo/A1302/A130202/13046781/,東京都中央区日本橋本石町4-4-16,東京都,4-chome-4-16 Nihonbashihongokucho Chuo City Tokyo-to,Tokyo,
00000008,ガヴィアル,Gaviaru,3.78,2048,https://tabelog.com/tokyo/A1310/A131003/13000358/,https://tabelog.com/en/tokyo/A1310/A131003/13000358/,東京都千代田区神田神保町1-9 稲垣ビル 2Ｆ,東京都,1-chome-9 Kanda Jinbocho Chiyoda City Tokyo-to,Tokyo,http://gavial1982.com/
00000009,ビートイート,Beet eat,3.85,384,https://tabelog.com/tokyo/A1318/A131814/13196455/,https://tabelog.com/en/tokyo/A1318/A131814/13196455/,東京都世田谷区喜多見9-2-18 喜多見城和ハイツ B1F,東京都,9-chome-2-18 Kitami Setagaya City Tokyo-to,Tokyo,
00000010,スパイシーカリーハウス半月,supaishi-kari-hausuhangetsu,3.77,743,https://tabelog.com/tokyo/A1304/A130401/13211678/,https://tabelog.com/en/tokyo/A1304/A130401/13211678/,東京都新宿区西新宿7-6-9 コンフォート・セゾン 1F,東京都,Nishishinjuku Shinjuku City Tokyo,Tokyo,
00000011,かれーの店 うどん,kare-nomiseudon,3.75,1010,https://tabelog.com/tokyo/A1316/A131603/13004531/,https://tabelog.com/en/tokyo/A1316/A131603/13004531/,東京都品川区西五反田2-31-5,東京都,Nishigotanda Shinagawa City Tokyo,Tokyo,https://ameblo.jp/ozzyudon
00000012,カリーシュダ,Karishuda,3.74,447,https://tabelog.com/tokyo/A1302/A130203/13020472/,https://tabelog.com/en/tokyo/A1302/A130203/13020472/,東京都中央区新川1-9-9,東京都,1-chome-9-9 Shinkawa Chuo City Tokyo-to,Tokyo,http://www.1stop.co.jp/
00000013,Kalpasi,Kalpasi,3.90,373,https://tabelog.com/tokyo/A1318/A131813/13202529/,https://tabelog.com/en/tokyo/A1318/A131813/13202529/,東京都世田谷区経堂4-3-10 1F,東京都,4-chome-3-10 Kyodo Setagaya City Tokyo-to,Tokyo,
00000014,ラッフルズ カリー,raffles curry,3.70,440,https://tabelog.com/tokyo/A1311/A131101/13033116/,https://tabelog.com/en/tokyo/A1311/A131101/13033116/,東京都台東区台東4-29-10 第二さたけビル 1F,東京都,4-chome-29-10 Taito Taito City Tokyo-to,Tokyo,http://blog.goo.ne.jp/raffles_curry/
00000015,スパイシーカリーハウス 銀座半月,supaishi-kari-hausuginzahangetsu,3.71,846,https://tabelog.com/tokyo/A1301/A130101/13246897/,https://tabelog.com/en/tokyo/A1301/A130101/13246897/,東京都中央区銀座6-4-15 銀座数寄屋橋ビル 1F,東京都,6-chome-4-15 Ginza Chuo City Tokyo-to,Tokyo,
00000016,ホンカトリー,Honkatori,3.77,469,https://tabelog.com/tokyo/A1310/A131002/13210157/,https://tabelog.com/en/tokyo/A1310/A131002/13210157/,東京都文京区湯島2-7-9,東京都,2-chome-7-9 Yushima Bunkyo City Tokyo-to,Tokyo,
00000017,トプカ 神田本店,Topuka,3.79,1551,https://tabelog.com/tokyo/A1310/A131002/13000377/,https://tabelog.com/en/tokyo/A1310/A131002/13000377/,東京都千代田区神田須田町1-11 竹内ビル 1F,東京都,1-chome-11 Kanda Sudacho Chiyoda City Tokyo-to,Tokyo,https://www.topca.co.jp/
00000018,リッチなカレーの店 アサノ,ricchinakare-nomiseasano,3.76,1208,https://tabelog.com/tokyo/A1327/A132701/13006035/,https://tabelog.com/en/tokyo/A1327/A132701/13006035/,東京都町田市原町田4-5-19 町田仲見世飲食街,東京都,4-chome-5-19 Haramachida Machida Tokyo-to,Tokyo,
00000019,カレーライス専門店 ブラザー,Kareraisusemmontemburaza,3.81,933,https://tabelog.com/tokyo/A1305/A130503/13212319/,https://tabelog.com/en/tokyo/A1305/A130503/13212319/,東京都新宿区高田馬場2-19-7 タックイレブン1Ｆ,東京都,2-chome-19-7 Takadanobaba Shinjuku City Tokyo-to,Tokyo,
00000020,きんもち,Kimmochi,3.70,387,https://tabelog.com/tokyo/A1318/A131807/13009223/,https://tabelog.com/en/tokyo/A1318/A131807/13009223/,東京都新宿区西新宿3-9-1 西新宿ティーオービル 1F,東京都,Nishishinjuku Shinjuku City Tokyo,Tokyo,
00000021,東京らっきょブラザーズ,Toukyourakkyoburazazu,3.69,667,https://tabelog.com/tokyo/A1305/A130504/13040401/,https://tabelog.com/en/tokyo/A1305/A130504/13040401/,東京都新宿区馬場下町61-9 山口ビル　１Ｆ,東京都,61-9 Babashitacho Shinjuku City Tokyo-to,Tokyo,http://www.spicegogo.com/shop05.html
00000022,ライスカレー まんてん,raisukare-manten,3.72,1677,https://tabelog.com/tokyo/A1310/A131003/13000603/,https://tabelog.com/en/tokyo/A1310/A131003/13000603/,東京都千代田区神田神保町1-54,東京都,1-chome-54 Kanda Jinbocho Chiyoda City Tokyo-to,Tokyo,http://osietesite.com/gourmet/tokyo/yosyoku/cury/manten
00000023,ジャパニーズ スパイス カリー ワッカ,Japanese Spice Curry wacca,3.80,448,https://tabelog.com/tokyo/A1302/A130203/13254664/,https://tabelog.com/en/tokyo/A1302/A130203/13254664/,東京都中央区八丁堀2-19-7 庄司ビル 1F,東京都,2-chome-19-7 Hatchobori Chuo City Tokyo,Tokyo,
00000024,ムーンボウ,moonbow,3.73,377,https://tabelog.com/tokyo/A1304/A130403/13006570/,https://tabelog.com/en/tokyo/A1304/A130403/13006570/,東京都渋谷区代々木2-30-4 ヨシダペアランドＢ　１０２,東京都,2-chome-30-4 Yoyogi Shibuya City Tokyo-to,Tokyo,
00000025,ザ・カリ,The KARI,3.79,1129,https://tabelog.com/tokyo/A1301/A130103/13007129/,https://tabelog.com/en/tokyo/A1301/A130103/13007129/,東京都港区新橋5-31-7 中村ビル １Ｆ,東京都,5-chome-31-7 Shinbashi Minato City Tokyo-to,Tokyo,
