store_id,store_name,store_name_english,score,review_cnt,tabelog_lunch_budget_min,tabelog_lunch_budget_max,tabelog_dinner_budget_min,tabelog_dinner_budget_max,customer_lunch_budget_min,customer_lunch_budget_max,customer_dinner_budget_min,customer_dinner_budget_max,genre,url,url_english,address,latitude,longitude,prefecture,address_english,prefecture_english,website
00000001,ラール・エ・ラ・マニエール,Lart et la maniere,3.74,407,10000,14999,20000,29999,15000,19999,30000,39999,french,https://tabelog.com/tokyo/A1301/A130101/13095732/,https://tabelog.com/en/tokyo/A1301/A130101/13095732/,東京都中央区銀座3-4-17 オプティカ　Ｂ１Ｆ,35.6729894,139.7657471,東京都,3-chome-4-17 Ginza Chuo City Tokyo-to,Tokyo,https://lart.jp
00000002,ドミニク・ブシェ トーキョー,Dominique Bouchet Tokyo,3.75,277,10000,14999,20000,29999,20000,29999,30000,39999,french,https://tabelog.com/tokyo/A1301/A130101/13183610/,https://tabelog.com/en/tokyo/A1301/A130101/13183610/,東京都中央区銀座1-5-6 銀座レンガ通り福神ビル 2F,35.6748234,139.7673245,東京都,1-chome-5-6 Ginza Chuo City Tokyo-to,Tokyo,http://www.dominique-bouchet.jp
00000003,ラ・ブランシュ,La Blanche,3.96,438,10000,14999,20000,29999,15000,19999,15000,19999,french,https://tabelog.com/tokyo/A1303/A130301/13002111/,https://tabelog.com/en/tokyo/A1303/A130301/13002111/,東京都渋谷区渋谷2-3-1 青山ポニーハイム　２Ｆ,35.6599442,139.7088359,東京都,2-chome-3-1 Shibuya Shibuya City Tokyo-to,Tokyo,
00000004,ル スプートニク,Le sputnik,3.79,359,10000,14999,20000,29999,15000,19999,20000,29999,french,https://tabelog.com/tokyo/A1307/A130701/13184105/,https://tabelog.com/en/tokyo/A1307/A130701/13184105/,東京都港区六本木7-9-9 リッモーネ六本木1階,35.6644123,139.7298459,東京都,7-chome-7-9 Roppongi Minato City Tokyo-to,Tokyo,https://le-sputnik.jp/
00000005,オルグイユ,L'orgueil,3.76,153,20000,29999,20000,29999,10000,14999,30000,39999,french,https://tabelog.com/tokyo/A1306/A130603/13192399/,https://tabelog.com/en/tokyo/A1306/A130603/13192399/,東京都港区南青山4-3-23 オリエンタル南青山 201,35.6660891,139.7201999,東京都,4-chome-3-23 Minamiaoyama Minato City Tokyo-to,Tokyo,http://orgueil.net/
00000006,エディション・コウジ シモムラ,EdiTion Koji Shimomura,3.90,525,15000,19999,20000,29999,15000,19999,40000,49999,french,https://tabelog.com/tokyo/A1307/A130701/13042074/,https://tabelog.com/en/tokyo/A1307/A130701/13042074/,東京都港区六本木3-1-1 六本木ティーキューブ1F,35.6655427,139.7382225,東京都,Roppongi Minato City Tokyo,Tokyo,http://www.koji-shimomura.jp/
00000007,Ode,Ode,3.90,491,8000,9999,15000,19999,10000,14999,30000,39999,french,https://tabelog.com/tokyo/A1307/A130703/13213368/,https://tabelog.com/en/tokyo/A1307/A130703/13213368/,東京都渋谷区広尾5-1-32 ST広尾 2F,35.6491468,139.7189983,東京都,5-chome-1-32 Hiroo Shibuya City Tokyo-to,Tokyo,http://restaurant-ode.com
00000008,ウラノ,URANO,3.79,48,10000,14999,15000,19999,20000,29999,15000,19999,french,https://tabelog.com/tokyo/A1309/A130904/13232449/,https://tabelog.com/en/tokyo/A1309/A130904/13232449/,東京都千代田区九段南3-5-4 コーブ九段 1F,35.69230659999999,139.7426597,東京都,Kudanminami Chiyoda City Tokyo,Tokyo,http://urano.world/
00000009,Takumi,Takumi,3.90,397,10000,14999,20000,29999,20000,29999,20000,29999,french,https://tabelog.com/tokyo/A1307/A130701/13204624/,https://tabelog.com/en/tokyo/A1307/A130701/13204624/,東京都港区西麻布1-11-10 ビルマーサ 1F,35.6604316,139.72431,東京都,Nishiazabu Minato City Tokyo,Tokyo,http://restaurant-takumi.com
00000010,ロオジエ,L'OSIER,4.47,1164,15000,19999,20000,29999,20000,29999,60000,79999,french,https://tabelog.com/tokyo/A1301/A130101/13002607/,https://tabelog.com/en/tokyo/A1301/A130101/13002607/,東京都中央区銀座7-5-5,35.6698377,139.7613353,東京都,7-chome-5-5 Ginza Chuo City Tokyo-to,Tokyo,https://losier.shiseido.co.jp/losier/
00000011,ナベノ-イズム,Nabeno-Ism,4.11,510,10000,14999,20000,29999,20000,29999,30000,39999,french,https://tabelog.com/tokyo/A1311/A131102/13194700/,https://tabelog.com/en/tokyo/A1311/A131102/13194700/,東京都台東区駒形2-1-17,35.7067827,139.7953855,東京都,2-chome-1-17 Komagata Taito City Tokyo-to,Tokyo,http://nabeno-ism.tokyo/
00000012,ラルジャン,Rarujan,3.89,187,10000,14999,20000,29999,20000,29999,30000,39999,french,https://tabelog.com/tokyo/A1301/A130101/13253764/,https://tabelog.com/en/tokyo/A1301/A130101/13253764/,東京都中央区銀座5-8-1 GINZA PLACE 7F,35.6708855,139.7650033,東京都,5-chome-8-1 Ginza Chuo City Tokyo,Tokyo,https://largent.tokyo/
00000013,ラ・ボンヌターブル,LA BONNE TABLE,3.79,1020,8000,9999,15000,19999,8000,9999,15000,19999,french,https://tabelog.com/tokyo/A1302/A130202/13166325/,https://tabelog.com/en/tokyo/A1302/A130202/13166325/,東京都中央区日本橋室町2-3-1 コレド室町2 1F,35.6868974,139.7748465,東京都,2-chome-3-1 Nihonbashimuromachi Chuo City Tokyo-to,Tokyo,http://www.labonnetable.jp/
00000014,ソンブルイユ,SOMBREUIL,3.77,165,10000,14999,20000,29999,15000,19999,20000,29999,french,https://tabelog.com/tokyo/A1309/A130905/13211031/,https://tabelog.com/en/tokyo/A1309/A130905/13211031/,東京都千代田区富士見1-8-12,35.6980893,139.744985,東京都,1-chome-8-12 Fujimi Chiyoda City Tokyo-to,Tokyo,http://sombreuil.jp/restaurant.html
00000015,レストラン ラリューム,Restaurant L'allium,3.77,209,10000,14999,20000,29999,10000,14999,10000,14999,french,https://tabelog.com/tokyo/A1316/A131602/13224188/,https://tabelog.com/en/tokyo/A1316/A131602/13224188/,東京都港区白金台4-9-23 ツツイビル B1F,35.6384254,139.7233922,東京都,Shirokanedai Minato City Tokyo,Tokyo,http://restaurant-lallium.jp/
00000016,FRANZ,FRANZ,3.67,77,10000,14999,10000,14999,10000,14999,15000,19999,french,https://tabelog.com/tokyo/A1307/A130703/13210554/,https://tabelog.com/en/tokyo/A1307/A130703/13210554/,東京都港区白金6-2-17,35.6443628,139.7231029,東京都,6-chome-2-17 Shirokane Minato City Tokyo-to,Tokyo,
00000017,Ata,Ata,3.76,740,10000,14999,8000,9999,3000,3999,10000,14999,french,https://tabelog.com/tokyo/A1303/A130303/13150975/,https://tabelog.com/en/tokyo/A1303/A130303/13150975/,東京都渋谷区猿楽町2-5 佐藤エステートビル 1F,35.6529873,139.7048291,東京都,2-5 Sarugakucho Shibuya City Tokyo-to,Tokyo,http://ata1789.com/
00000018,ル・ジャルダン・デ・サヴール,Le jardin des saveurs,3.77,277,8000,9999,20000,29999,10000,14999,20000,29999,french,https://tabelog.com/tokyo/A1301/A130101/13002341/,https://tabelog.com/en/tokyo/A1301/A130101/13002341/,東京都中央区銀座6-16-11 銀座山本ビル B１F,35.6678191,139.7654675,東京都,6-chome-16-11 Ginza Chuo City Tokyo-to,Tokyo,https://otoriyose.ikyu.com/collections/vendors?q=ja-saveurs&did=ja-saveurs
00000019,フランス料理 タンモア,Furansuryouritammoa,3.80,109,8000,9999,10000,14999,10000,14999,10000,14999,french,https://tabelog.com/tokyo/A1307/A130701/13225590/,https://tabelog.com/en/tokyo/A1307/A130701/13225590/,東京都港区赤坂8-13-19 インペリアル赤坂壱番館 B1F,35.6697057,139.7305956,東京都,8-chome-13-19 Akasaka Minato City Tokyo-to,Tokyo,https://www.tanmoa.com/
00000020,a table,A table,3.76,249,8000,9999,10000,14999,10000,14999,10000,14999,french,https://tabelog.com/tokyo/A1310/A131004/13156948/,https://tabelog.com/en/tokyo/A1310/A131004/13156948/,東京都文京区湯島3-1-1 木村ビル 1F,35.7030463,139.7679834,東京都,3-chome-1-1 Yushima Bunkyo City Tokyo-to,Tokyo,http://atable-tokyo.co.jp
00000021,ガストロノミー ジョエル・ロブション,Joel Robuchon,4.31,1606,30000,39999,,,60000,79999,,,french,https://tabelog.com/tokyo/A1303/A130302/13009310/,https://tabelog.com/en/tokyo/A1303/A130302/13009310/,東京都目黒区三田1-13-1 恵比寿ガーデンプレイス,35.6419011,139.7145339,東京都,1-chome-13-1 Mita Meguro City Tokyo-to,Tokyo,https://www.robuchon.jp/shop-list/joelrobuchon
00000022,Lien,Lien,3.67,377,5000,5999,10000,14999,5000,5999,10000,14999,french,https://tabelog.com/tokyo/A1317/A131705/13176808/,https://tabelog.com/en/tokyo/A1317/A131705/13176808/,東京都世田谷区池尻3-5-22 グレースマンション 1F,35.6512471,139.6811075,東京都,3-chome-5-22 Ikejiri Setagaya City Tokyo-to,Tokyo,https://lien-french.com/
00000023,シュマン,Chemins,3.80,334,8000,9999,10000,14999,10000,14999,15000,19999,french,https://tabelog.com/tokyo/A1308/A130801/13001336/,https://tabelog.com/en/tokyo/A1308/A130801/13001336/,東京都港区赤坂2-17-7 赤坂溜池タワーＡＮＮＥＸ　１Ｆ,35.6711386,139.7392567,東京都,2-chome-17-7 Akasaka Minato City Tokyo-to,Tokyo,http://www.chemins.jp/
00000024,ライラ,Lyla,3.75,393,8000,9999,15000,19999,8000,9999,20000,29999,french,https://tabelog.com/tokyo/A1308/A130801/13156381/,https://tabelog.com/en/tokyo/A1308/A130801/13156381/,東京都港区赤坂7-5-34 インペリアル赤坂フォーラム 1Ｆ,35.6711556,139.7302763,東京都,7-chome-5-34 Akasaka Minato City Tokyo-to,Tokyo,http://www.lylatokyo.com/
