store_id,store_name,store_name_english,score,review_cnt,tabelog_lunch_budget_min,tabelog_lunch_budget_max,tabelog_dinner_budget_min,tabelog_dinner_budget_max,customer_lunch_budget_min,customer_lunch_budget_max,customer_dinner_budget_min,customer_dinner_budget_max,genre,url,url_english,address,latitude,longitude,prefecture,address_english,prefecture_english,website
00000001,エヴォリュエ,Evoluer ,3.78,175,6000,7999,10000,14999,8000,9999,15000,19999,french,https://tabelog.com/osaka/A2701/A270108/27089343/,https://tabelog.com/en/osaka/A2701/A270108/27089343/,大阪府大阪市福島区福島3-11-10,34.6940194,135.4850117,大阪府,3-chome-11-10 Fukushima Fukushima-ku Osaka,Osaka,http://evoluer-fukushima.com
00000002,L'eau Blanche,L'eau Blanche,3.70,76,6000,7999,20000,29999,6000,7999,20000,29999,french,https://tabelog.com/fukuoka/A4001/A400102/40042563/,https://tabelog.com/en/fukuoka/A4001/A400102/40042563/,福岡県福岡市中央区西中洲4-4 RIN FIRST 2F,33.5910369,130.4061585,福岡県,4-4 Nishinakasu Chuo-ku Fukuoka,Fukuoka,
00000003,ル ソルシエ,le sorcier,4.08,18,15000,19999,15000,19999,20000,29999,15000,19999,french,https://tabelog.com/yamaguchi/A3505/A350501/35009481/,https://tabelog.com/en/yamaguchi/A3505/A350501/35009481/,山口県周南市,34.0550099,131.8061149,山口県,Shunan Yamaguchi,Yamaguchi,http://le-sorcier.jp
00000004,いとう,Itou,3.75,88,15000,19999,15000,19999,10000,14999,15000,19999,french,https://tabelog.com/kyoto/A2601/A260301/26005856/,https://tabelog.com/en/kyoto/A2601/A260301/26005856/,京都府京都市東山区古門前通石橋町307,35.0067528,135.7775539,京都府,307 Ishibashicho Higashiyama-ku Kyoto,Kyoto,
00000005,薪の音,Makinooto,3.63,55,5000,5999,6000,7999,5000,5999,15000,19999,french,https://tabelog.com/toyama/A1605/A160502/16000678/,https://tabelog.com/en/toyama/A1605/A160502/16000678/,富山県南砺市野口140 里山の宿 薪の音,36.5068997,136.8896486,富山県,140 Noguchi Nanto Toyama,Toyama,http://www.makinooto.co.jp/
00000006,シェ シロ,CHEZ CHILO ,3.67,73,5000,5999,10000,14999,5000,5999,10000,14999,french,https://tabelog.com/hyogo/A2801/A280101/28043050/,https://tabelog.com/en/hyogo/A2801/A280101/28043050/,兵庫県神戸市中央区琴ノ緒町5-4-19 TMEビル 1F,34.6960352,135.1944791,兵庫県,5-chome-4-19 Kotonoocho Chuo-ku Kobe Hyogo,Hyogo,
00000007,スガラボヴィー,Surabovi,4.09,282,5000,5999,60000,79999,5000,5999,60000,79999,french,https://tabelog.com/osaka/A2701/A270202/27116163/,https://tabelog.com/en/osaka/A2701/A270202/27116163/,大阪府大阪市中央区心斎橋筋2-8-16 ルイ・ヴィトンメゾン 大阪御堂筋 7F,34.67121960000001,135.5007169,大阪府,2 Chome-8 Shinsaibashisuji Chuo Ward Osaka,Osaka,
00000008,NAKATSUKA,NAKATSUKA,3.79,114,10000,14999,15000,19999,10000,14999,20000,29999,french,https://tabelog.com/kyoto/A2601/A260202/26029955/,https://tabelog.com/en/kyoto/A2601/A260202/26029955/,京都府京都市中京区木之下町299 Coto Glance姉小路通 1F,35.0097399,135.7634982,京都府,299 Kinoshitacho Nakagyo-ku Kyoto,Kyoto,http://www.nakatsuka-kyoto.com
00000009,レストランディファランス,Restaurant Difference,3.74,243,10000,14999,15000,19999,10000,14999,20000,29999,french,https://tabelog.com/osaka/A2701/A270102/27074095/,https://tabelog.com/en/osaka/A2701/A270102/27074095/,大阪府大阪市西区靱本町1-16-12,34.6845344,135.494241,大阪府,1-chome-16-12 Utsubohonmachi Nishi-ku Osaka,Osaka,http://difference.upper.jp/sp/
00000010,プルミエ・クリュ,1er cru,3.84,31,10000,14999,15000,19999,10000,14999,20000,29999,french,https://tabelog.com/nagasaki/A4201/A420101/42000800/,https://tabelog.com/en/nagasaki/A4201/A420101/42000800/,長崎県長崎市鍛冶屋町6-28 1F,32.7430114,129.8821084,長崎県,6-28 Kajiyamachi Nagasaki,Nagasaki,http://www.1ercru.jp/
