store_id,store_name,store_name_english,score,review_cnt,tabelog_lunch_budget_min,tabelog_lunch_budget_max,tabelog_dinner_budget_min,tabelog_dinner_budget_max,customer_lunch_budget_min,customer_lunch_budget_max,customer_dinner_budget_min,customer_dinner_budget_max,genre,url,url_english,address,latitude,longitude,prefecture,address_english,prefecture_english,website
00000001,鎮海楼,Chinkairou,3.66,413,1000,1999,3000,3999,1000,1999,4000,4999,gyoza,https://tabelog.com/tokyo/A1316/A131601/13020138/,https://tabelog.com/en/tokyo/A1316/A131601/13020138/,東京都品川区上大崎2-15-6 市川ビル 1F,35.634613,139.716852,東京都,2-chome-15-6 Kamiosaki Shinagawa City Tokyo-to,Tokyo,
00000002,金春 本館,komparu,3.50,1298,1000,1999,2000,2999,1000,1999,2000,2999,gyoza,https://tabelog.com/tokyo/A1315/A131503/13008262/,https://tabelog.com/en/tokyo/A1315/A131503/13008262/,東京都大田区蒲田4-5-6 プロスペリアルビル　１・２Ｆ,35.5615729,139.7226437,東京都,4-chome-5-6 Kamata Ota City Tokyo-to,Tokyo,
00000003,餃子の福包 新宿店,Gyouzanofukuhou,3.49,1093,,,2000,2999,,,1000,1999,gyoza,https://tabelog.com/tokyo/A1304/A130402/13050544/,https://tabelog.com/en/tokyo/A1304/A130402/13050544/,東京都新宿区新宿2-8-6 KDX新宿286ビル 1F,35.6892385,139.7089083,東京都,2-chome-8-6 Shinjuku Shinjuku City Tokyo-to,Tokyo,http://fukuho.net/shop.html
00000004,東京餃子楼 三軒茶屋店,Toukyougyouzarou,3.53,956,,,2000,2999,,,1000,1999,gyoza,https://tabelog.com/tokyo/A1317/A131706/13004530/,https://tabelog.com/en/tokyo/A1317/A131706/13004530/,東京都世田谷区太子堂4-4-2 ラウスパレス三軒茶屋,35.6432115,139.6676311,東京都,4-chome-4-2 Taishido Setagaya City Tokyo-to,Tokyo,http://www.puzzle-fs.co.jp/
00000005,老辺餃子舘 新宿本店,Roubengyouzakan,3.49,1029,1000,1999,3000,3999,1000,1999,3000,3999,gyoza,https://tabelog.com/tokyo/A1304/A130401/13012005/,https://tabelog.com/en/tokyo/A1304/A130401/13012005/,東京都新宿区西新宿1-18-1 小川ビル 3F,35.6918523,139.6983857,東京都,1-chome-14-1 Nishishinjuku Shinjuku City 都 Tokyo-to,Tokyo,https://www.rdcgroup.co.jp/brand/rouben/
00000006,五十番,Gojuban,3.83,319,1000,1999,1000,1999,1000,1999,1000,1999,gyoza,https://tabelog.com/fukuoka/A4008/A400801/40007271/,https://tabelog.com/en/fukuoka/A4008/A400801/40007271/,福岡県久留米市東町34-42,33.3129162,130.5190706,福岡県,34-42 Higashimachi Kurume Fukuoka,Fukuoka,
00000007,屋台安兵衛,Yataiyasubee,3.68,936,1000,1999,1000,1999,1000,1999,1000,1999,gyoza,https://tabelog.com/kochi/A3901/A390101/39000019/,https://tabelog.com/en/kochi/A3901/A390101/39000019/,高知県高知市廿代町4-19,33.5632378,133.5409593,高知県,4-19 Nijudaimachi Kochi,Koci,https://mfc-group.jp/yasube/
00000008,大連,Tairen,3.66,381,1000,1999,1000,1999,1000,1999,2000,2999,gyoza,https://tabelog.com/tokyo/A1315/A131502/13003379/,https://tabelog.com/en/tokyo/A1315/A131502/13003379/,東京都大田区山王1-25-14,35.5931053,139.7255172,東京都,Sanno Ota City Tokyo,Tokyo,
00000009,ぎょうざ処 高辻 亮昌 本店,Sukemasa,3.69,852,,,1000,1999,,,1000,1999,gyoza,https://tabelog.com/kyoto/A2601/A260201/26017170/,https://tabelog.com/en/kyoto/A2601/A260201/26017170/,京都府京都市下京区堀之内町263 １Ｆ,35.0002713,135.7554274,京都府,263 Horinouchicho Shimogyo-ku Kyoto,Kyoto,http://sukemasa.kyoto/
00000010,旭軒 駅前本店,Asahiken,3.68,1042,2000,2999,2000,2999,2000,2999,1000,1999,gyoza,https://tabelog.com/fukuoka/A4001/A400101/40000204/,https://tabelog.com/en/fukuoka/A4001/A400101/40000204/,福岡県福岡市博多区博多駅前2-15-22,33.5905551,130.4166309,福岡県,2-chome-15-22 Hakata Ekimae Hakata-ku Fukuoka,Fukuoka,
