store_id,store_name,store_name_english,score,review_cnt,url,url_english,address,prefecture,address_english,prefecture_english,website
00000001,ハウ・トゥリー・ジェラート,Hau tree gelato,3.54,205,https://tabelog.com/okinawa/A4705/A470501/47001359/,https://tabelog.com/en/okinawa/A4705/A470501/47001359/,沖縄県石垣市大川281,沖縄県,2-281 Ōkawa Ishigaki Okinawa,Okinawa,http://www.hautree.net
00000002,南ヶ丘牧場 ミルク茶屋,Minamigaokabokujoumirukudiya,3.60,375,https://tabelog.com/tochigi/A0905/A090501/9002887/,https://tabelog.com/en/tochigi/A0905/A090501/9002887/,栃木県那須郡那須町湯本579 南ヶ丘牧場内,栃木県,579 Yumoto Nasu Nasu-gun Tochigi,Tochigi,https://www.minamigaoka.co.jp/
00000003,鎌倉茶々,Kamakurachacha,3.55,263,https://tabelog.com/kanagawa/A1404/A140402/14057490/,https://tabelog.com/en/kanagawa/A1404/A140402/14057490/,神奈川県鎌倉市雪ノ下1-6-8,神奈川県,1-chome-6-8 Yukinoshita Kamakura Kanagawa,Kanagawa,https://kamakura-chacha.com/
00000004,gelateria popolo.,Jerateriapoporo,3.55,155,https://tabelog.com/niigata/A1501/A150101/15001128/,https://tabelog.com/en/niigata/A1501/A150101/15001128/,新潟県新潟市中央区水道町1丁目5939-37,新潟県,1-chome-5939-37 Suidocho Chuo-ku Niigata,Niigata,http://www.web-popolo.com/
00000005,ピネキ,Pineki,3.69,754,https://tabelog.com/chiba/A1207/A120704/12005224/,https://tabelog.com/en/chiba/A1207/A120704/12005224/,千葉県館山市下真倉236-3,千葉県,236-3 Shimosanagura Tateyama Chiba,Ciba,http://kimura-honpo.com/
00000006,アリマ ジェラテリア スタジオーネ,Arima gelateria Stagione,3.60,365,https://tabelog.com/hyogo/A2801/A280112/28044218/,https://tabelog.com/en/hyogo/A2801/A280112/28044218/,兵庫県神戸市北区有馬町1163,兵庫県,1163 Arimacho Kita-ku Kobe Hyogo,Hyogo,http://arima-stagione.jp/
00000007,ナチュレ,NATUR,3.54,99,https://tabelog.com/aomori/A0201/A020101/2000818/,https://tabelog.com/en/aomori/A0201/A020101/2000818/,青森県青森市新町1丁目6-22,青森県,1-chome-6-22 Shinmachi Aomori,Aomori,
00000008,レティエ,Rethie,3.65,368,https://tabelog.com/tokyo/A1309/A130901/13188523/,https://tabelog.com/en/tokyo/A1309/A130901/13188523/,東京都渋谷区千駄ヶ谷1-22-7 1F,東京都,Tokyo Shibuya City Sendagaya 1 Chome−22−７ 1F,Tokyo,
00000009,ファーム富田,Famutomita,3.58,520,https://tabelog.com/hokkaido/A0104/A010403/1002223/,https://tabelog.com/en/hokkaido/A0104/A010403/1002223/,北海道空知郡中富良野町北星,北海道,Hokuseiyama Nakafurano Shintanakanojo Nakafurano Sorachi District Hokkaido,Hokkaido,http://www.farm-tomita.co.jp/
00000010,スペールフルッタ,SUPERFRUTTO,3.61,137,https://tabelog.com/tokyo/A1323/A132302/13008466/,https://tabelog.com/en/tokyo/A1323/A132302/13008466/,東京都文京区小石川5-31-5 びらしんび　１Ｆ,東京都,Koishikawa Bunkyo City Tokyo,Tokyo,http://www.s-frutto.tokyo/index.html
