store_id,store_name,store_name_english,score,review_cnt,url,url_english,address,prefecture,address_english,prefecture_english,website
00000001,THE HIRAMATSU HOTELS&RESORTS 仙石原,THE HIRAMATSU HOTELS&RESORTS,3.64,64,https://tabelog.com/kanagawa/A1410/A141001/14067639/,https://tabelog.com/en/kanagawa/A1410/A141001/14067639/,神奈川県足柄下郡箱根町仙石原1245-337,神奈川県,1245-337 Sengokuhara Hakone Ashigarashimo-gun Kanagawa,Kanagawa,http://www.hiramatsuhotels.com/sengokuhara/
00000002,キートス,kiitos vininaturali ,3.63,104,https://tabelog.com/aichi/A2301/A230104/23043215/,https://tabelog.com/en/aichi/A2301/A230104/23043215/,愛知県名古屋市中区新栄2-4-15 新栄サンハイツ1F,愛知県,2-chome-4-15 Shinsakae Naka-ku Nagoya Aichi,Aichi,
00000003,オ・プレチェネッラ,O Pulecenella,3.66,469,https://tabelog.com/kanagawa/A1401/A140101/14000055/,https://tabelog.com/en/kanagawa/A1401/A140101/14000055/,神奈川県横浜市西区北幸2-13-1,神奈川県,2-chome-13-1 Kitasaiwai Nishi-ku Yokohama Kanagawa,Kanagawa,http://o-pulecenella.com/
00000004,オットセッテ,OTTO SETTE,3.70,211,https://tabelog.com/yamanashi/A1902/A190201/19000325/,https://tabelog.com/en/yamanashi/A1902/A190201/19000325/,山梨県北杜市小淵沢町129-1 リゾナーレ八ヶ岳内,山梨県,129-1 Kobuchisawacho Hokuto Yamanashi,Yamanashi,https://risonare.com/yatsugatake/
00000005,リオス ボングスタイオ,Riosubongusutaio,3.62,244,https://tabelog.com/kanagawa/A1401/A140105/14055323/,https://tabelog.com/en/kanagawa/A1401/A140105/14055323/,神奈川県横浜市中区元町1-23-1 リバーサイド元町 1F,神奈川県,1-chome-23-1 Motomachi Naka-ku Yokohama Kanagawa,Kanagawa,http://riosbuongustaio.ciao.jp/
00000006,Ristorante SHIKAZAWA,risutoranteshikazawa,3.98,43,https://tabelog.com/iwate/A0301/A030101/3006532/,https://tabelog.com/en/iwate/A0301/A030101/3006532/,岩手県盛岡市菜園2-4-6,岩手県,2-chome-4-6 Saien Morioka Iwate,Iwate,
00000007,ヒロヴァーナ,Hirovanna,3.82,144,https://tabelog.com/aichi/A2301/A230101/23077563/,https://tabelog.com/en/aichi/A2301/A230101/23077563/,愛知県名古屋市中村区名駅3-5-14 ジェイチル名駅ビル B1F,愛知県,3-chome-5-14 Meieki Nakamura Ward Nagoya Aichi,Aichi,https://hirovanna.com/
00000008,affetto akita,Affetto akita,3.94,37,https://tabelog.com/akita/A0506/A050601/5008365/,https://tabelog.com/en/akita/A0506/A050601/5008365/,秋田県由利本荘市本荘64 AIBAビル1F,秋田県,64 Honjo Yurihonjo Akita,Akita,https://affetto-akita.jp/
00000009,Lilla,Lilla,3.71,216,https://tabelog.com/aichi/A2301/A230103/23070425/,https://tabelog.com/en/aichi/A2301/A230103/23070425/,愛知県名古屋市東区泉1-1-22,愛知県,1-chome-1-22 Izumi Higashi-ku Nagoya Aichi,Aichi,http://www.lilla-0501.com
00000010,イル・リフージョ・ハヤマ,IL Rifugio Hayama,3.63,88,https://tabelog.com/kanagawa/A1406/A140602/14036164/,https://tabelog.com/en/kanagawa/A1406/A140602/14036164/,神奈川県三浦郡葉山町一色2179,神奈川県,2179 Isshiki Hayama Miura-gun Kanagawa,Kanagawa,http://www.ilrifugio-hayama.com/
00000011,osteria LIU,Osteria LIU,3.77,155,https://tabelog.com/aichi/A2301/A230106/23009279/,https://tabelog.com/en/aichi/A2301/A230106/23009279/,愛知県名古屋市千種区向陽1-11-14 池下ホームズ　１Ｆ,愛知県,1-chome-11-14 Koyo Chikusa-ku Nagoya Aichi,Aichi,
00000012,トラットリア・バンビーナ 筑縄店,Trattoria bambina,3.51,118,https://tabelog.com/gunma/A1001/A100102/10020326/,https://tabelog.com/en/gunma/A1001/A100102/10020326/,群馬県高崎市筑縄町13-8,群馬県,13 Tsukunawamachi Takasaki Gunma,Gunma,https://bam-bina.com/
00000013,日本のイタリア料理店 sai,Nihonnoitariaryouritensai,3.82,121,https://tabelog.com/aichi/A2301/A230105/23074938/,https://tabelog.com/en/aichi/A2301/A230105/23074938/,愛知県名古屋市中区千代田2-8-17 グリーンハイツ鶴舞公園 1F,愛知県,2-chome-8-17 Chiyoda Naka-ku Nagoya Aichi,Aichi,http://www.sai-nagoya2020.com/
00000014,パルコ フィエラ,Parco Fiera,4.27,108,https://tabelog.com/hokkaido/A0101/A010203/1064202/,https://tabelog.com/en/hokkaido/A0101/A010203/1064202/,北海道札幌市手稲区稲穂1条4-8-10,北海道,4-chome-8-10 Inaho 1 Jo Teine-ku Sapporo Hokkaido,Hokkaido,https://www.parcofiera-sapporo.com/
00000015,トラットリア エ ピッツェリア アミーチ,TRATTORIA E PIZZERIA AMICI,3.64,606,https://tabelog.com/ibaraki/A0802/A080201/8000842/,https://tabelog.com/en/ibaraki/A0802/A080201/8000842/,茨城県つくば市手代木286-1,茨城県,286-1 Teshirogi Tsukuba Ibaraki,Ibaraki,https://amici-tsukuba.com/
00000016,レスタジオーニ ハングリータイガー,Le stagioni Hungry-Tiger,3.54,33,https://tabelog.com/akita/A0501/A050101/5000478/,https://tabelog.com/en/akita/A0501/A050101/5000478/,秋田県秋田市川尻大川町1-39,秋田県,1-39 Kawashiriokawamachi Akita,Akita,
00000017,アロマフレスカ 名古屋,Aroma Fresca Nagoya,3.69,354,https://tabelog.com/aichi/A2301/A230103/23005178/,https://tabelog.com/en/aichi/A2301/A230103/23005178/,愛知県名古屋市中区栄3-16-1 松坂屋名古屋店 本館 10F,愛知県,3-chome-16-1 Sakae Naka-ku Nagoya Aichi,Aichi,http://www.nagoya.aromafresca.com/
00000018,SALONE 2007,SALONE 2007,3.87,988,https://tabelog.com/kanagawa/A1401/A140105/14010542/,https://tabelog.com/en/kanagawa/A1401/A140105/14010542/,神奈川県横浜市中区山下町36-1 B1F,神奈川県,36-1 Yamashitacho Naka-ku Yokohama Kanagawa,Kanagawa,http://salone2007.com/
00000019,リストランテ ソルジェンテ,Ristorante Sorgente,3.56,85,https://tabelog.com/gunma/A1001/A100101/10000471/,https://tabelog.com/en/gunma/A1001/A100101/10000471/,群馬県前橋市三俣町1-1-11 藤田マンション 1F,群馬県,Mitsumatamachi Maebashi Gunma,Gunma,
00000020,Akizuki,Akizuki,3.63,34,https://tabelog.com/kanagawa/A1404/A140401/14074527/,https://tabelog.com/en/kanagawa/A1404/A140401/14074527/,神奈川県鎌倉市山ノ内1386-2,神奈川県,1386-2 Yamanouchi Kamakura Kanagawa,Kanagawa,
00000021,ラ ヴィオレッタ,La Violetta,3.76,144,https://tabelog.com/aichi/A2301/A230110/23060503/,https://tabelog.com/en/aichi/A2301/A230110/23060503/,愛知県名古屋市東区白壁4-63-3,愛知県,4 Chome Shirakabe Higashi Ward Nagoya Aichi,Aichi,http://www.lavioletta0617.com
00000022,ラ クチーナ ヴェンティトレ,Rakuchinaventhitore,3.70,81,https://tabelog.com/hokkaido/A0105/A010501/1014060/,https://tabelog.com/en/hokkaido/A0105/A010501/1014060/,北海道函館市柳町14-23,北海道,14-23 Yanagimachi Hakodate Hokkaido,Hokkaido,
