store_id,store_name,store_name_english,score,review_cnt,tabelog_lunch_budget_min,tabelog_lunch_budget_max,tabelog_dinner_budget_min,tabelog_dinner_budget_max,customer_lunch_budget_min,customer_lunch_budget_max,customer_dinner_budget_min,customer_dinner_budget_max,genre,url,url_english,address,latitude,longitude,prefecture,address_english,prefecture_english,website
00000001,ブルガリ イル・リストランテ ルカ・ファンティン,burugariirurisutoranterukafanthin,3.67,417,6000,7999,30000,39999,6000,7999,30000,39999,italian,https://tabelog.com/tokyo/A1301/A130101/13045135/,https://tabelog.com/en/tokyo/A1301/A130101/13045135/,東京都中央区銀座2-7-12 ブルガリ銀座タワー　９Ｆ,35.672926,139.7672446,東京都,2-chome-7-12 Ginza Chuo City Tokyo-to,Tokyo,https://www.bulgarihotels.com/ja_JP/tokyo-osaka-restaurants/tokyo/il-ristorante
00000002,トラットリア タンタボッカ,Trattoria Tanta Bocca,3.72,1050,1000,1999,8000,9999,2000,2999,10000,14999,italian,https://tabelog.com/tokyo/A1304/A130403/13058484/,https://tabelog.com/en/tokyo/A1304/A130403/13058484/,東京都渋谷区千駄ヶ谷4-5-1 ニュー外苑ハイツ 1F,35.6796739,139.7043404,東京都,4-chome-5-1 Sendagaya Shibuya City Tokyo-to,Tokyo,https://selecao.co.jp/ourshops/
00000003,リストランテ ラ・バリック トウキョウ,Ristorante La Barrique Tokyo,3.76,535,8000,9999,30000,39999,5000,5999,20000,29999,italian,https://tabelog.com/tokyo/A1309/A130905/13044652/,https://tabelog.com/en/tokyo/A1309/A130905/13044652/,東京都文京区水道2-12-2,35.709847,139.7348861,東京都,2-chome-12-2 Suido Bunkyo City Tokyo-to,Tokyo,http://www.labarrique.jp/
00000004,オステリア セルヴァジーナ,OSTERIA SELVAGGINA,3.72,117,4000,4999,10000,14999,6000,7999,10000,14999,italian,https://tabelog.com/tokyo/A1323/A132301/13135740/,https://tabelog.com/en/tokyo/A1323/A132301/13135740/,東京都豊島区駒込3-2-7 リトル駒込 1F,35.7367614,139.7461926,東京都,3-chome-2-7 Komagome Toshima City Tokyo-to,Tokyo,https://www.selvaggina.net/
00000005,TATSUMI,TATSUMI,3.75,92,4000,4999,30000,39999,6000,7999,40000,49999,italian,https://tabelog.com/tokyo/A1316/A131602/13266170/,https://tabelog.com/en/tokyo/A1316/A131602/13266170/,東京都港区白金6-16-41 ゼクス白金 2F,35.6437985,139.7229034,東京都,6-chome-16-41 Shirokane Minato City Tokyo,Tokyo,
00000006,代官山ASO チェレステ 二子玉川店,Daikanyama ASO Celeste,3.61,396,5000,5999,10000,14999,8000,9999,20000,29999,italian,https://tabelog.com/tokyo/A1317/A131708/13005519/,https://tabelog.com/en/tokyo/A1317/A131708/13005519/,東京都世田谷区玉川3-17-1 玉川タカシマヤ 11F,35.6131827,139.6264798,東京都,3 Chome-17-1 Tamagawa Setagaya City Tokyo-to,Tokyo,https://www.hiramatsurestaurant.jp/aso-celeste-futakotamagawa/
00000007,クッチーナ アッラ バーバ,Cucina alla Baba,3.69,118,5000,5999,10000,14999,8000,9999,10000,14999,italian,https://tabelog.com/tokyo/A1307/A130701/13170144/,https://tabelog.com/en/tokyo/A1307/A130701/13170144/,東京都港区六本木5-9-14 第7ビル　3F,35.6607049,139.7329005,東京都,Roppongi Minato City Tokyo,Tokyo,http://tokyo-calendar.com/restaurants/3554
00000008,S'ACCAPAU,S`accapau,3.66,384,10000,14999,20000,29999,10000,14999,20000,29999,italian,https://tabelog.com/tokyo/A1307/A130701/13195700/,https://tabelog.com/en/tokyo/A1307/A130701/13195700/,東京都港区西麻布1-12-4 nishiazabu1124ビル B1F,35.6601861,139.7240738,東京都,Nishiazabu Minato City Tokyo,Tokyo,http://saccapau.jp
00000009,アロマフレスカ,Ristorante Aroma-fresca,3.81,372,15000,19999,30000,39999,15000,19999,30000,39999,italian,https://tabelog.com/tokyo/A1301/A130101/13129298/,https://tabelog.com/en/tokyo/A1301/A130101/13129298/,東京都中央区銀座2-6-5 GINZA TRECIOUS 12F,35.673578,139.7672974,東京都,2-chome-6-5 Ginza Chuo City Tokyo-to,Tokyo,http://www.aromafresca-afsa.com/
00000010,オステリア・オリエーラ,OSTERIA OLIERA,3.72,420,15000,19999,10000,14999,15000,19999,10000,14999,italian,https://tabelog.com/tokyo/A1304/A130401/13099830/,https://tabelog.com/en/tokyo/A1304/A130401/13099830/,東京都新宿区新宿3-7-5 一兆ビル　２F,35.6911075,139.7060758,東京都,3-chome-7-5 Shinjuku Shinjuku City Tokyo-to,Tokyo,
