store_id,store_name,store_name_english,score,review_cnt,tabelog_lunch_budget_min,tabelog_lunch_budget_max,tabelog_dinner_budget_min,tabelog_dinner_budget_max,customer_lunch_budget_min,customer_lunch_budget_max,customer_dinner_budget_min,customer_dinner_budget_max,genre,url,url_english,address,latitude,longitude,prefecture,address_english,prefecture_english,website
00000001,オステリアエンネ,Osteria enne,3.59,51,,,6000,7999,,,6000,7999,italian,https://tabelog.com/kagawa/A3701/A370101/37006368/,https://tabelog.com/en/kagawa/A3701/A370101/37006368/,香川県高松市古馬場町1-11 北島ビル 1F,34.34316980000001,134.0511254,香川県,1-11 Furubabacho Takamatsu Kagawa,Kagawa,
00000002,イル ネッビオ,Il nebbio,3.62,72,4000,4999,8000,9999,4000,4999,8000,9999,italian,https://tabelog.com/hiroshima/A3401/A340117/34026005/,https://tabelog.com/en/hiroshima/A3401/A340117/34026005/,広島県広島市中区富士見町4-29 富士見町ビル 2F,34.3877968,132.4612363,広島県,4-29 Fujimicho Naka-ku Hiroshima,Hiroshima,https://il-nebbio.shopinfo.jp/
00000003,logue,Logue,3.64,50,5000,5999,15000,19999,6000,7999,15000,19999,italian,https://tabelog.com/kochi/A3901/A390101/39007234/,https://tabelog.com/en/kochi/A3901/A390101/39007234/,高知県土佐市宇佐町竜599-6 ホテルヴィラサントリーニ,33.4243765,133.4540397,高知県,599-6 Usacho Tosa Kochi,Koci,http://www.villa-santorini.com/contents/rest.htm
00000004,TRATTORIA AL SODO,torattoriaaruso-do,3.66,231,1000,1999,4000,4999,1000,1999,4000,4999,italian,https://tabelog.com/osaka/A2701/A270102/27063533/,https://tabelog.com/en/osaka/A2701/A270102/27063533/,大阪府大阪市西区土佐堀2-3-5 菅澤眼科ビル,34.6882711,135.490017,大阪府,2-chome-3-5 Tosabori Nishi-ku Osaka,Osaka,
00000005,北野坂 木下,Kitanozaka kinoshita,4.39,151,15000,19999,20000,29999,30000,39999,30000,39999,italian,https://tabelog.com/hyogo/A2801/A280101/28057663/,https://tabelog.com/en/hyogo/A2801/A280101/28057663/,兵庫県神戸市中央区中山手通1-24-14 ペンシルビル 2F,34.6972539,135.1915892,兵庫県,1-chome-24-14 Nakayamatedori Chuo-ku Kobe Hyogo,Hyogo,https://www.kitanozaka-kinoshita.com/
00000006,檪の丘,Kunuginooka,3.73,364,1000,1999,2000,2999,2000,2999,30000,39999,italian,https://tabelog.com/oita/A4402/A440201/44000453/,https://tabelog.com/en/oita/A4402/A440201/44000453/,大分県由布市湯布院町川北893-1,33.263073,131.330146,大分県,893-1 Yufuincho Kawakita Yufu Oita,Oita,http://kunugi.ptu.jp/
00000007,SCALAE,SCALAE,3.70,135,4000,4999,8000,9999,5000,5999,10000,14999,italian,https://tabelog.com/kyoto/A2601/A260101/26031801/,https://tabelog.com/en/kyoto/A2601/A260101/26031801/,京都府京都市下京区東塩小路町570 THE THOUSAND KYOTO 2F,34.9864196,135.7612921,京都府,570 Higashishiokojicho Shimogyo Ward Kyoto,Kyoto,
00000008,クラッティーニ,Kuratthini,3.62,82,4000,4999,20000,29999,1000,1999,20000,29999,italian,https://tabelog.com/osaka/A2701/A270101/27069540/,https://tabelog.com/en/osaka/A2701/A270101/27069540/,大阪府大阪市北区堂島1-5-35 堂島レジャービル 6F,34.6962813,135.4968938,大阪府,1-chome-5-35 Dojima Kita-ku Osaka,Osaka,
00000009,チェルカ トローヴァ,cherukatoro-va,3.98,44,4000,4999,15000,19999,1000,1999,20000,29999,italian,https://tabelog.com/miyazaki/A4505/A450501/45003573/,https://tabelog.com/en/miyazaki/A4505/A450501/45003573/,宮崎県延岡市博労町4-14,32.586168,131.6700801,宮崎県,4-14 Bakuromachi Nobeoka Miyazaki,Miyazaki,
00000010,島之内フジマル醸造所,shimanouchifujimarujouzousho,3.67,330,5000,5999,6000,7999,6000,7999,8000,9999,italian,https://tabelog.com/osaka/A2701/A270204/27071950/,https://tabelog.com/en/osaka/A2701/A270204/27071950/,大阪府大阪市中央区島之内1-1-14 三和ビル 1F,34.6745785,135.5106463,大阪府,1-chome-1-14 Shimanouchi Chuo-ku Osaka,Osaka,http://www.papilles.net
