store_id,store_name,store_name_english,score,review_cnt,tabelog_lunch_budget_min,tabelog_lunch_budget_max,tabelog_dinner_budget_min,tabelog_dinner_budget_max,customer_lunch_budget_min,customer_lunch_budget_max,customer_dinner_budget_min,customer_dinner_budget_max,genre,url,url_english,address,latitude,longitude,prefecture,address_english,prefecture_english,website
00000001,せき根,Sekine,3.71,37,5000,5999,20000,29999,5000,5999,20000,29999,japanese,https://tabelog.com/aichi/A2301/A230108/23000096/,https://tabelog.com/en/aichi/A2301/A230108/23000096/,愛知県名古屋市昭和区上山町4-7-1,35.1384127,136.9516346,愛知県,4-chome-7 Kamiyamacho Showa-ku Nagoya Aichi,Aichi,http://sekine-168.jp/
00000002,丹野こんにゃく番所,Tannokonnikubansho,3.71,218,5000,5999,20000,29999,5000,5999,20000,29999,japanese,https://tabelog.com/yamagata/A0601/A060102/6000138/,https://tabelog.com/en/yamagata/A0601/A060102/6000138/,山形県上山市楢下1233-2,38.0967818,140.3113079,山形県,1233-2 Narage Kaminoyama Yamagata,Yamagata,http://www.tannokonnyaku.co.jp/
00000003,日本料理 e.,Nihonryouriipiriodo,3.77,171,5000,5999,15000,19999,6000,7999,15000,19999,japanese,https://tabelog.com/miyagi/A0401/A040101/4016108/,https://tabelog.com/en/miyagi/A0401/A040101/4016108/,宮城県仙台市青葉区片平1-1-18 バレンタインハウス 1F,38.2580927,140.8683291,宮城県,Katahira Aoba Ward Sendai Miyagi,Miyagi,http://www.cuisine-e.jp/
00000004,やすい,yasui,3.73,75,4000,4999,8000,9999,2000,2999,8000,9999,japanese,https://tabelog.com/aichi/A2301/A230113/23052408/,https://tabelog.com/en/aichi/A2301/A230113/23052408/,愛知県名古屋市中村区上石川町5-30,35.161553,136.8538033,愛知県,5-chome-30 Kamiishikawacho Nakamura Ward Nagoya Aichi,Aichi,
00000005,懐石 八泉,kaisekihachisen,4.03,88,30000,39999,30000,39999,15000,19999,30000,39999,japanese,https://tabelog.com/aichi/A2301/A230107/23001725/,https://tabelog.com/en/aichi/A2301/A230107/23001725/,愛知県名古屋市千種区猫洞通4-34,35.1668816,136.9681233,愛知県,Nekogahoratori Chikusa Ward Nagoya Aichi,Aichi,http://hachisen.crayonsite.net/
00000006,かみその,kamisono,3.77,25,30000,39999,8000,9999,15000,19999,10000,14999,japanese,https://tabelog.com/aichi/A2301/A230104/23078193/,https://tabelog.com/en/aichi/A2301/A230104/23078193/,愛知県名古屋市東区泉3-22-4-3,35.17622910000001,136.9179797,愛知県,3-chome-22-4 Izumi Higashi Ward Nagoya Aichi,Aichi,
00000007,温味,Nukumi,3.88,79,30000,39999,8000,9999,15000,19999,20000,29999,japanese,https://tabelog.com/hokkaido/A0101/A010104/1053112/,https://tabelog.com/en/hokkaido/A0101/A010104/1053112/,北海道札幌市中央区南10条西6丁目3番2号,43.0466837,141.3520402,北海道,Hokkaido Sapporo Chuo Ward 3 南10条西6丁目3番2号,Hokkaido,http://nukumi.com/
00000008,花いち,Hanaichi,4.15,160,30000,39999,10000,14999,15000,19999,15000,19999,japanese,https://tabelog.com/aichi/A2301/A230109/23013684/,https://tabelog.com/en/aichi/A2301/A230109/23013684/,愛知県名古屋市西区児玉2-4-13,35.1929162,136.8847544,愛知県,2-chome-4-13 Kodama Nishi Ward Nagoya Aichi,Aichi,
00000009,勢麟,seirin,4.49,278,30000,39999,20000,29999,50000,59999,40000,49999,japanese,https://tabelog.com/shizuoka/A2202/A220201/22034729/,https://tabelog.com/en/shizuoka/A2202/A220201/22034729/,静岡県浜松市中央区元城町222-25 アルスビル 1F,34.7088199,137.7286105,静岡県,Shizuoka Hamamatsu 中区Motoshirocho ２２２−２５ アルスビル,Shizuoka,
00000010,ことわりをはかるみせ ばんどう,Kotowariwohakarumisebandou,3.81,77,30000,39999,20000,29999,10000,14999,20000,29999,japanese,https://tabelog.com/aichi/A2301/A230106/23062836/,https://tabelog.com/en/aichi/A2301/A230106/23062836/,愛知県名古屋市千種区今池4-1-14 フカミビル 1A,35.1707305,136.9388661,愛知県,4-chome-1-14 Imaike Chikusa-ku Nagoya Aichi,Aichi,
00000011,明庵,Miuan,3.71,35,30000,39999,30000,39999,10000,14999,30000,39999,japanese,https://tabelog.com/aichi/A2301/A230110/23036671/,https://tabelog.com/en/aichi/A2301/A230110/23036671/,愛知県名古屋市東区徳川町2103番地 城ビル１Ｆ,35.1863974,136.9299981,愛知県,2103 Tokugawacho Higashi-ku Nagoya Aichi,Aichi,https://nbu5400.gorp.jp/
00000012,割烹 渡辺,Kappouwatanabe,3.77,36,8000,9999,10000,14999,15000,19999,15000,19999,japanese,https://tabelog.com/niigata/A1501/A150101/15020999/,https://tabelog.com/en/niigata/A1501/A150101/15020999/,新潟県新潟市西蒲区巻甲2443,37.75557149999999,138.8873673,新潟県,Ko Maki Nishikan Ward Niigata,Niigata,https://kappou-watanabe.net/
00000013,和創ふんりんかん ぎり,Wasoufunrinkangiri,3.63,60,8000,9999,15000,19999,15000,19999,15000,19999,japanese,https://tabelog.com/aichi/A2301/A230103/23055371/,https://tabelog.com/en/aichi/A2301/A230103/23055371/,愛知県名古屋市中区千代田1-11-26 サンコーポ舞鶴 1F,35.1596889,136.9108534,愛知県,Chiyoda Naka Ward Nagoya Aichi,Aichi,
00000014,おか田,Okada,3.57,26,10000,14999,10000,14999,15000,19999,20000,29999,japanese,https://tabelog.com/kanagawa/A1401/A140101/14072866/,https://tabelog.com/en/kanagawa/A1401/A140101/14072866/,神奈川県横浜市神奈川区沢渡2-4 YSビル2F,35.4708633,139.6185637,神奈川県,2-4 Sawatari Kanagawa-ku Yokohama Kanagawa,Kanagawa,
00000015,京味 もと井,Kyouajimotoi,3.91,190,10000,14999,20000,29999,10000,14999,20000,29999,japanese,https://tabelog.com/aichi/A2301/A230107/23077259/,https://tabelog.com/en/aichi/A2301/A230107/23077259/,愛知県名古屋市千種区西山元町1-58,35.1712637,136.9538148,愛知県,1-chome-58 Nishiyama Motomachi Chikusa Ward Nagoya Aichi,Aichi,https://kyoto-cuisine-restaurant-109.business.site/
00000016,酒房しんせん,Shuboushinsen,3.63,88,10000,14999,20000,29999,10000,14999,15000,19999,japanese,https://tabelog.com/hokkaido/A0101/A010103/1000002/,https://tabelog.com/en/hokkaido/A0101/A010103/1000002/,北海道札幌市中央区南六条西3 秋水ビル　１Ｆ,43.0536259,141.3546537,北海道,Minami 6 Jonishi Chuo Ward Sapporo Hokkaido,Hokkaido,
00000017,柚木元,Yukimoto,4.57,197,30000,39999,30000,39999,30000,39999,30000,39999,japanese,https://tabelog.com/nagano/A2006/A200603/20004238/,https://tabelog.com/en/nagano/A2006/A200603/20004238/,長野県飯田市東和町2-43-1,35.5194724,137.8230719,長野県,2-chome-43-1 Towacho Iida Nagano,Nagano,http://www.yukimoto-hanare.com/
00000018,割烹 藪下,Yabushita,3.66,50,30000,39999,30000,39999,30000,39999,15000,19999,japanese,https://tabelog.com/aichi/A2301/A230102/23039138/,https://tabelog.com/en/aichi/A2301/A230102/23039138/,愛知県名古屋市中区丸の内3-23-11 セントヒルズ丸の内1F,35.1741347,136.9025533,愛知県,3-chome-23-11 Marunouchi Naka-ku Nagoya Aichi,Aichi,
00000019,眞,Shin,3.70,275,10000,14999,10000,14999,8000,9999,15000,19999,japanese,https://tabelog.com/aichi/A2301/A230101/23065092/,https://tabelog.com/en/aichi/A2301/A230101/23065092/,愛知県名古屋市中村区名駅3-25-9 堀内ビルディング名古屋駅前 B1F,35.171982,136.8861482,愛知県,3-chome-25-9 Meieki Nakamura Ward Nagoya Aichi,Aichi,https://sin-nagoya.com/
00000020,日本料理 みや,nihonryourimiya,3.64,61,20000,29999,30000,39999,20000,29999,30000,39999,japanese,https://tabelog.com/saitama/A1106/A110601/11001653/,https://tabelog.com/en/saitama/A1106/A110601/11001653/,埼玉県所沢市東住吉7-9 ティーイングビル　１Ｆ,35.7826511,139.471648,埼玉県,7-9 Higashisumiyoshi Tokorozawa Saitama,Saitama,http://kaiseki-miya.com/
00000021,乙味 あさ井,Otsuajiasai,3.76,129,8000,9999,10000,14999,5000,5999,15000,19999,japanese,https://tabelog.com/aichi/A2301/A230104/23072364/,https://tabelog.com/en/aichi/A2301/A230104/23072364/,愛知県名古屋市中区新栄1-5-6 メイトウスタービル 2A,35.1693245,136.9176544,愛知県,1-chome-5-6 Shinsakae Naka-ku Nagoya Aichi,Aichi,https://otsuaji-asai.com
00000022,野嵯和,Nozawa,4.34,148,8000,9999,20000,29999,5000,5999,40000,49999,japanese,https://tabelog.com/aichi/A2301/A230109/23063362/,https://tabelog.com/en/aichi/A2301/A230109/23063362/,愛知県名古屋市,35.18145060000001,136.9065571,愛知県,Nagoya Aichi,Aichi,
00000023,馳走 筏や,Chisouikadaya,3.79,43,8000,9999,20000,29999,6000,7999,10000,14999,japanese,https://tabelog.com/gunma/A1002/A100201/10010117/,https://tabelog.com/en/gunma/A1002/A100201/10010117/,群馬県桐生市広沢町間ノ島389-1,36.39224859999999,139.3348212,群馬県,Ainoshima-389 Hirosawacho Kiryu Gunma,Gunma,
00000024,八ヶ岳 えさき,Yatsugatakeesaki,3.85,23,15000,19999,15000,19999,20000,29999,20000,29999,japanese,https://tabelog.com/yamanashi/A1902/A190201/19010716/,https://tabelog.com/en/yamanashi/A1902/A190201/19010716/,山梨県北杜市大泉町谷戸5771-210,35.8951904,138.3858564,山梨県,5771 Ōizumicho Yato Hokuto Yamanashi,Yamanashi,http://esaki-yatsugatake.com/
00000025,きく蔵,Kikuzou,3.72,160,15000,19999,6000,7999,20000,29999,6000,7999,japanese,https://tabelog.com/nagano/A2002/A200201/20000774/,https://tabelog.com/en/nagano/A2002/A200201/20000774/,長野県松本市大手4-7-10,36.2357521,137.9736906,長野県,4-chome-7-10 Ōte Matsumoto Nagano,Nagano,http://www.matsumoto-kikuzou.com/
