store_id,store_name,store_name_english,score,review_cnt,tabelog_lunch_budget_min,tabelog_lunch_budget_max,tabelog_dinner_budget_min,tabelog_dinner_budget_max,customer_lunch_budget_min,customer_lunch_budget_max,customer_dinner_budget_min,customer_dinner_budget_max,genre,url,url_english,address,latitude,longitude,prefecture,address_english,prefecture_english,website
00000001,紀茂登,Kimoto,4.46,349,60000,79999,50000,59999,60000,79999,60000,79999,japanese,https://tabelog.com/tokyo/A1309/A130905/13226856/,https://tabelog.com/en/tokyo/A1309/A130905/13226856/,東京都新宿区東五軒町5-5,35.7063525,139.7397557,東京都,5-5 Higashigokencho Shinjuku City Tokyo-to,Tokyo,http://kimoto-kobe.wixsite.com/kimoto
00000002,川田,Kawada,4.03,175,60000,79999,40000,49999,60000,79999,40000,49999,japanese,https://tabelog.com/tokyo/A1302/A130204/13232330/,https://tabelog.com/en/tokyo/A1302/A130204/13232330/,東京都中央区日本橋人形町1-5-5 B1F,35.6853465,139.7817228,東京都,1-chome-5-5 Nihonbashiningyocho Chuo City Tokyo-to,Tokyo,
00000003,樋口,Higuchi,3.99,165,60000,79999,30000,39999,60000,79999,40000,49999,japanese,https://tabelog.com/tokyo/A1306/A130601/13001215/,https://tabelog.com/en/tokyo/A1306/A130601/13001215/,東京都渋谷区神宮前2-19-12,35.673458,139.7101767,東京都,2-chome-19-12 Jingumae Shibuya City Tokyo-to,Tokyo,
00000004,NK,NK,4.22,184,30000,39999,30000,39999,30000,39999,40000,49999,japanese,https://tabelog.com/tokyo/A1309/A130905/13249655/,https://tabelog.com/en/tokyo/A1309/A130905/13249655/,東京都新宿区神楽坂5-37 相良ビル 1F,35.7013408,139.7391271,東京都,5-chome-37 Kagurazaka Shinjuku City Tokyo-to,Tokyo,
00000005,鉄板焼き いわ倉,teppanyakiiwakura,3.74,229,30000,39999,15000,19999,30000,39999,20000,29999,japanese,https://tabelog.com/tokyo/A1309/A130905/13189075/,https://tabelog.com/en/tokyo/A1309/A130905/13189075/,東京都新宿区岩戸町1 M's神楽坂 3Ｆ,35.7021208,139.7378098,東京都,1 Iwatocho Shinjuku City Tokyo-to,Tokyo,https://www.teppanyaki-iwakura.com/
00000006,虎白,Kohaku,4.36,647,30000,39999,30000,39999,50000,59999,50000,59999,japanese,https://tabelog.com/tokyo/A1309/A130905/13049130/,https://tabelog.com/en/tokyo/A1309/A130905/13049130/,東京都新宿区神楽坂3-4,35.7007514,139.7409966,東京都,3-chome-4 Kagurazaka Shinjuku City Tokyo-to,Tokyo,https://kagurazaka-kohaku.jp/
00000007,おかもと,okamoto,3.80,54,15000,19999,30000,39999,20000,29999,40000,49999,japanese,https://tabelog.com/tokyo/A1307/A130704/13144115/,https://tabelog.com/en/tokyo/A1307/A130704/13144115/,東京都港区虎ノ門5-2-8 サクシード虎ノ門 B1F,35.6626602,139.7444361,東京都,5-chome-2-8 Toranomon Minato City Tokyo-to,Tokyo,https://okamoto-toranomon.com/
00000008,宮坂,Miyasaka,4.21,88,20000,29999,40000,49999,20000,29999,40000,49999,japanese,https://tabelog.com/tokyo/A1306/A130602/13264981/,https://tabelog.com/en/tokyo/A1306/A130602/13264981/,東京都港区南青山5-4-30 ヴィラソレイユE号,35.6624562,139.7143784,東京都,Minamiaoyama Minato City Tokyo,Tokyo,
00000009,寿こう,jukou,3.72,77,10000,14999,30000,39999,10000,14999,20000,29999,japanese,https://tabelog.com/tokyo/A1301/A130101/13225134/,https://tabelog.com/en/tokyo/A1301/A130101/13225134/,東京都中央区銀座5-6-13 西五番街ビル 6F,35.6710091,139.7636706,東京都,5-chome-6-13 Ginza Chuo City Tokyo-to,Tokyo,https://jyu-kou.jp/
00000010,茶寮 宮坂,Saryoumiyasaka,3.85,271,10000,14999,15000,19999,15000,19999,20000,29999,japanese,https://tabelog.com/tokyo/A1307/A130701/13216329/,https://tabelog.com/en/tokyo/A1307/A130701/13216329/,東京都港区六本木6-12-2 六本木ヒルズ レジデンスB棟 3F,35.6586205,139.728881,東京都,Roppongi Minato City Tokyo,Tokyo,
00000011,日本料理 太月,Tagetsu,3.99,477,10000,14999,20000,29999,10000,14999,30000,39999,japanese,https://tabelog.com/tokyo/A1306/A130602/13160021/,https://tabelog.com/en/tokyo/A1306/A130602/13160021/,東京都港区北青山3-13-1 北青山関根ビル B1F,35.66408080000001,139.7094786,東京都,3-chome-13-1 Kitaaoyama Minato City Tokyo-to,Tokyo,https://tagetsu.tokyo/
00000012,新ばし 久,Shimbashikyuu,3.73,223,10000,14999,20000,29999,10000,14999,10000,14999,japanese,https://tabelog.com/tokyo/A1301/A130103/13030766/,https://tabelog.com/en/tokyo/A1301/A130103/13030766/,東京都港区新橋2-15-13,35.6664694,139.7562835,東京都,2-chome-15-13 Shinbashi Minato City Tokyo-to,Tokyo,
00000013,とく山,Tokuyama,3.83,153,10000,14999,20000,29999,2000,2999,30000,39999,japanese,https://tabelog.com/tokyo/A1307/A130703/13002088/,https://tabelog.com/en/tokyo/A1307/A130703/13002088/,東京都港区西麻布4-11-28 麻布エンパイヤマンション B1F,35.6593434,139.7225143,東京都,4-chome-11-28 Nishiazabu Minato City Tokyo-to,Tokyo,https://tokuyama.tokyo/
00000014,銀座 奥田,Okuda,3.62,124,15000,19999,20000,29999,15000,19999,30000,39999,japanese,https://tabelog.com/tokyo/A1301/A130101/13129763/,https://tabelog.com/en/tokyo/A1301/A130101/13129763/,東京都中央区銀座5-4-8 カリオカビルB1Ｆ,35.6714346,139.7630316,東京都,5-chome-4-8 Ginza Chuo City Tokyo-to,Tokyo,http://www.ginzaokuda.com/
00000015,あき山,Akiyama,3.78,75,15000,19999,30000,39999,15000,19999,20000,29999,japanese,https://tabelog.com/tokyo/A1316/A131602/13218136/,https://tabelog.com/en/tokyo/A1316/A131602/13218136/,東京都港区白金6-5-3 さくら白金101,35.6444355,139.724759,東京都,6-chome-5-3 Shirokane Minato City Tokyo-to,Tokyo,http://akiyamashirokane.com
