store_id,store_name,store_name_english,score,review_cnt,url,url_english,address,prefecture,address_english,prefecture_english,website
00000001,食堂 おがわ,Ogawa,4.30,263,https://tabelog.com/kyoto/A2601/A260201/26013892/,https://tabelog.com/en/kyoto/A2601/A260201/26013892/,京都府京都市下京区西木屋町通四条下ル船頭町204 １F,京都府,Kyoto Shimogyo Ward 西木屋町通四条下る 船頭町 ２０２,Kyoto,
00000002,和ごころ 泉,Wagokoro Izumi,3.90,202,https://tabelog.com/kyoto/A2601/A260201/26006071/,https://tabelog.com/en/kyoto/A2601/A260201/26006071/,京都府京都市下京区烏丸仏光寺東入ル一筋目南入ル匂天神町634-3,京都府,634-3 Nioitenjincho Shimogyo Ward Kyoto,Kyoto,
00000003,蕎味 櫂,Kyoumikai,3.90,120,https://tabelog.com/ishikawa/A1701/A170101/17009816/,https://tabelog.com/en/ishikawa/A1701/A170101/17009816/,石川県金沢市東山1-23-10,石川県,1 Chome-23-10 Higashiyama Kanazawa Ishikawa,Ishikawa,http://r.goope.jp/kyoumi-kai
00000004,木山,Kiyama,4.38,410,https://tabelog.com/kyoto/A2601/A260202/26029017/,https://tabelog.com/en/kyoto/A2601/A260202/26029017/,京都府京都市中京区絹屋町136 ヴェルドール御所 1F,京都府,136 Kinuyacho Nakagyo-ku Kyoto,Kyoto,
00000005,富小路 やま岸,Yamagishi,4.52,516,https://tabelog.com/kyoto/A2601/A260201/26026316/,https://tabelog.com/en/kyoto/A2601/A260201/26026316/,京都府京都市中京区富小路通六角下る骨屋之町560,京都府,560 Honeyanocho Nakagyo-ku Kyoto,Kyoto,http://www.tominokoji-yamagishi.com/
00000006,行楽庵,Korakuan,3.98,99,https://tabelog.com/shiga/A2501/A250101/25001485/,https://tabelog.com/en/shiga/A2501/A250101/25001485/,滋賀県大津市萱野浦25-1 コンフォール萱野浦　１Ｆ,滋賀県,25-1 Kayanoura Otsu Shiga,Shiga,
00000007,未在,Mizai,4.32,405,https://tabelog.com/kyoto/A2601/A260301/26002279/,https://tabelog.com/en/kyoto/A2601/A260301/26002279/,京都府京都市東山区八坂鳥居前東入ル円山町613 円山公園,京都府,Kyoto Higashiyama Ward 八坂鳥居前東入円山町６１８,Kyoto,http://mizai.jp/
00000008,ひがしやま 司,Higashiyama tsukasa,4.05,88,https://tabelog.com/kyoto/A2601/A260301/26036658/,https://tabelog.com/en/kyoto/A2601/A260301/26036658/,京都府京都市東山区西町127 三条白川橋ビル 2F,京都府,Nishimachi Higashiyama Ward Kyoto,Kyoto,https://www.higashiyama-tsukasa.com/
00000009,日本料理 別府 廣門,Nihonryouribeppuhirokado,4.36,73,https://tabelog.com/oita/A4402/A440202/44012162/,https://tabelog.com/en/oita/A4402/A440202/44012162/,大分県別府市堀田4-2,大分県,Oita Beppu 堀田4−２,Oita,https://beppu-hirokado.jp/
00000010,奈良 而今,Naranikon,4.10,157,https://tabelog.com/nara/A2901/A290101/29010206/,https://tabelog.com/en/nara/A2901/A290101/29010206/,奈良県奈良市鍋屋町3,奈良県,3 Nabeyacho Nara,Nara,http://naranikon.com/
00000011,もめん,Momen,4.11,146,https://tabelog.com/osaka/A2701/A270201/27017665/,https://tabelog.com/en/osaka/A2701/A270201/27017665/,大阪府大阪市中央区心斎橋筋2-1-3,大阪府,2-chome-1-3 Shinsaibashisuji Chuo-ku Osaka,Osaka,
