store_id,store_name,store_name_english,score,review_cnt,tabelog_lunch_budget_min,tabelog_lunch_budget_max,tabelog_dinner_budget_min,tabelog_dinner_budget_max,customer_lunch_budget_min,customer_lunch_budget_max,customer_dinner_budget_min,customer_dinner_budget_max,genre,url,url_english,address,latitude,longitude,prefecture,address_english,prefecture_english,website
00000001,平岡珈琲店,Hiraokakohiten,3.70,461,,,,,,,,,kissaten,https://tabelog.com/osaka/A2701/A270106/27000071/,https://tabelog.com/en/osaka/A2701/A270106/27000071/,大阪府大阪市中央区瓦町3-6-11,34.6859442,135.5014639,大阪府,3-chome-6-11 Kawaramachi Chuo-ku Osaka,Osaka,https://www.cafe-hiraoka.jp/
00000002,喫茶葦島,Kissaashijima,3.72,563,1000,1999,1000,1999,1000,1999,1000,1999,kissaten,https://tabelog.com/kyoto/A2601/A260201/26015997/,https://tabelog.com/en/kyoto/A2601/A260201/26015997/,京都府京都市中京区三条通河原町東入大黒町37 文明堂ビル 5Ｆ,35.0086631,135.7693126,京都府,37 Daikokucho Nakagyo-ku Kyoto,Kyoto,https://ashijimacoffee.com/
00000003,喫茶 マドラグ,Kissamadoragu,3.70,621,1000,1999,1000,1999,1000,1999,1000,1999,kissaten,https://tabelog.com/kyoto/A2601/A260202/26019438/,https://tabelog.com/en/kyoto/A2601/A260202/26019438/,京都府京都市中京区押小路通西洞院東入ル北側,35.0122587,135.755139,京都府,Kyoto Nakagyo Ward 西洞院東入ル北側上松屋町７０６−５,Kyoto,http://madrague.info/index.html
00000004,シビタス,CIVITAS,3.69,645,1000,1999,1000,1999,1000,1999,1000,1999,kissaten,https://tabelog.com/tokyo/A1315/A131503/13045798/,https://tabelog.com/en/tokyo/A1315/A131503/13045798/,東京都大田区西蒲田7-69-1 東急プラザ蒲田 4F,35.5618681,139.7153525,東京都,7-chome-69-1 Nishikamata Ota City Tokyo-to,Tokyo,
00000005,BUCYO COFFEE,bucho-ko-hi-,3.69,999,1000,1999,1000,1999,1000,1999,1000,1999,kissaten,https://tabelog.com/aichi/A2301/A230101/23007465/,https://tabelog.com/en/aichi/A2301/A230101/23007465/,愛知県名古屋市中村区名駅南1-10-9 山善ビル1F,35.166093,136.8905859,愛知県,1-chome-10-9 Meiekiminami Nakamura Ward Nagoya Aichi,Aichi,https://www.bucyocoffee.com/
00000006,はまの屋パーラー 有楽町店,Hamanoyapara,3.73,1103,1000,1999,1000,1999,1000,1999,1000,1999,kissaten,https://tabelog.com/tokyo/A1301/A130102/13041024/,https://tabelog.com/en/tokyo/A1301/A130102/13041024/,東京都千代田区有楽町1-12-1 新有楽町ビル B1F,35.67556039999999,139.7620932,東京都,1-chome-12-1 Yurakucho Chiyoda City Tokyo-to,Tokyo,http://hamanoya-yurakucho.com/
00000007,トロワ・シャンブル,CAFE TROIS CHAMBRES,3.66,473,,,1000,1999,,,1000,1999,kissaten,https://tabelog.com/tokyo/A1318/A131802/13013091/,https://tabelog.com/en/tokyo/A1318/A131802/13013091/,東京都世田谷区代沢5-36-14 湯浅ビル 2F,35.659252,139.6673117,東京都,5-chome-36-14 Daizawa Setagaya City Tokyo-to,Tokyo,
00000008,高山珈琲,Takayamakohi,3.82,524,1000,1999,1000,1999,1000,1999,1000,1999,kissaten,https://tabelog.com/tokyo/A1310/A131002/13011257/,https://tabelog.com/en/tokyo/A1310/A131002/13011257/,東京都千代田区神田須田町1-12,35.6954338,139.7694633,東京都,1-chome-12 Kanda Sudacho Chiyoda City Tokyo-to,Tokyo,
00000009,ロッジ赤石,Rojjiakaishi,3.66,729,1000,1999,1000,1999,1000,1999,1000,1999,kissaten,https://tabelog.com/tokyo/A1311/A131102/13058004/,https://tabelog.com/en/tokyo/A1311/A131102/13058004/,東京都台東区浅草3-8-4,35.7170134,139.7951158,東京都,3-chome-8-4 Asakusa Taito City Tokyo-to,Tokyo,
00000010,天のや,AMANOYA,3.75,662,1000,1999,3000,3999,1000,1999,2000,2999,kissaten,https://tabelog.com/tokyo/A1307/A130702/13014306/,https://tabelog.com/en/tokyo/A1307/A130702/13014306/,東京都港区麻布十番3-1-9,35.6532659,139.7363565,東京都,Azabujuban Minato City Tokyo,Tokyo,http://amano-ya.jp/
00000011,文明堂茶館 ル・カフェ,Bummeidousakanrukafe,3.67,441,1000,1999,,,1000,1999,,,kissaten,https://tabelog.com/kanagawa/A1401/A140104/14003248/,https://tabelog.com/en/kanagawa/A1401/A140104/14003248/,神奈川県横浜市中区伊勢佐木町1-5-3 文明堂ビル　１Ｆ,35.4449338,139.6332247,神奈川県,1-chome-5-3 Isezakicho Naka-ku Yokohama Kanagawa,Kanagawa,http://yokohama-bunmeido.co.jp/shop
00000012,炭火焼珈琲 蔵,sumibiyakiko-hi-kura,3.66,610,1000,1999,1000,1999,1000,1999,1000,1999,kissaten,https://tabelog.com/tokyo/A1305/A130501/13089625/,https://tabelog.com/en/tokyo/A1305/A130501/13089625/,東京都豊島区西池袋1-39-1,35.7327012,139.709786,東京都,1-chome-39-1 Nishiikebukuro Toshima City Tokyo-to,Tokyo,
00000013,モトマチ喫茶,Motomachikissa,3.64,401,,,,,,,,,kissaten,https://tabelog.com/hyogo/A2801/A280102/28024154/,https://tabelog.com/en/hyogo/A2801/A280102/28024154/,兵庫県神戸市中央区北長狭通3-9-7,34.6917592,135.1879416,兵庫県,3-chome-9-7 Kitanagasadori Chuo-ku Kobe Hyogo,Hyogo,
00000014,ヘッケルン,hekkerun,3.70,701,1000,1999,,,1000,1999,,,kissaten,https://tabelog.com/tokyo/A1308/A130802/13057178/,https://tabelog.com/en/tokyo/A1308/A130802/13057178/,東京都港区西新橋1-20-11 安藤ビル1S,35.6678028,139.7521611,東京都,1-chome-20-11 Nishishinbashi Minato City Tokyo-to,Tokyo,
00000015,ミロンガ・ヌオーバ,Mironganuoba,3.67,358,1000,1999,,,1000,1999,,,kissaten,https://tabelog.com/tokyo/A1310/A131003/13006552/,https://tabelog.com/en/tokyo/A1310/A131003/13006552/,東京都千代田区神田神保町1-3,35.6954456,139.75824,東京都,Tokyo-to Chiyoda City Kanda Jinbocho ホーム 3,Tokyo,
00000016,トゥジュール デビュテ,TOUJOURS DEBUTER,3.70,452,1000,1999,1000,1999,1000,1999,1000,1999,kissaten,https://tabelog.com/tokyo/A1316/A131603/13059498/,https://tabelog.com/en/tokyo/A1316/A131603/13059498/,東京都品川区東五反田5-27-12 扇寿ビル B1F,35.6270956,139.7233424,東京都,5 Chome-27 Higashigotanda Shinagawa City Tokyo,Tokyo,
00000017,純喫茶 アメリカン,Junkissaamerikan,3.62,1084,1000,1999,1000,1999,1000,1999,1000,1999,kissaten,https://tabelog.com/osaka/A2701/A270202/27005758/,https://tabelog.com/en/osaka/A2701/A270202/27005758/,大阪府大阪市中央区道頓堀1-7-4 株式会社アメリカンビル,34.6683976,135.5028958,大阪府,1-chome-7-4 Dotonbori Chuo-ku Osaka,Osaka,https://www.junkissa-american.com/
00000018,モール&ホソイコーヒーズ,Mole & hosoi coffees,3.69,290,1000,1999,1000,1999,1000,1999,1000,1999,kissaten,https://tabelog.com/osaka/A2701/A270102/27020048/,https://tabelog.com/en/osaka/A2701/A270102/27020048/,大阪府大阪市中央区伏見町3-3-3 芝川ビル B1F,34.6890756,135.5018094,大阪府,3-chome-3-3 Fushimimachi Chuo-ku Osaka,Osaka,http://mole-and-hosoicoffees.com
00000019,草枕,Kusamakura,3.73,487,1000,1999,1000,1999,1000,1999,1000,1999,kissaten,https://tabelog.com/tokyo/A1301/A130103/13043012/,https://tabelog.com/en/tokyo/A1301/A130103/13043012/,東京都港区西新橋1-10-1 日美ビル１階,35.6689797,139.7528598,東京都,1-chome-10-1 Nishishinbashi Minato City Tokyo-to,Tokyo,
00000020,DEN,Den,3.64,589,1000,1999,1000,1999,1000,1999,1000,1999,kissaten,https://tabelog.com/tokyo/A1311/A131104/13041212/,https://tabelog.com/en/tokyo/A1311/A131104/13041212/,東京都台東区根岸3-3-18 メゾン根岸（鶯谷） １Ｆ,35.7221666,139.7814632,東京都,3-chome-3-18 Negishi Taito City Tokyo-to,Tokyo,
00000021,珈琲 まるも,Kohimarumo,3.65,434,1000,1999,1000,1999,1000,1999,1000,1999,kissaten,https://tabelog.com/nagano/A2002/A200201/20000622/,https://tabelog.com/en/nagano/A2002/A200201/20000622/,長野県松本市中央3-3-10,36.2342642,137.9723536,長野県,Central Matsumoto Nagano,Nagano,https://nakamachi.org/shopmember/marumo/
00000022,エレーナ,Erena,3.65,352,1000,1999,1000,1999,1000,1999,1000,1999,kissaten,https://tabelog.com/kanagawa/A1401/A140105/14007970/,https://tabelog.com/en/kanagawa/A1401/A140105/14007970/,神奈川県横浜市中区山手町24,35.435945,139.6449502,神奈川県,24 Yamatecho Naka-ku Yokohama Kanagawa,Kanagawa,http://www.yamate-elena.com
00000023,ショパン,Shopan,3.70,654,,,,,,,,,kissaten,https://tabelog.com/tokyo/A1310/A131002/13011258/,https://tabelog.com/en/tokyo/A1310/A131002/13011258/,東京都千代田区神田須田町1-19-9,35.6968781,139.7688582,東京都,1-chome-19-9 Kanda Sudacho Chiyoda City Tokyo-to,Tokyo,
00000024,六曜社 地下店,Rokuyousha,3.65,396,,,,,,,,,kissaten,https://tabelog.com/kyoto/A2601/A260202/26000159/,https://tabelog.com/en/kyoto/A2601/A260202/26000159/,京都府京都市中京区河原町三条下ル大黒町40 B1F,35.0084116,135.7692186,京都府,Kyoto Nakagyo Ward Daikokucho ４０ 清美ビル,Kyoto,http://aquadina.com/kyoto/spot/3819/
00000025,茶房 天井棧敷,Saboutenjousajiki,3.64,359,1000,1999,,,1000,1999,,,kissaten,https://tabelog.com/oita/A4402/A440201/44000043/,https://tabelog.com/en/oita/A4402/A440201/44000043/,大分県由布市湯布院町川上2633-1 亀の井別荘内,33.265743,131.3674211,大分県,2633-1 Yufuincho Kawakami Yufu Oita,Oita,http://www.kamenoi-bessou.jp/
00000026,築地,Tsukiji,3.64,429,1000,1999,,,1000,1999,,,kissaten,https://tabelog.com/kyoto/A2601/A260201/26001588/,https://tabelog.com/en/kyoto/A2601/A260201/26001588/,京都府京都市中京区米屋町384-2,35.0043527,135.7698565,京都府,384 Komeyacho Nakagyo-ku Kyoto,Kyoto,http://aquadina.com/kyoto/spot/3808/
00000027,アメリカン,Amerikan,3.69,1446,1000,1999,1000,1999,1000,1999,1000,1999,kissaten,https://tabelog.com/tokyo/A1301/A130101/13051375/,https://tabelog.com/en/tokyo/A1301/A130101/13051375/,東京都中央区銀座4丁目11-7,35.6698132,139.7687422,東京都,4-chome-11-7 Ginza Chuo City Tokyo-to,Tokyo,
00000028,タイズ,TIES,3.74,544,1000,1999,1000,1999,1000,1999,1000,1999,kissaten,https://tabelog.com/tokyo/A1310/A131004/13018359/,https://tabelog.com/en/tokyo/A1310/A131004/13018359/,東京都文京区湯島4-1-13 １Ｆ,35.707595,139.7644592,東京都,4-chome-1-13 Yushima Bunkyo City Tokyo-to,Tokyo,
00000029,カフェ・トロワバグ,CAFE TROIS BAGUES,3.71,549,1000,1999,1000,1999,1000,1999,1000,1999,kissaten,https://tabelog.com/tokyo/A1310/A131003/13011637/,https://tabelog.com/en/tokyo/A1310/A131003/13011637/,東京都千代田区神田神保町1-12-1 富田ビル B1F,35.696373,139.75825,東京都,1-chome-12-1 Kanda Jinbocho Chiyoda City Tokyo-to,Tokyo,https://troisbagues.com
00000030,ローヤル珈琲店 本店,Royarukohiten,3.70,743,,,1000,1999,,,1000,1999,kissaten,https://tabelog.com/tokyo/A1311/A131102/13008614/,https://tabelog.com/en/tokyo/A1311/A131102/13008614/,東京都台東区浅草1-39-7,35.7127682,139.7944566,東京都,1-chome-39-7 Asakusa Taito City Tokyo-to,Tokyo,
00000031,YOU,Yu,3.70,2419,1000,1999,1000,1999,1000,1999,1000,1999,kissaten,https://tabelog.com/tokyo/A1301/A130101/13002318/,https://tabelog.com/en/tokyo/A1301/A130101/13002318/,東京都中央区銀座4-13-17 高野ビル　１F,35.6694533,139.7686723,東京都,4-chome-13-17 Ginza Chuo City Tokyo-to,Tokyo,
