store_id,store_name,store_name_english,score,review_cnt,url,url_english,address,prefecture,address_english,prefecture_english,website
00000001,はやしのお好み焼,Hayashinookonomiyaki,3.49,265,https://tabelog.com/tokushima/A3601/A360101/36000129/,https://tabelog.com/en/tokushima/A3601/A360101/36000129/,徳島県徳島市南内町1-30-1,徳島県,Minamiuchimachi Tokushima,Tokushima,http://www.hayashinookonomiyaki.com/
00000002,すえちゃん,Suechan,3.58,50,https://tabelog.com/hyogo/A2801/A280106/28007497/,https://tabelog.com/en/hyogo/A2801/A280106/28007497/,兵庫県神戸市東灘区住吉宮町1-2-18,兵庫県,1-chome-2-18 Sumiyoshimiyamachi Higashinada-ku Kobe Hyogo,Hyogo,
00000003,富士屋,Fujiya,3.57,107,https://tabelog.com/hyogo/A2801/A280106/28022791/,https://tabelog.com/en/hyogo/A2801/A280106/28022791/,兵庫県神戸市東灘区住吉宮町2-17-3,兵庫県,2-chome-17-3 Sumiyoshimiyamachi Higashinada-ku Kobe Hyogo,Hyogo,
00000004,お好み焼き 辰,Okonomiyakitatsu,3.75,166,https://tabelog.com/hiroshima/A3401/A340104/34020336/,https://tabelog.com/en/hiroshima/A3401/A340104/34020336/,広島県広島市東区東蟹屋町7-33,広島県,7-33 Higashikaniyacho Higashi-ku Hiroshima,Hiroshima,
00000005,やまさ家,Yamasaya,3.56,115,https://tabelog.com/hiroshima/A3401/A340107/34000287/,https://tabelog.com/en/hiroshima/A3401/A340107/34000287/,広島県広島市安佐南区高取北1-4-30 サンビル　１Ｆ,広島県,1-chome-4-30 Takatorikita Asaminami-ku Hiroshima,Hiroshima,
00000006,お好み焼き 八昌,Okonomiyaki Hassho,3.76,645,https://tabelog.com/hiroshima/A3401/A340108/34019405/,https://tabelog.com/en/hiroshima/A3401/A340108/34019405/,広島県広島市中区幟町14-17,広島県,14-17 Noboricho Naka-ku Hiroshima,Hiroshima,
00000007,樂,Gaku,3.57,43,https://tabelog.com/ehime/A3801/A380101/38001537/,https://tabelog.com/en/ehime/A3801/A380101/38001537/,愛媛県松山市和泉南3-1-29 コーポタカオカ 1F,愛媛県,Izumiminami Matsuyama Ehime,Ehime,
00000008,山本まんぼ,Yamamotomambo,3.73,574,https://tabelog.com/kyoto/A2601/A260101/26034294/,https://tabelog.com/en/kyoto/A2601/A260101/26034294/,京都府京都市下京区小稲荷町61-54,京都府,61 Koinaricho Shimogyo-ku Kyoto,Kyoto,
00000009,味道楽,Ajidourakubenten,3.47,52,https://tabelog.com/kumamoto/A4301/A430101/43000242/,https://tabelog.com/en/kumamoto/A4301/A430101/43000242/,熊本県熊本市南区日吉1-9-10,熊本県,Hiyoshi Minami Ward Kumamoto,Kumamoto,
00000010,どんたく,dontaku,3.65,325,https://tabelog.com/osaka/A2701/A270101/27009618/,https://tabelog.com/en/osaka/A2701/A270101/27009618/,大阪府大阪市北区堂山町16-12,大阪府,16-12 Doyamacho Kita-ku Osaka,Osaka,
00000011,お好み焼 ゆりちゃん,okonomiyakiyurichan,3.45,55,https://tabelog.com/hiroshima/A3401/A340107/34008555/,https://tabelog.com/en/hiroshima/A3401/A340107/34008555/,広島県広島市安佐南区伴中央2-3-39,広島県,Hiroshima Asaminami Ward Tomochuo 2-chome−3−３９ ゆりちゃん,Hiroshima,
00000012,じだん,Jidan,3.54,38,https://tabelog.com/hiroshima/A3401/A340104/34014638/,https://tabelog.com/en/hiroshima/A3401/A340104/34014638/,広島県広島市東区馬木4-1716-3,広島県,4-chome-1716-3 Umaki Higashi-ku Hiroshima,Hiroshima,
00000013,なんばん亭 下北沢店,Nambantei,3.65,334,https://tabelog.com/tokyo/A1318/A131802/13037445/,https://tabelog.com/en/tokyo/A1318/A131802/13037445/,東京都世田谷区北沢2-12-3 石川ビル 2F,東京都,2-chome-12-3 Kitazawa Setagaya City Tokyo-to,Tokyo,http://www.noa-corporation.co.jp/
00000014,広島流お好み焼 つかさ,Tsukasa,3.43,48,https://tabelog.com/wakayama/A3001/A300101/30000437/,https://tabelog.com/en/wakayama/A3001/A300101/30000437/,和歌山県和歌山市園部943-13,和歌山県,943-13 Sonobe Wakayama,Wakayama,http://okonomi-tsukasa.la.coocan.jp/
00000015,お好み焼 あらた,okonomiyakiarata,3.68,198,https://tabelog.com/okayama/A3305/A330501/33000403/,https://tabelog.com/en/okayama/A3305/A330501/33000403/,岡山県備前市日生町日生825-2,岡山県,825-2 Hinasecho Hinase Bizen Okayama,Okayama,
00000016,電光石火 ekie広島店,Denkousekka,3.73,727,https://tabelog.com/hiroshima/A3401/A340121/34027532/,https://tabelog.com/en/hiroshima/A3401/A340121/34027532/,広島県広島市南区松原町1-2 ekie 2F,広島県,1-2 Matsubaracho Minami-ku Hiroshima,Hiroshima,https://okonomiyaki-denko-sekka.com/shop/ekie_hiroshima/
00000017,あたりや,Atariya,3.52,104,https://tabelog.com/hyogo/A2803/A280304/28006125/,https://tabelog.com/en/hyogo/A2803/A280304/28006125/,兵庫県尼崎市竹谷町1丁目22,兵庫県,22 Takeyacho 1-chome Amagasaki Hyogo,Hyogo,
00000018,源亀,Genki,3.63,187,https://tabelog.com/tokyo/A1312/A131201/13072955/,https://tabelog.com/en/tokyo/A1312/A131201/13072955/,東京都墨田区錦糸4-14-9 本間ビル　１Ｆ,東京都,4-chome-14-9 Kinshi Sumida City Tokyo-to,Tokyo,http://www.genki.in/index.html
00000019,広島風お好み焼き かっちゃん,Hiroshimafuuokonomiyakikacchan,3.63,39,https://tabelog.com/miyazaki/A4501/A450102/45003947/,https://tabelog.com/en/miyazaki/A4501/A450102/45003947/,宮崎県宮崎市清武町木原61-7,宮崎県,Kihara-61-7 Kiyotakecho Miyazaki,Miyazaki,
00000020,かっちゃん,Kacchan,3.63,79,https://tabelog.com/fukushima/A0701/A070101/7001700/,https://tabelog.com/en/fukushima/A0701/A070101/7001700/,福島県福島市南中央1丁目76-1,福島県,Fukushima Minamichuo 1 Chome−76−１ 日精ビル,Fukushima,http://katchan.info/
00000021,お好み焼 村上,okonomiyakimurakami,3.70,275,https://tabelog.com/hiroshima/A3406/A340302/34002148/,https://tabelog.com/en/hiroshima/A3406/A340302/34002148/,広島県尾道市久保2-1-15,広島県,2 Chome-1-15 Kubo Onomichi Hiroshima,Hiroshima,
00000022,カポ,Kapo,3.58,70,https://tabelog.com/hyogo/A2803/A280301/28016100/,https://tabelog.com/en/hyogo/A2803/A280301/28016100/,兵庫県西宮市田代町7-3,兵庫県,7-3 Tashirocho Nishinomiya Hyogo,Hyogo,
00000023,お好み焼き88,Okonomiyakihachiya,3.44,54,https://tabelog.com/hiroshima/A3405/A340503/34008119/,https://tabelog.com/en/hiroshima/A3405/A340503/34008119/,広島県安芸高田市吉田町吉田522,広島県,522 Yoshidacho Yoshida Akitakata Hiroshima,Hiroshima,
00000024,キャベツ畑,Kyabetsubatake,3.62,195,https://tabelog.com/kanagawa/A1404/A140401/14002209/,https://tabelog.com/en/kanagawa/A1404/A140401/14002209/,神奈川県鎌倉市大船1-20-4,神奈川県,1-chome-20-4 Ōfuna Kamakura Kanagawa,Kanagawa,
00000025,ふみや お好み焼き 本店,Fumiyaokonomiyaki,3.52,182,https://tabelog.com/kagawa/A3701/A370101/37001631/,https://tabelog.com/en/kagawa/A3701/A370101/37001631/,香川県高松市瓦町2丁目2-35,香川県,2-35 Kawaramachi 2-chome Takamatsu Kagawa,Kagawa,http://www.fumiya-okonomiyaki.com/
00000026,広島お好み焼き おこたろう,Hiroshimaokonomiyakiokotarou,3.66,199,https://tabelog.com/tokyo/A1324/A132403/13061247/,https://tabelog.com/en/tokyo/A1324/A132403/13061247/,東京都葛飾区亀有3-31-8,東京都,3-chome-31-8 Kameari Katsushika City Tokyo-to,Tokyo,
00000027,日の出,Hinode,3.69,192,https://tabelog.com/ehime/A3801/A380101/38000268/,https://tabelog.com/en/ehime/A3801/A380101/38000268/,愛媛県松山市三杉町11-8,愛媛県,11-8 Misugimachi Matsuyama Ehime,Ehime,
00000028,お好み焼 千草,okonomiyakichigusa,3.73,793,https://tabelog.com/osaka/A2701/A270103/27002204/,https://tabelog.com/en/osaka/A2701/A270103/27002204/,大阪府大阪市北区天神橋4-11-18,大阪府,4-chome-11-18 Tenjinbashi Kita-ku Osaka,Osaka,
00000029,お好み焼もりちゃん,Okonomiyakimorichan,3.50,36,https://tabelog.com/fukuoka/A4001/A400106/40012882/,https://tabelog.com/en/fukuoka/A4001/A400106/40012882/,福岡県福岡市博多区古門戸町10-21,福岡県,10-21 Komondomachi Hakata-ku Fukuoka,Fukuoka,
