store_id,store_name,store_name_english,score,review_cnt,tabelog_lunch_budget_min,tabelog_lunch_budget_max,tabelog_dinner_budget_min,tabelog_dinner_budget_max,customer_lunch_budget_min,customer_lunch_budget_max,customer_dinner_budget_min,customer_dinner_budget_max,genre,url,url_english,address,latitude,longitude,prefecture,address_english,prefecture_english,website
00000001,オーノ ボーノ,OHNO BUONO,3.53,86,1000,1999,1000,1999,1000,1999,1000,1999,pizza,https://tabelog.com/hokkaido/A0101/A010204/1050491/,https://tabelog.com/en/hokkaido/A0101/A010204/1050491/,北海道札幌市西区発寒11条3-1-35,43.09173610000001,141.2938824,北海道,3-chome-1-35 Hassamu 11 Jo Nishi-ku Sapporo Hokkaido,Hokkaido,
00000002,聖林館,Seirinkan,3.74,1793,2000,2999,3000,3999,2000,2999,5000,5999,pizza,https://tabelog.com/tokyo/A1317/A131701/13003188/,https://tabelog.com/en/tokyo/A1317/A131701/13003188/,東京都目黒区上目黒2-6-4,35.6428921,139.699025,東京都,2-chome-6-4 Kamimeguro Meguro City Tokyo-to,Tokyo,
00000003,ゑんぞ,PIZZERIA ENZO,3.59,234,1000,1999,2000,2999,1000,1999,3000,3999,pizza,https://tabelog.com/tokyo/A1311/A131103/13141862/,https://tabelog.com/en/tokyo/A1311/A131103/13141862/,東京都台東区浅草橋1-17-2,35.6974031,139.7852544,東京都,1-chome-17-2 Asakusabashi Taito City Tokyo-to,Tokyo,
00000004,ピッツァ モーレ,PIZZA MORE,3.61,45,1000,1999,2000,2999,1000,1999,3000,3999,pizza,https://tabelog.com/ehime/A3802/A380204/38010555/,https://tabelog.com/en/ehime/A3802/A380204/38010555/,愛媛県四国中央市土居町天満2097-6,33.9831467,133.4216686,愛媛県,2097-6 Doicho Tenma Shikokuchuo Ehime,Ehime,http://pizzamore.jp/info/
00000005,ピッツェリア ダ マキ,PIZZERIA DA MAKI,3.63,62,1000,1999,2000,2999,2000,2999,3000,3999,pizza,https://tabelog.com/gunma/A1002/A100201/10021794/,https://tabelog.com/en/gunma/A1002/A100201/10021794/,群馬県桐生市錦町3-9-4,36.4004702,139.3302837,群馬県,3-chome-9-4 Nishikicho Kiryu Gunma,Gunma,https://damakikiryu.com/
00000006,シシリヤ,Sisiliya,3.76,1336,1000,1999,3000,3999,2000,2999,3000,3999,pizza,https://tabelog.com/kanagawa/A1401/A140104/14001040/,https://tabelog.com/en/kanagawa/A1401/A140104/14001040/,神奈川県横浜市中区相生町1-7 和同ビル　１Ｆ,35.4461397,139.6392914,神奈川県,1-chome-7 Aioicho Naka-ku Yokohama Kanagawa,Kanagawa,http://sisiliya.com/
00000007,イル・ピッツァイオーロ,IL PIZZAIOLO,3.76,154,1000,1999,3000,3999,2000,2999,3000,3999,pizza,https://tabelog.com/miyagi/A0401/A040101/4016875/,https://tabelog.com/en/miyagi/A0401/A040101/4016875/,宮城県仙台市青葉区堤町1-9-21 第13ジュリヤン 1F,38.2841113,140.8700207,宮城県,1-chome-9-21 Tsutsumimachi Aoba-ku Sendai Miyagi,Miyagi,
00000008,ピッツェリア・マリータ,PIZZERIA MARITA,3.73,234,1000,1999,2000,2999,1000,1999,2000,2999,pizza,https://tabelog.com/kyoto/A2601/A260201/26020891/,https://tabelog.com/en/kyoto/A2601/A260201/26020891/,京都府京都市中京区堺町通錦小路上ル512,35.00498900000001,135.7658612,京都府,Kyoto Nakagyo Ward 堺町通蛸薬師下る菊屋町512,Kyoto,
00000009,ピッツェリア ラッポルティ,Pizzeria Rapporti,3.53,47,1000,1999,2000,2999,1000,1999,2000,2999,pizza,https://tabelog.com/fukushima/A0701/A070101/7013206/,https://tabelog.com/en/fukushima/A0701/A070101/7013206/,福島県福島市笹谷字稲場37-2 パルメディオ 101,37.7877834,140.4487528,福島県,Inaba-37-2 Sasaya Fukushima,Fukushima,https://www.gurutto-fukushima.com/detail/777/index.html
00000010,ピッツェリア　ラ・チェネッタ,PIZZERIA La Cenetta,3.57,109,1000,1999,2000,2999,2000,2999,2000,2999,pizza,https://tabelog.com/okayama/A3302/A330201/33000817/,https://tabelog.com/en/okayama/A3302/A330201/33000817/,岡山県倉敷市船倉町1700 富田ビル　１Ｆ,34.5942352,133.7743172,岡山県,1700 Funaguracho Kurashiki Okayama,Okayama,http://www.la-cenetta.jp/
00000011,ラ ピッツァ ナポレターナ レガロ,LA PIZZA NAPOLETANA REGALO,3.64,408,1000,1999,2000,2999,1000,1999,2000,2999,pizza,https://tabelog.com/osaka/A2701/A270108/27084799/,https://tabelog.com/en/osaka/A2701/A270108/27084799/,大阪府大阪市福島区福島1-5-2 堀野ビル 1F,34.6952148,135.48861,大阪府,1-chome-5-2 Fukushima Fukushima-ku Osaka,Osaka,
00000012,ポルタ・ヌォーヴァ,Porta Nuova,3.67,250,1000,1999,2000,2999,1000,1999,4000,4999,pizza,https://tabelog.com/osaka/A2701/A270106/27000063/,https://tabelog.com/en/osaka/A2701/A270106/27000063/,大阪府大阪市西区靱本町1-16-19 メゾンタール　１Ｆ,34.6847554,135.4947951,大阪府,1-chome-16-19 Utsubohonmachi Nishi-ku Osaka,Osaka,https://portanuova-2002.Jimdofree.com
