store_id,store_name,store_name_english,score,review_cnt,tabelog_lunch_budget_min,tabelog_lunch_budget_max,tabelog_dinner_budget_min,tabelog_dinner_budget_max,customer_lunch_budget_min,customer_lunch_budget_max,customer_dinner_budget_min,customer_dinner_budget_max,genre,url,url_english,address,latitude,longitude,prefecture,address_english,prefecture_english,website
00000001,Ramen FeeL,Ramenfiru,3.96,708,1000,1999,2000,2999,2000,2999,2000,2999,ramen,https://tabelog.com/tokyo/A1330/A133003/13254631/,https://tabelog.com/en/tokyo/A1330/A133003/13254631/,東京都青梅市梅郷4-695-1,35.788712,139.2217761,東京都,4-chome-695-1 Baigo Ome Tokyo,Tokyo,
00000002,煮干鰮らーめん 圓 八王子本店,Niboshiiwashiramenen,3.78,2071,1000,1999,1000,1999,1000,1999,1000,1999,ramen,https://tabelog.com/tokyo/A1329/A132904/13091258/,https://tabelog.com/en/tokyo/A1329/A132904/13091258/,東京都八王子市横山町21-21,35.6603448,139.3384008,東京都,21-21 Yokoyamacho Hachioji Tokyo-to,Tokyo,
00000003,there is ramen,There is ramen,3.82,771,1000,1999,1000,1999,1000,1999,1000,1999,ramen,https://tabelog.com/tokyo/A1319/A131906/13277729/,https://tabelog.com/en/tokyo/A1319/A131906/13277729/,東京都杉並区天沼3-10-16,35.7074062,139.618278,東京都,3-chome-10-16 Amanuma Suginami City Tokyo,Tokyo,
00000004,こうかいぼう,Koukaibou,3.79,2142,1000,999,1000,999,1000,1999,1000,1999,ramen,https://tabelog.com/tokyo/A1313/A131303/13005052/,https://tabelog.com/en/tokyo/A1313/A131303/13005052/,東京都江東区深川2-13-10 ニックハイム深川 1F,35.6753359,139.7987437,東京都,2-chome-13-10 Fukagawa Koto City Tokyo-to,Tokyo,
00000005,らーめん亭 ひなり竜王,Ramenteihinariryuuou,3.84,505,1000,1999,1000,1999,1000,1999,1000,1999,ramen,https://tabelog.com/tokyo/A1315/A131503/13276299/,https://tabelog.com/en/tokyo/A1315/A131503/13276299/,東京都大田区大森中2-14-17,35.567452,139.7354948,東京都,2-chome-14-17 Ōmorinaka Ota City Tokyo,Tokyo,
00000006,麺処 びぎ屋,Mendokorobigiya,3.78,1426,1000,999,1000,1999,1000,1999,1000,1999,ramen,https://tabelog.com/tokyo/A1317/A131702/13093976/,https://tabelog.com/en/tokyo/A1317/A131702/13093976/,東京都目黒区鷹番2-4-9,35.6288281,139.6891233,東京都,2-chome-4-9 Takaban Meguro City Tokyo-to,Tokyo,http://www.bigiya.com/
00000007,六厘舎,Rokurinsha,3.77,5232,1000,999,1000,999,1000,1999,1000,1999,ramen,https://tabelog.com/tokyo/A1302/A130201/13093047/,https://tabelog.com/en/tokyo/A1302/A130201/13093047/,東京都千代田区丸の内1-9-1 東京駅一番街 B1F 東京ラーメンストリート内,35.6802935,139.7679568,東京都,1-chome-9-1 Marunouchi Chiyoda City Tokyo-to,Tokyo,https://www.rokurinsha.com/
00000008,ジャパニーズ ラーメン 五感,Japanizuramengokan,3.96,562,1000,1999,1000,999,2000,2999,1000,1999,ramen,https://tabelog.com/tokyo/A1305/A130501/13284009/,https://tabelog.com/en/tokyo/A1305/A130501/13284009/,東京都豊島区東池袋2-57-2 コスモ東池袋 101,35.7330795,139.7179055,東京都,Tokyo Toshima City Higashiikebukuro 2-chome−57−２ コスモ東池袋,Tokyo,
00000009,中華そば 多賀野,chuukasobatagano,3.88,1776,1000,999,1000,999,1000,1999,1000,1999,ramen,https://tabelog.com/tokyo/A1317/A131712/13003421/,https://tabelog.com/en/tokyo/A1317/A131712/13003421/,東京都品川区中延2-15-10,35.6097218,139.7115384,東京都,Nakanobu Shinagawa City Tokyo,Tokyo,https://taganosoba.jimdofree.com/
00000010,はつね,Hatsune,3.78,1331,1000,999,1000,999,1000,1999,1000,1999,ramen,https://tabelog.com/tokyo/A1319/A131907/13000717/,https://tabelog.com/en/tokyo/A1319/A131907/13000717/,東京都杉並区西荻南3-11-9,35.7034333,139.599761,東京都,3-chome-11-9 Nishiogiminami Suginami City Tokyo-to,Tokyo,
