store_id,store_name,store_name_english,score,review_cnt,tabelog_lunch_budget_min,tabelog_lunch_budget_max,tabelog_dinner_budget_min,tabelog_dinner_budget_max,customer_lunch_budget_min,customer_lunch_budget_max,customer_dinner_budget_min,customer_dinner_budget_max,genre,url,url_english,address,latitude,longitude,prefecture,address_english,prefecture_english,website
00000001,麺屋 猪一 離れ,Menyainoichihanare,3.69,594,1000,1999,1000,1999,1000,1999,1000,1999,ramen,https://tabelog.com/kyoto/A2601/A260201/26029810/,https://tabelog.com/en/kyoto/A2601/A260201/26029810/,京都府京都市下京区泉正寺町463 ルネ丸高1F,34.9999817,135.763261,京都府,463 Senshojicho Shimogyo-ku Kyoto,Kyoto,https://inoichi.stores.jp/
00000002,拳ラーメン,Kobushiramen,3.73,857,1000,999,1000,999,1000,1999,1000,1999,ramen,https://tabelog.com/kyoto/A2601/A260203/26017616/,https://tabelog.com/en/kyoto/A2601/A260203/26017616/,京都府京都市下京区朱雀正会町1-16,34.9893572,135.7437052,京都府,1-16 Sujakushokaicho Shimogyo-ku Kyoto,Kyoto,http://sakananoatama.blog69.fc2.com/
00000003,麺道はなもこし,Mendouhanamokoshi,3.70,469,1000,999,1000,999,1000,1999,1000,1999,ramen,https://tabelog.com/fukuoka/A4001/A400104/40028964/,https://tabelog.com/en/fukuoka/A4001/A400104/40028964/,福岡県福岡市中央区薬院2-4-35 エステート・モアシャトー薬院 1F,33.5811044,130.3953121,福岡県,2-chome-4-35 Yakuin Chuo-ku Fukuoka,Fukuoka,https://mendohanamokoshi.jimdofree.com/
00000004,あいつのラーメン かたぐるま 本店,Aitsunoramenkataguruma,3.73,1130,1000,1999,1000,1999,1000,1999,1000,1999,ramen,https://tabelog.com/kyoto/A2601/A260203/26023737/,https://tabelog.com/en/kyoto/A2601/A260203/26023737/,京都府京都市下京区西七条西八反田町77 ガーディアン青山 1F,34.992857,135.7362386,京都府,77 Nishishichijo Nishihattandacho Shimogyo-ku Kyoto,Kyoto,https://www.aitsunoramen.com/
00000005,来来,Rairai,3.67,283,0,999,1000,1999,0,999,1000,999,ramen,https://tabelog.com/fukuoka/A4007/A400702/40036441/,https://tabelog.com/en/fukuoka/A4007/A400702/40036441/,福岡県飯塚市片島1-3-38,33.644357,130.6833774,福岡県,3-38 Katashima 1-chome Iizuka Fukuoka,Fukuoka,
00000006,つけ麺無心,tsukememmushin,3.72,762,1000,1999,1000,1999,1000,1999,1000,1999,ramen,https://tabelog.com/nara/A2901/A290102/29004440/,https://tabelog.com/en/nara/A2901/A290102/29004440/,奈良県奈良市中町323-1,34.6746115,135.7521078,奈良県,323-1 Nakamachi Nara,Nara,http://www.mushin-tsukemen.com/
00000007,中華そば おしたに,Chuukasobaoshitani,3.68,430,1000,1999,1000,1999,1000,1999,1000,1999,ramen,https://tabelog.com/nara/A2901/A290101/29010416/,https://tabelog.com/en/nara/A2901/A290101/29010416/,奈良県奈良市四条大路5-4-30,34.6788341,135.788674,奈良県,Shijooji Nara,Nara,
00000008,金田家 本店,Kanadaya,3.66,546,0,999,1000,999,0,999,1000,1999,ramen,https://tabelog.com/fukuoka/A4006/A400601/40017922/,https://tabelog.com/en/fukuoka/A4006/A400601/40017922/,福岡県行橋市大橋1-4-3,33.7295493,130.982245,福岡県,1-chome-4-3 Ōhashi Yukuhashi Fukuoka,Fukuoka,
00000009,ラーメン二郎  京都店,ra-menjirou,3.69,498,1000,999,1000,999,1000,1999,1000,1999,ramen,https://tabelog.com/kyoto/A2601/A260303/26028749/,https://tabelog.com/en/kyoto/A2601/A260303/26028749/,京都府京都市左京区一乗寺里ノ前町4番,35.0438631,135.7875248,京都府,4 Ichijoji Satonomaecho Sakyo-ku Kyoto,Kyoto,
00000010,麺屋大河,Menyataiga,3.72,1406,1000,1999,1000,1999,1000,1999,1000,1999,ramen,https://tabelog.com/ishikawa/A1701/A170101/17007507/,https://tabelog.com/en/ishikawa/A1701/A170101/17007507/,石川県金沢市堀川町6-3,36.5789186,136.6523922,石川県,6-3 Horikawamachi Kanazawa Ishikawa,Ishikawa,https://menya-taiga.com/
00000011,支那そば 王王軒 本店,Shinasobawanwanken,3.68,918,1000,1999,1000,1999,1000,999,1000,999,ramen,https://tabelog.com/tokushima/A3603/A360303/36000071/,https://tabelog.com/en/tokushima/A3603/A360303/36000071/,徳島県板野郡藍住町徳命字牛ノ瀬446-15,34.11285,134.490819,徳島県,Ushinose-446-15 Tokumei Aizumi Itano-gun Tokushima,Tokushima,http://wanwanken.com/
00000012,元祖赤のれん 節ちゃんラーメン 天神本店,Gansoakanorensecchanramen,3.68,1311,0,999,0,999,0,999,0,999,ramen,https://tabelog.com/fukuoka/A4001/A400103/40035496/,https://tabelog.com/en/fukuoka/A4001/A400103/40035496/,福岡県福岡市中央区大名2-6-4,33.5891677,130.3958049,福岡県,2-chome-6-4 Daimyo Chuo-ku Fukuoka,Fukuoka,
00000013,麺食堂 88,Menshokudou hachijuuhachi,3.71,238,1000,999,0,999,1000,1999,0,999,ramen,https://tabelog.com/nara/A2901/A290101/29011843/,https://tabelog.com/en/nara/A2901/A290101/29011843/,奈良県天理市蔵之庄町442-1,34.635619,135.82858,奈良県,442-1 Kuranoshocho Tenri Nara,Nara,https://ameblo.jp/men-eightyeight/
00000014,和醸良麺 すがり,Wajouryoumensugari,3.69,1402,1000,999,1000,999,1000,1999,1000,1999,ramen,https://tabelog.com/kyoto/A2601/A260201/26006820/,https://tabelog.com/en/kyoto/A2601/A260201/26006820/,京都府京都市中京区観音堂町471-1,35.0043032,135.7572999,京都府,471-1 Kannondocho Nakagyo-ku Kyoto,Kyoto,https://www.sugari.net/
00000015,Clutch Hitter,Clutch Hitter,3.67,336,1000,999,1000,999,1000,1999,1000,1999,ramen,https://tabelog.com/hyogo/A2803/A280306/28046105/,https://tabelog.com/en/hyogo/A2803/A280306/28046105/,兵庫県伊丹市瑞ヶ丘1-19,34.7926374,135.3988716,兵庫県,1-chome-19 Mizugaoka Itami Hyogo,Hyogo,
00000016,安全食堂,Anzenshokudou,3.66,515,1000,999,1000,999,1000,1999,1000,999,ramen,https://tabelog.com/fukuoka/A4001/A400203/40000509/,https://tabelog.com/en/fukuoka/A4001/A400203/40000509/,福岡県福岡市西区横浜3-35-1,33.58189670000001,130.2604527,福岡県,3-chome-35-1 Yokohama Nishi-ku Fukuoka,Fukuoka,
00000017,麺屋 Somie's,Somie's,3.71,332,1000,999,0,999,1000,1999,0,999,ramen,https://tabelog.com/kyoto/A2608/A260802/26023025/,https://tabelog.com/en/kyoto/A2608/A260802/26023025/,京都府福知山市駅前町24,35.298843,135.1191434,京都府,24 Ekimaecho Fukuchiyama Kyoto,Kyoto,http://ameblo.jp/simpleman1963
00000018,博多元気一杯!!,hakatagenkiippai,3.74,1716,1000,999,1000,1999,1000,1999,1000,1999,ramen,https://tabelog.com/fukuoka/A4001/A400106/40000488/,https://tabelog.com/en/fukuoka/A4001/A400106/40000488/,福岡県福岡市博多区下呉服町4-31-1 ゾンターク博多Ⅰ 1F,33.6010248,130.4072188,福岡県,4-31 Shimogofukumachi Hakata-ku Fukuoka,Fukuoka,
00000019,熊本ラーメン 黒亭 本店,kumamotora-menkokutei,3.65,1499,1000,999,1000,999,1000,1999,1000,1999,ramen,https://tabelog.com/kumamoto/A4301/A430101/43000091/,https://tabelog.com/en/kumamoto/A4301/A430101/43000091/,熊本県熊本市西区二本木2-1-23,32.7860999,130.6918267,熊本県,2-chome-1-23 Nihongi Nishi-ku Kumamoto,Kumamoto,http://www.kokutei.co.jp
00000020,がむしゃら 奈良,gamushara,3.71,579,0,999,1000,999,0,999,1000,1999,ramen,https://tabelog.com/nara/A2902/A290202/29001411/,https://tabelog.com/en/nara/A2902/A290202/29001411/,奈良県大和郡山市上三橋町152-1,34.6451827,135.8155462,奈良県,152-1 Kamimitsuhashicho Yamatokoriyama Nara,Nara,http://www.muteppou.com/
00000021,らぁめん登里勝,raxamentorikatsu,3.74,633,1000,999,1000,999,1000,1999,1000,1999,ramen,https://tabelog.com/mie/A2402/A240203/24003363/,https://tabelog.com/en/mie/A2402/A240203/24003363/,三重県桑名市京町39,35.0633474,136.693484,三重県,39 Kyomachi Kuwana Mie,Mie,http://www.ra-mentorikatsu.com/
