store_id,store_name,store_name_english,score,review_cnt,url,url_english,address,prefecture,address_english,prefecture_english,website
00000001,玄蕎麦 野中,Gensoba Nonaka,3.71,571,https://tabelog.com/tokyo/A1321/A132102/13002725/,https://tabelog.com/en/tokyo/A1321/A132102/13002725/,東京都練馬区中村2-5-11,東京都,2-chome-5-11 Nakamura Nerima City Tokyo-to,Tokyo,
00000002,手打ちそば やっ古,teuchisobayakko,3.69,85,https://tabelog.com/tokyo/A1317/A131702/13204512/,https://tabelog.com/en/tokyo/A1317/A131702/13204512/,東京都目黒区鷹番3-4-13,東京都,3-chome-4-13 Takaban Meguro City Tokyo-to,Tokyo,
00000003,そば切り 天笑,Sobagiritenshou,3.69,273,https://tabelog.com/osaka/A2707/A270702/27000053/,https://tabelog.com/en/osaka/A2707/A270702/27000053/,大阪府枚方市岡南町10-30,大阪府,10-30 Okaminamicho Hirakata Osaka,Osaka,https://odekake.blog/sobakiritensho/
00000004,蕎麦小路 さわらび,Sobakoujisawarabi,3.74,282,https://tabelog.com/tokyo/A1308/A130803/13022640/,https://tabelog.com/en/tokyo/A1308/A130803/13022640/,東京都千代田区隼町2-10 ２１０半蔵門　１Ｆ,東京都,2-10 Hayabusacho Chiyoda City Tokyo-to,Tokyo,http://sawarabi-soba.com
00000005,久庵,Kyuuan,3.71,175,https://tabelog.com/hyogo/A2801/A280109/28002313/,https://tabelog.com/en/hyogo/A2801/A280109/28002313/,兵庫県神戸市兵庫区塚本通6-1-3 ＳＵＮつかろくビル　１Ｆ,兵庫県,6-chome-1-3 Tsukamotodori Hyogo-ku Kobe Hyogo,Hyogo,http://www.soba-kyuan.jp
00000006,仲佐,Nakasa,3.90,526,https://tabelog.com/gifu/A2104/A210403/21000060/,https://tabelog.com/en/gifu/A2104/A210403/21000060/,岐阜県下呂市森918-47,岐阜県,918 Mori Gero Gifu,Gifu,http://nakasasoba.com/
00000007,蕎麦 惠土,Sobaedo,3.71,101,https://tabelog.com/kanagawa/A1406/A140602/14004578/,https://tabelog.com/en/kanagawa/A1406/A140602/14004578/,神奈川県三浦郡葉山町堀内870-7,神奈川県,870-7 Horiuchi Hayama Miura-gun Kanagawa,Kanagawa,http://soba-edo.com/
00000008,手打 神代そば,teuchikamiyosoba,3.75,549,https://tabelog.com/shimane/A3201/A320101/32000016/,https://tabelog.com/en/shimane/A3201/A320101/32000016/,島根県松江市奥谷町324-5,島根県,324-5 Okudanicho Matsue Shimane,Shimane,http://izumosoba.com/archives/smap/神代そば%E3%80%80（出雲）
00000009,吟八亭 やざ和,Gimpachitei Yazawa,3.82,781,https://tabelog.com/tokyo/A1324/A132403/13003083/,https://tabelog.com/en/tokyo/A1324/A132403/13003083/,東京都葛飾区亀有1-27-8,東京都,1-chome-27-8 Kameari Katsushika City Tokyo-to,Tokyo,http://www.kamijuku.com/chamber/option/yazawa/
00000010,蕎や 月心,Sobayatsukigokoro,3.74,226,https://tabelog.com/tokyo/A1317/A131701/13096494/,https://tabelog.com/en/tokyo/A1317/A131701/13096494/,東京都目黒区中町2-44-15,東京都,2-chome-44-15 Nakacho Meguro City Tokyo-to,Tokyo,http://tsukigocoro.com
00000011,まつもと,Matsumoto,3.69,157,https://tabelog.com/kyoto/A2601/A260201/26022778/,https://tabelog.com/en/kyoto/A2601/A260201/26022778/,京都府京都市中京区中之町577,京都府,577 Nakanocho Nakagyo-ku Kyoto,Kyoto,
