store_id,store_name,store_name_english,score,review_cnt,tabelog_lunch_budget_min,tabelog_lunch_budget_max,tabelog_dinner_budget_min,tabelog_dinner_budget_max,customer_lunch_budget_min,customer_lunch_budget_max,customer_dinner_budget_min,customer_dinner_budget_max,genre,url,url_english,address,latitude,longitude,prefecture,address_english,prefecture_english,website
00000001,ステーキハウス新吾,Sutekihausushingo,3.60,51,,,20000,29999,,,20000,29999,steak,https://tabelog.com/kyoto/A2601/A260301/26006053/,https://tabelog.com/en/kyoto/A2601/A260301/26006053/,京都府京都市東山区新門前通大和大路東入西之町232-6,35.0060866,135.7744817,京都府,232-6 Nishinocho Higashiyama-ku Kyoto,Kyoto,
00000002,大淀河畔 みやちく,Ooyodokahammiyachiku,3.75,160,4000,4999,6000,7999,4000,4999,20000,29999,steak,https://tabelog.com/miyazaki/A4501/A450101/45000328/,https://tabelog.com/en/miyazaki/A4501/A450101/45000328/,宮崎県宮崎市松山1-1-1 宮崎観光ホテル西館　２Ｆ,31.9057077,131.4268035,宮崎県,1-chome-1-1 Matsuyama Miyazaki,Miyazaki,http://www.miyakan-h.com/
00000003,グルマンズ和牛,Gurumanzuwagyuu,3.69,171,4000,4999,6000,7999,10000,14999,15000,19999,steak,https://tabelog.com/tochigi/A0903/A090301/9000108/,https://tabelog.com/en/tochigi/A0903/A090301/9000108/,栃木県日光市所野1541-297,36.7651087,139.6162434,栃木県,1541-297 Tokorono Nikko Tochigi,Tochigi,https://www.g-wagyu.com
00000004,ステーキハウス キッチンリボン,Sutekihausukicchinribon,3.94,477,5000,5999,30000,39999,30000,39999,40000,49999,steak,https://tabelog.com/aichi/A2301/A230108/23000494/,https://tabelog.com/en/aichi/A2301/A230108/23000494/,愛知県名古屋市昭和区菊園町4-24 菊園ビル　１Ｆ,35.1385441,136.9421549,愛知県,4-chome-24 Kikuzonocho Showa-ku Nagoya Aichi,Aichi,http://www.kitchen-ribbon.co.jp/
00000005,祗園 一道,Gionichidou,3.78,91,5000,5999,30000,39999,30000,39999,30000,39999,steak,https://tabelog.com/kyoto/A2601/A260301/26018265/,https://tabelog.com/en/kyoto/A2601/A260301/26018265/,京都府京都市東山区祇園町南側589 ぎをん松本ビル1階,35.003597,135.7731576,京都府,589 Gionmachi Minamigawa Higashiyama-ku Kyoto,Kyoto,
00000006,鉄板焼ステーキ 一ッ葉ミヤチク,teppanyakisute-kihitotsubamiyachiku,3.67,288,5000,5999,30000,39999,8000,9999,4000,4999,steak,https://tabelog.com/miyazaki/A4501/A450101/45000084/,https://tabelog.com/en/miyazaki/A4501/A450101/45000084/,宮崎県宮崎市新別府町前浜1401-255,31.9206524,131.4595087,宮崎県,Maehama-1401-255 Shinbeppucho Miyazaki,Miyazaki,http://rest.miyachiku.jp/hitotsuba/
00000007,銀座 ひらやま,Hirayama,3.76,107,5000,5999,80000,99999,8000,9999,80000,99999,steak,https://tabelog.com/tokyo/A1313/A131301/13151917/,https://tabelog.com/en/tokyo/A1313/A131301/13151917/,東京都中央区銀座7-17-1 武蔵野ビル1F,35.6667362,139.7663461,東京都,7-chome-17-1 Ginza Chuo City Tokyo-to,Tokyo,https://ginzahirayama.jp/
00000008,鎌倉山 本店,Kamakurayama,3.64,244,5000,5999,80000,99999,10000,14999,20000,29999,steak,https://tabelog.com/kanagawa/A1404/A140402/14000275/,https://tabelog.com/en/kanagawa/A1404/A140402/14000275/,神奈川県鎌倉市鎌倉山3-11-1,35.3211477,139.514518,神奈川県,3-chome-11-1 Kamakurayama Kamakura Kanagawa,Kanagawa,http://roastbeef.jp/restaurants/kamakura
00000009,クローバーステーキハウス,Kurobasutekihausu,3.53,155,5000,5999,80000,99999,3000,3999,6000,7999,steak,https://tabelog.com/tochigi/A0904/A090403/9000092/,https://tabelog.com/en/tochigi/A0904/A090403/9000092/,栃木県那須烏山市興野316-1,36.6645223,140.1698624,栃木県,316-1 Kyono Nasukarasuyama Tochigi,Tochigi,http://www.clover4.co.jp/
00000010,利心,Rishin,3.58,35,3000,3999,10000,14999,3000,3999,10000,14999,steak,https://tabelog.com/hyogo/A2804/A280402/28015268/,https://tabelog.com/en/hyogo/A2804/A280402/28015268/,兵庫県加古川市尾上町養田1-71,34.7487908,134.8198017,兵庫県,1-chome-71 Onoecho Yota Kakogawa Hyogo,Hyogo,
00000011,潜龍,Senryuu,3.72,170,3000,3999,10000,14999,15000,19999,15000,19999,steak,https://tabelog.com/gifu/A2101/A210101/21000012/,https://tabelog.com/en/gifu/A2101/A210101/21000012/,岐阜県岐阜市長良14,35.4410853,136.7807292,岐阜県,14 Nagara Gifu,Gifu,http://www.senryu.co.jp/
00000012,ウェスタ,Vesta,3.93,219,30000,39999,40000,49999,15000,19999,80000,99999,steak,https://tabelog.com/tokyo/A1302/A130202/13185496/,https://tabelog.com/en/tokyo/A1302/A130202/13185496/,東京都中央区日本橋3-8-13 華蓮日本橋ビル 1F,35.6800942,139.7733151,東京都,3-chome-8-13 Nihonbashi Chuo City Tokyo-to,Tokyo,http://www.vesta-tokyo.com
00000013,哥利歐,GORIO,3.72,157,10000,14999,20000,29999,20000,29999,30000,39999,steak,https://tabelog.com/tokyo/A1313/A131301/13002356/,https://tabelog.com/en/tokyo/A1313/A131301/13002356/,東京都中央区銀座8-18-3 DJ銀座ビル1F,35.6662651,139.7650077,東京都,8-chome-18-3 Ginza Chuo City Tokyo-to,Tokyo,http://www.gorio.jp/
00000014,ルース クリス ステーキハウス,Rusukurisusutekihausu,3.65,449,10000,14999,20000,29999,10000,14999,10000,14999,steak,https://tabelog.com/tokyo/A1308/A130802/13045091/,https://tabelog.com/en/tokyo/A1308/A130802/13045091/,東京都千代田区霞が関3-2-6 東京倶楽部ビルディング　霞ダイニング　１Ｆ,35.6707607,139.7469953,東京都,3-chome-2-6 Kasumigaseki Chiyoda City Tokyo-to,Tokyo,https://www.ruthschris.co.jp/jp
00000015,佐賀牛レストラン季楽 本店,Sagagyuuresutorankira,3.71,319,10000,14999,20000,29999,3000,3999,10000,14999,steak,https://tabelog.com/saga/A4101/A410101/41000012/,https://tabelog.com/en/saga/A4101/A410101/41000012/,佐賀県佐賀市大財3-9-16,33.2615773,130.3033185,佐賀県,3-chome-9-16 Ōtakara Saga,Saga,http://kira.saga-ja.jp
00000016,喜瀬,Kise,3.75,112,10000,14999,20000,29999,3000,3999,20000,29999,steak,https://tabelog.com/okinawa/A4702/A470201/47011807/,https://tabelog.com/en/okinawa/A4702/A470201/47011807/,沖縄県名護市喜瀬1343-1 ザ・リッツカールトン沖縄 3Ｆ,26.5280858,127.9398478,沖縄県,1343-1 Kise Nago Okinawa,Okinawa,https://www.ritzcarlton.com/jp/hotels/japan/okinawa/dining/kise
00000017,存じやす　極,Zonjiyasukiwami,3.63,31,10000,14999,20000,29999,3000,3999,20000,29999,steak,https://tabelog.com/tochigi/A0901/A090101/9007919/,https://tabelog.com/en/tochigi/A0901/A090101/9007919/,栃木県宇都宮市中央5-3-5,36.5582903,139.8862247,栃木県,Central Utsunomiya Tochigi,Tochigi,https://zonjiyasu.com/kiwami/
00000018,AUBE．鉄板料理 つむぎ,Obuteppanryouritsumugi,3.52,29,10000,14999,4000,4999,3000,3999,6000,7999,steak,https://tabelog.com/miyazaki/A4501/A450101/45000797/,https://tabelog.com/en/miyazaki/A4501/A450101/45000797/,宮崎県宮崎市中央通8-23 2F,31.9138812,131.4209828,宮崎県,8-23 Chuodori Miyazaki,Miyazaki,
00000019,八王子うかい亭,Hachioujiukaitei,3.70,458,8000,9999,10000,14999,15000,19999,30000,39999,steak,https://tabelog.com/tokyo/A1329/A132904/13006015/,https://tabelog.com/en/tokyo/A1329/A132904/13006015/,東京都八王子市暁町2-14-6,35.673231,139.3341882,東京都,2-chome-14-6 Akatsukicho Hachioji Tokyo-to,Tokyo,https://www.ukai.co.jp/hachioji/
00000020,ステーキレストランそうま,Sutekiresutoransouma,3.55,60,8000,9999,10000,14999,5000,5999,10000,14999,steak,https://tabelog.com/kanagawa/A1406/A140602/14002324/,https://tabelog.com/en/kanagawa/A1406/A140602/14002324/,神奈川県三浦郡葉山町一色1180-2 かやの木テラス参番館,35.2665699,139.5869055,神奈川県,1180-2 Isshiki Hayama Miura-gun Kanagawa,Kanagawa,http://www.steak-souma.jp/
00000021,六角堂,Rokkakudou,3.58,55,8000,9999,10000,14999,5000,5999,15000,19999,steak,https://tabelog.com/aichi/A2306/A230603/23000855/,https://tabelog.com/en/aichi/A2306/A230603/23000855/,愛知県蒲郡市竹島町15-1 蒲郡クラシックホテル,34.8159984,137.2356407,愛知県,15-1 Takeshimacho Gamagori Aichi,Aichi,https://gamagori-classic-hotel.com/restaurant/rokkakudo/
00000022,米沢牛亭 ぐっど,yonezawagyuuteiguddo,3.64,242,1000,1999,5000,5999,2000,2999,15000,19999,steak,https://tabelog.com/yamagata/A0602/A060201/6000031/,https://tabelog.com/en/yamagata/A0602/A060201/6000031/,山形県米沢市下花沢1-3-4,37.9065849,140.1332814,山形県,1 Chome-3-4 Shimohanazawa Yonezawa Yamagata,Yamagata,http://yonezawagyutei.com/
00000023,ステーキ＆ワイン いしざき,Sutekiandowainishizaki,3.71,122,1000,1999,15000,19999,2000,2999,20000,29999,steak,https://tabelog.com/hokkaido/A0101/A010103/1002853/,https://tabelog.com/en/hokkaido/A0101/A010103/1002853/,北海道札幌市中央区南四条西3 ニュー北星ビル 4Ｆ,43.0561203,141.3540173,北海道,Minami 4 Jonishi Chuo Ward Sapporo Hokkaido,Hokkaido,https://steak-wine-ishizaki.jp
