store_id,store_name,store_name_english,score,review_cnt,tabelog_lunch_budget_min,tabelog_lunch_budget_max,tabelog_dinner_budget_min,tabelog_dinner_budget_max,customer_lunch_budget_min,customer_lunch_budget_max,customer_dinner_budget_min,customer_dinner_budget_max,genre,url,url_english,address,latitude,longitude,prefecture,address_english,prefecture_english,website
00000001,スタイルズケイクス＆カンパニー,STYLE'S CAKES & CO. ,3.81,632,1000,1999,1000,1999,1000,1999,1000,1999,sweets,https://tabelog.com/tokyo/A1310/A131003/13125138/,https://tabelog.com/en/tokyo/A1310/A131003/13125138/,東京都千代田区神田小川町3-16-5 第二岩崎ビル 1Ｆ,35.6967601,139.7604731,東京都,3-chome-16-5 Kanda Ogawamachi Chiyoda City Tokyo-to,Tokyo,http://www.stylescakes.com/
00000002,シュークリー,Sucre-rie,3.85,1109,0,999,0,999,0,999,0,999,sweets,https://tabelog.com/tokyo/A1302/A130204/13050996/,https://tabelog.com/en/tokyo/A1302/A130204/13050996/,東京都中央区日本橋人形町1-5-5 セントハイム人形町源　１Ｆ,35.6852695,139.7815531,東京都,1-chome-5-5 Nihonbashiningyocho Chuo City Tokyo-to,Tokyo,https://m.facebook.com/pages/Sucre-rie-%25E3%2582%25B7%25E3%2583%25A5%25E3%2583%25BC%25E3%2582%25AF%25E3%2583%25AA%25E3%2583%25BC/313513148721507?id=313513148721507&refsrc=http%253A%252F%252Fwww.googl
00000003,GAZTA,GAZTA,3.84,901,1000,1999,4000,999,1000,999,4000,4999,sweets,https://tabelog.com/tokyo/A1316/A131602/13223261/,https://tabelog.com/en/tokyo/A1316/A131602/13223261/,東京都港区白金1-14-10 1F,35.6453013,139.7333994,東京都,1-chome-14-10 Shirokane Minato City Tokyo-to,Tokyo,https://valuet.co.jp/maison-b/gazta/
00000004,成城アルプス,Seijouarupusu,3.74,619,1000,1999,1000,1999,1000,1999,1000,1999,sweets,https://tabelog.com/tokyo/A1318/A131814/13002002/,https://tabelog.com/en/tokyo/A1318/A131814/13002002/,東京都世田谷区成城6-8-1,35.6403674,139.5980624,東京都,Seijo Setagaya City Tokyo,Tokyo,http://www.seijo-alpes.com/
00000005,ヨハン 本店,JOHANN,3.73,677,0,999,1000,1999,0,999,1000,999,sweets,https://tabelog.com/tokyo/A1317/A131701/13003450/,https://tabelog.com/en/tokyo/A1317/A131701/13003450/,東京都目黒区上目黒1-18-15,35.64571919999999,139.6984964,東京都,1-chome-18-15 Kamimeguro Meguro City Tokyo-to,Tokyo,http://johann-cheesecake.com/
00000006,フレデリック カッセル 銀座三越店,Furederikkukasseru,3.95,1238,2000,2999,1000,1999,2000,999,1000,1999,sweets,https://tabelog.com/tokyo/A1301/A130101/13116839/,https://tabelog.com/en/tokyo/A1301/A130101/13116839/,東京都中央区銀座4-6-16 銀座三越 B2F,35.6712864,139.7657382,東京都,4-chome-6-16 Ginza Chuo City Tokyo-to,Tokyo,https://www.frederic-cassel.jp/
00000007,マテリエル,materieru,3.90,640,2000,2999,1000,1999,1000,1999,1000,1999,sweets,https://tabelog.com/tokyo/A1322/A132203/13110008/,https://tabelog.com/en/tokyo/A1322/A132203/13110008/,東京都板橋区大山町21-6 白樹舘壱番館 1F,35.7482455,139.6988155,東京都,21-6 Ōyamacho Itabashi City Tokyo-to,Tokyo,http://www.patisserie-materiel.com/
00000008,ラトリエ ア マ ファソン,Ratorieamafason,3.97,344,2000,2999,1000,1999,4000,4999,4000,4999,sweets,https://tabelog.com/tokyo/A1317/A131715/13242556/,https://tabelog.com/en/tokyo/A1317/A131715/13242556/,東京都世田谷区上野毛1-26-14,35.6125867,139.6387335,東京都,1-chome-26-14 Kaminoge Setagaya City Tokyo-to,Tokyo,
00000009,メゾン・ダーニ,MAISON D'AHNI,3.78,743,2000,2999,1000,1999,1000,1999,1000,1999,sweets,https://tabelog.com/tokyo/A1316/A131602/13183428/,https://tabelog.com/en/tokyo/A1316/A131602/13183428/,東京都港区白金1-11-15 1F,35.6455532,139.7332896,東京都,1-chome-11-15 Shirokane Minato City Tokyo-to,Tokyo,https://valuet.co.jp/maison-b/mdahni/
00000010,ロートンヌ 中野店,L'AUTOMNE,3.76,462,2000,2999,1000,1999,1000,1999,1000,1999,sweets,https://tabelog.com/tokyo/A1321/A132101/13118933/,https://tabelog.com/en/tokyo/A1321/A132101/13118933/,東京都中野区江原町2-30-1,35.7322031,139.6706193,東京都,2-chome-30-1 Eharacho Nakano City Tokyo-to,Tokyo,http://www.lautomne.jp/shops_nakano.html
