store_id,store_name,store_name_english,score,review_cnt,url,url_english,address,prefecture,address_english,prefecture_english,website
00000001,国八食堂,Kunihachishokudou,3.71,340,https://tabelog.com/gifu/A2104/A210401/21001354/,https://tabelog.com/en/gifu/A2104/A210401/21001354/,岐阜県高山市下切町1441-3,岐阜県,1441-3 Shimogirimachi Takayama Gifu,Gifu,
00000002,こづち,Koduchi,3.49,1025,https://tabelog.com/tokyo/A1303/A130302/13001589/,https://tabelog.com/en/tokyo/A1303/A130302/13001589/,東京都渋谷区恵比寿1-7-6 陸中ビルハイツ 1F,東京都,1-chome-7-6 Ebisu Shibuya City Tokyo-to,Tokyo,
00000003,d47食堂,dhi-yonnanashokudou,3.50,611,https://tabelog.com/tokyo/A1303/A130301/13140335/,https://tabelog.com/en/tokyo/A1303/A130301/13140335/,東京都渋谷区渋谷2-21-1 渋谷ヒカリエ 8F,東京都,2-chome-21-1 Shibuya Shibuya City Tokyo-to,Tokyo,http://www.hikarie8.com/d47shokudo/
00000004,洋庖丁 池袋店,Youbouchou,3.51,664,https://tabelog.com/tokyo/A1305/A130501/13114697/,https://tabelog.com/en/tokyo/A1305/A130501/13114697/,東京都豊島区池袋2-41-6 第1ジャンポールビル1F,東京都,2-chome-41-6 Ikebukuro Toshima City Tokyo-to,Tokyo,
00000005,とん金,Tonkin,3.49,375,https://tabelog.com/tokyo/A1316/A131603/13025438/,https://tabelog.com/en/tokyo/A1316/A131603/13025438/,東京都品川区西五反田7-5-4 長塚ビル1F,東京都,Nishigotanda Shinagawa City Tokyo,Tokyo,
00000006,なかよし食堂,Nakayoshishokudou,3.67,407,https://tabelog.com/okinawa/A4705/A470501/47001385/,https://tabelog.com/en/okinawa/A4705/A470501/47001385/,沖縄県石垣市新栄町26-21,沖縄県,26-21 Shineicho Ishigaki Okinawa,Okinawa,
00000007,みかど,Mikado,3.49,852,https://tabelog.com/okinawa/A4701/A470101/47000095/,https://tabelog.com/en/okinawa/A4701/A470101/47000095/,沖縄県那覇市松山1-3-18,沖縄県,1-chome-3-18 Matsuyama Naha Okinawa,Okinawa,
00000008,大和,Yamato,3.74,180,https://tabelog.com/saga/A4102/A410201/41000157/,https://tabelog.com/en/saga/A4102/A410201/41000157/,佐賀県唐津市鎮西町名護屋1445-4,佐賀県,1445-4 Chinzeimachi Nagoya Karatsu Saga,Saga,http://www.ika-yamato.com/index.html
00000009,炭火焼専門食処 白銀屋,Sumibiyakisenmonshokudokoroshiroganeya,3.61,695,https://tabelog.com/tokyo/A1304/A130401/13047017/,https://tabelog.com/en/tokyo/A1304/A130401/13047017/,東京都新宿区西新宿7-19-7 サンローゼ新宿　１Ｆ,東京都,Nishishinjuku Shinjuku City Tokyo,Tokyo,http://hu-max.co.jp/
00000010,おきよ,Okiyo,3.49,488,https://tabelog.com/fukuoka/A4001/A400104/40000036/,https://tabelog.com/en/fukuoka/A4001/A400104/40000036/,福岡県福岡市中央区長浜3-11-3 市場会館　１Ｆ,福岡県,3-chome-11-3 Nagahama Chuo-ku Fukuoka,Fukuoka,
00000011,直ちゃん,Naochan,3.65,537,https://tabelog.com/miyazaki/A4505/A450501/45000063/,https://tabelog.com/en/miyazaki/A4505/A450501/45000063/,宮崎県延岡市栄町9-3,宮崎県,9-3 Sakaemachi Nobeoka Miyazaki,Miyazaki,
00000012,もつ煮屋 日の出食堂,Motsuniyahinodeshokudou,3.58,388,https://tabelog.com/gunma/A1002/A100202/10005887/,https://tabelog.com/en/gunma/A1002/A100202/10005887/,群馬県伊勢崎市三室町6212-3,群馬県,6212-3 Mimurocho Isesaki Gunma,Gunma,https://motsuni-hinode.com/
00000013,食事処 酒肴 浅草 水口,shokujidokorosakedokoroasakusamizuguchi,3.49,775,https://tabelog.com/tokyo/A1311/A131102/13020182/,https://tabelog.com/en/tokyo/A1311/A131102/13020182/,東京都台東区浅草2-4-9,東京都,2-chome-4-9 Asakusa Taito City Tokyo-to,Tokyo,http://asakusa-mizuguch.main.jp/index.html
00000014,村民食堂,Somminshokudou,3.51,416,https://tabelog.com/nagano/A2003/A200301/20000413/,https://tabelog.com/en/nagano/A2003/A200301/20000413/,長野県北佐久郡軽井沢町長倉2148,長野県,2148 Nagakura Karuizawa Kitasaku-gun Nagano,Nagano,http://hoshino-area.jp/sonminsyokudou/
