store_id,store_name,store_name_english,score,review_cnt,tabelog_lunch_budget_min,tabelog_lunch_budget_max,tabelog_dinner_budget_min,tabelog_dinner_budget_max,customer_lunch_budget_min,customer_lunch_budget_max,customer_dinner_budget_min,customer_dinner_budget_max,genre,url,url_english,address,latitude,longitude,prefecture,address_english,prefecture_english,website
00000001,天ぷら 小泉,Tempurakoizumi,3.87,106,10000,14999,15000,19999,15000,19999,20000,29999,tempura,https://tabelog.com/ishikawa/A1701/A170101/17009514/,https://tabelog.com/en/ishikawa/A1701/A170101/17009514/,石川県金沢市池田町4-34,36.5576559,136.653593,石川県,Ikedamachi Kanazawa Ishikawa,Ishikawa,https://tempura-koizumi.jp
00000002,てんぷら 近藤,Kondo,3.87,836,8000,9999,20000,29999,15000,19999,15000,19999,tempura,https://tabelog.com/tokyo/A1301/A130101/13004993/,https://tabelog.com/en/tokyo/A1301/A130101/13004993/,東京都中央区銀座5-5-13 坂口ビル　9Ｆ,35.6712111,139.7634809,東京都,5-chome-5-13 Ginza Chuo City Tokyo-to,Tokyo,https://tempura-kondo.com/
00000003,天ぷら浅沼,Tempuraasanuma,3.82,176,15000,19999,15000,19999,20000,29999,20000,29999,tempura,https://tabelog.com/tokyo/A1302/A130202/13275655/,https://tabelog.com/en/tokyo/A1302/A130202/13275655/,東京都中央区日本橋2-10-11 ordin日本橋ビル 6F,35.6810036,139.7745842,東京都,2-chome-10-11 Nihonbashi Chuo City Tokyo,Tokyo,
00000004,成生,naruse,4.63,214,15000,19999,15000,19999,40000,49999,40000,49999,tempura,https://tabelog.com/shizuoka/A2201/A220101/22037788/,https://tabelog.com/en/shizuoka/A2201/A220101/22037788/,静岡県静岡市葵区丸山町12-2,34.9850421,138.3761513,静岡県,12 Maruyamacho Aoi Ward Shizuoka,Shizuoka,
00000005,たきや,Takiya,4.52,275,15000,19999,40000,49999,40000,49999,60000,79999,tempura,https://tabelog.com/tokyo/A1307/A130702/13185763/,https://tabelog.com/en/tokyo/A1307/A130702/13185763/,東京都港区麻布十番2-8-6 ラベイユ麻布十番 2F,35.6555619,139.7346056,東京都,2 Chome-8 Azabujuban Minato City Tokyo,Tokyo,
00000006,日本橋 蕎ノ字,nihombashisonoji,4.27,368,20000,29999,20000,29999,40000,49999,40000,49999,tempura,https://tabelog.com/tokyo/A1302/A130204/13201969/,https://tabelog.com/en/tokyo/A1302/A130204/13201969/,東京都中央区日本橋人形町2-22-11 井上ビル 1F,35.6861875,139.7843592,東京都,2-chome-22-11 Nihonbashiningyocho Chuo City Tokyo-to,Tokyo,http://www.sonoji.info/
00000007,天ぷら たけうち,Tempuratakeuchi,4.28,252,8000,9999,8000,9999,10000,14999,10000,14999,tempura,https://tabelog.com/fukuoka/A4003/A400301/40013636/,https://tabelog.com/en/fukuoka/A4003/A400301/40013636/,福岡県那珂川市今光6-64-1,33.5204338,130.427099,福岡県,6-chome-64-1 Imamitsu Nakagawa Fukuoka,Fukuoka,
00000008,旬彩 天ぷら 心来(しんら）,Shunsaitempurashinra,3.69,152,3000,3999,10000,14999,4000,4999,10000,14999,tempura,https://tabelog.com/aichi/A2301/A230113/23041432/,https://tabelog.com/en/aichi/A2301/A230113/23041432/,愛知県名古屋市中川区八田町409 杉山ハイツ1F,35.1477857,136.854485,愛知県,409 Hattacho Nakagawa Ward Nagoya Aichi,Aichi,
00000009,天ぷら 元吉,Tempuramotoyoshi,3.77,52,3000,3999,10000,14999,4000,4999,30000,39999,tempura,https://tabelog.com/tokyo/A1303/A130302/13270939/,https://tabelog.com/en/tokyo/A1303/A130302/13270939/,東京都渋谷区恵比寿西2-8-11 グランベル恵比寿Ⅳ 3F,35.6495475,139.7076258,東京都,2-chome-8-11 Ebisunishi Shibuya City Tokyo,Tokyo,https://motoyoshi-1120.com/
00000010,司,Tsukasa,3.73,112,3000,3999,10000,14999,1000,1999,10000,14999,tempura,https://tabelog.com/gunma/A1005/A100502/10014231/,https://tabelog.com/en/gunma/A1005/A100502/10014231/,群馬県藤岡市下栗須175-1,36.2574533,139.0885209,群馬県,175-1 Shimokurisu Fujioka Gunma,Gunma,
00000011,天ぷら 銀屋,tempuraginya,3.65,55,3000,3999,20000,29999,1000,1999,20000,29999,tempura,https://tabelog.com/tokyo/A1316/A131602/13153190/,https://tabelog.com/en/tokyo/A1316/A131602/13153190/,東京都港区白金台5-17-9 コスモ白金ヒルズ B1F,35.6374485,139.7231927,東京都,5-chome-17-9 Shirokanedai Minato City Tokyo-to,Tokyo,
00000012,旬恵庵 あら垣,Shunkeianarakaki,3.76,68,3000,3999,15000,19999,15000,19999,15000,19999,tempura,https://tabelog.com/tokyo/A1313/A131301/13210026/,https://tabelog.com/en/tokyo/A1313/A131301/13210026/,東京都中央区湊3-5-10,35.6696335,139.7781878,東京都,3-chome-5-10 Minato Chuo City Tokyo-to,Tokyo,
