store_id,store_name,store_name_english,score,review_cnt,tabelog_lunch_budget_min,tabelog_lunch_budget_max,tabelog_dinner_budget_min,tabelog_dinner_budget_max,customer_lunch_budget_min,customer_lunch_budget_max,customer_dinner_budget_min,customer_dinner_budget_max,genre,url,url_english,address,latitude,longitude,prefecture,address_english,prefecture_english,website
00000001,馬酔木,Ashibi,3.68,361,1000,1999,2000,2999,1000,1999,3000,3999,tonkatsu,https://tabelog.com/kanagawa/A1401/A140203/14004365/,https://tabelog.com/en/kanagawa/A1401/A140203/14004365/,神奈川県横浜市都筑区高山14-5 エスパシオ高山,35.5343727,139.5610038,神奈川県,14-5 Takayama Tsuzuki-ku Yokohama Kanagawa,Kanagawa,http://www.ashibi.info/
00000002,ぽくぽく,Pokupoku,3.68,183,2000,2999,2000,2999,2000,2999,2000,2999,tonkatsu,https://tabelog.com/nara/A2901/A290101/29006452/,https://tabelog.com/en/nara/A2901/A290101/29006452/,奈良県奈良市勝南院町23,34.6787628,135.8302259,奈良県,23 Shonamicho Nara,Nara,http://pokupoku-yamato.cocolog-nifty.com
00000003,とんかつ 串揚げ 優膳,tonkatsukushiageyuuzen,3.66,385,1000,1999,1000,1999,1000,1999,2000,2999,tonkatsu,https://tabelog.com/chiba/A1205/A120504/12003688/,https://tabelog.com/en/chiba/A1205/A120504/12003688/,千葉県茂原市東部台3-26-10,35.4198072,140.3232098,千葉県,Tobudai Mobara Chiba,Ciba,
00000004,とんかつ七井戸,Tonkatsunanaido,3.78,424,1000,1999,1000,1999,2000,2999,3000,3999,tonkatsu,https://tabelog.com/tokyo/A1306/A130603/13229075/,https://tabelog.com/en/tokyo/A1306/A130603/13229075/,東京都渋谷区神宮前3-42-11 ローザビアンカ 1F,35.6718214,139.7139354,東京都,3-chome-42-11 Jingumae Shibuya City Tokyo-to,Tokyo,https://instagram.com/tonkatsunanaido?igshid=MzRlODBiNWFlZA==
00000005,塩梅,Ambai,3.69,854,1000,1999,2000,2999,1000,1999,2000,2999,tonkatsu,https://tabelog.com/chiba/A1203/A120301/12000061/,https://tabelog.com/en/chiba/A1203/A120301/12000061/,千葉県柏市明原1-2-3 柏田中ビル　Ｂ１Ｆ,35.8641956,139.9665948,千葉県,Akehara Kashiwa Chiba,Ciba,http://anbai-kashiwa.wixsite.com/homepage
00000006,ぶた いながき,Buta inagaki,3.77,474,2000,2999,2000,2999,2000,2999,1000,1999,tonkatsu,https://tabelog.com/aichi/A2301/A230108/23071466/,https://tabelog.com/en/aichi/A2301/A230108/23071466/,愛知県名古屋市瑞穂区洲雲町3-26 ブロアセレッソ 1F,35.1399276,136.930017,愛知県,3-chome-26 Sugumocho Mizuho-ku Nagoya Aichi,Aichi,
00000007,とんかつ よしだ,Tonkatsuyoshida,3.72,173,1000,1999,2000,2999,2000,2999,2000,2999,tonkatsu,https://tabelog.com/fukuoka/A4001/A400105/40055414/,https://tabelog.com/en/fukuoka/A4001/A400105/40055414/,福岡県福岡市中央区谷1-13-20,33.5776912,130.3793151,福岡県,1-chome-13-20 Tani Chuo Ward Fukuoka,Fukuoka,
00000008,Katsuプリポー,Katsupuripo,3.90,466,3000,3999,6000,7999,6000,7999,5000,5999,tonkatsu,https://tabelog.com/tokyo/A1304/A130401/13264309/,https://tabelog.com/en/tokyo/A1304/A130401/13264309/,東京都新宿区歌舞伎町1-10-3 G3ビル 2F,35.6947124,139.703004,東京都,1-chome-10-3 Kabukicho Shinjuku City Tokyo,Tokyo,
00000009,あげづき,Ageduki,3.76,1629,1000,1999,1000,1999,2000,2999,3000,3999,tonkatsu,https://tabelog.com/tokyo/A1309/A130905/13107796/,https://tabelog.com/en/tokyo/A1309/A130905/13107796/,東京都新宿区神楽坂3-2 山ノ内ビル B1F,35.7013034,139.7407537,東京都,3-chome-2 Kagurazaka Shinjuku City Tokyo-to,Tokyo,
00000010,とんかつ とみた,tonkatsutomita,3.72,315,1000,1999,1000,1999,3000,3999,3000,3999,tonkatsu,https://tabelog.com/chiba/A1203/A120302/12051667/,https://tabelog.com/en/chiba/A1203/A120302/12051667/,千葉県松戸市松戸1177 マチビル 2F,35.7841567,139.9018533,千葉県,1177 Matsudo Chiba,Ciba,
