store_id,store_name,store_name_english,score,review_cnt,tabelog_lunch_budget,tabelog_dinner_budget,customer_lunch_budget,customer_dinner_budget,genre,url,url_english,address,latitude,longitude,prefecture,address_english,prefecture_english,website
00000001,トウキョウライトブルー ホンゴウスリー,Toukyouraitoburuhongousuri,3.68,677,"[0, 999]","[0, 999]","[0, 999]","[0, 999]",udon,https://tabelog.com/tokyo/A1310/A131004/13240246/,https://tabelog.com/en/tokyo/A1310/A131004/13240246/,東京都文京区本郷2-39-7,35.7064388,139.7604361,東京都,2-chome-39-7 Hongo Bunkyo City Tokyo-to,Tokyo,
00000002,うどん家　一,Udonyakazu,3.68,369,"[0, 999]","[0, 999]","[1000, 1999]","[1000, 1999]",udon,https://tabelog.com/saitama/A1106/A110601/11026435/,https://tabelog.com/en/saitama/A1106/A110601/11026435/,埼玉県所沢市小手指町1-29-3,35.8052162,139.4380022,埼玉県,1-chome-29-3 Kotesashicho Tokorozawa Saitama,Saitama,
00000003,五島うどん びぜん家,Gotouudombizenya,3.65,315,"[1000, 1999]","[1000, 1999]","[1000, 1999]","[0, 999]",udon,https://tabelog.com/tokyo/A1325/A132501/13126103/,https://tabelog.com/en/tokyo/A1325/A132501/13126103/,東京都小金井市本町6-9-42,35.6997804,139.5036859,東京都,6-chome-9-42 Honcho Koganei Tokyo-to,Tokyo,
00000004,讃岐のおうどん 花は咲く 新中野本店,sanukinooudonhanahasaku,3.67,779,"[1000, 1999]","[1000, 1999]","[1000, 1999]","[1000, 1999]",udon,https://tabelog.com/tokyo/A1319/A131902/13156851/,https://tabelog.com/en/tokyo/A1319/A131902/13156851/,東京都中野区中央4-6-12 新中野マンション 1F,35.6988527,139.6678898,東京都,Central Nakano City Tokyo,Tokyo,https://ja-jp.facebook.com/hanahasakuudon/
00000005,手打うどん あかう,Teuchiudonakau,3.65,515,"[1000, 1999]","[1000, 1999]","[1000, 1999]","[1000, 1999]",udon,https://tabelog.com/tokyo/A1311/A131105/13018604/,https://tabelog.com/en/tokyo/A1311/A131105/13018604/,東京都荒川区西日暮里2-39-6 ＧＳハイム日暮里　１０３,35.73086,139.77079,東京都,Nishinippori Arakawa City Tokyo,Tokyo,https://otonano-shumatsu.com/articles/4139
00000006,本格手打 もり家 東京店,Honkakuteuchimoriya,3.67,698,"[1000, 1999]","[1000, 1999]","[1000, 1999]","[0, 999]",udon,https://tabelog.com/tokyo/A1314/A131401/13227953/,https://tabelog.com/en/tokyo/A1314/A131401/13227953/,東京都港区浜松町2-6-5 浜松町エクセレントビル ポンテせとうみ 2F,35.6543742,139.7558858,東京都,2-chome-6-5 Hamamatsucho Minato City Tokyo-to,Tokyo,https://moriya-tokyo.jp/
00000007,讃州手打ちうどん 我龍,sanshuuteuchiudongaryuu,3.62,378,"[1000, 1999]","[1000, 1999]","[1000, 1999]","[1000, 1999]",udon,https://tabelog.com/aichi/A2305/A230504/23032890/,https://tabelog.com/en/aichi/A2305/A230504/23032890/,愛知県西尾市下羽角町六反60-1,34.8806876,137.1199587,愛知県,Rokutan-60-1 Shimohasumicho Nishio Aichi,Aichi,https://garyu-udon.shopinfo.jp/
00000008,藤店うどん,Fujidanaudon,3.68,722,"[1000, 1999]","[1000, 1999]","[1000, 1999]","[0, 999]",udon,https://tabelog.com/saitama/A1101/A110103/11000476/,https://tabelog.com/en/saitama/A1101/A110103/11000476/,埼玉県さいたま市西区三橋6-14-7,35.910664,139.5904387,埼玉県,6-chome-14-7 Mihashi Nishi Ward Saitama,Saitama,http://www.rakuten.co.jp/fujidanaudon/
00000009,永井,Nagai,3.69,337,"[1000, 1999]","[1000, 1999]","[1000, 1999]","[1000, 1999]",udon,https://tabelog.com/saitama/A1103/A110302/11033420/,https://tabelog.com/en/saitama/A1103/A110302/11033420/,埼玉県入間郡三芳町北永井264-2,35.8344893,139.5114777,埼玉県,264-2 Kitanagai Miyoshi Iruma-gun Saitama,Saitama,
00000010,賞讃,shouzan,3.77,316,"[0, 999]","[1000, 1999]","[1000, 1999]","[1000, 1999]",udon,https://tabelog.com/tokyo/A1324/A132403/13022111/,https://tabelog.com/en/tokyo/A1324/A132403/13022111/,東京都葛飾区東四つ木2-18-4,35.7304,139.8458987,東京都,Higashiyotsugi Katsushika City Tokyo,Tokyo,https://go.sumachu.com/43/
