store_id,store_name,store_name_english,score,review_cnt,tabelog_lunch_budget_min,tabelog_lunch_budget_max,tabelog_dinner_budget_min,tabelog_dinner_budget_max,customer_lunch_budget_min,customer_lunch_budget_max,customer_dinner_budget_min,customer_dinner_budget_max,genre,url,url_english,address,latitude,longitude,prefecture,address_english,prefecture_english,website
00000001,讃岐うどん がもう,Gamou,4.00,2041,0,999,0,999,0,999,0,999,udon,https://tabelog.com/kagawa/A3702/A370201/37000019/,https://tabelog.com/en/kagawa/A3702/A370201/37000019/,香川県坂出市加茂町420-1,34.3049662,133.9148756,香川県,420-1 Kamocho Sakaide Kagawa,Kagawa,
00000002,手打うどん 麦蔵,Teuchiudommugizou,3.90,583,0,999,0,999,0,999,0,999,udon,https://tabelog.com/kagawa/A3701/A370101/37000874/,https://tabelog.com/en/kagawa/A3701/A370101/37000874/,香川県高松市福岡町1-482-5,34.3453377,134.0686908,香川県,482-5 Fukuokacho 1-chome Takamatsu Kagawa,Kagawa,
00000003,手打うどん はりや,teuchiudonhariya,3.96,402,0,999,0,999,0,999,0,999,udon,https://tabelog.com/kagawa/A3701/A370101/37000049/,https://tabelog.com/en/kagawa/A3701/A370101/37000049/,香川県高松市郷東町587-174,34.3493595,134.0151863,香川県,587-174 Gotocho Takamatsu Kagawa,Kagawa,
00000004,手打麺や 大島,teuchimenyaooshima,3.75,307,0,999,0,999,0,999,0,999,udon,https://tabelog.com/kagawa/A3701/A370101/37000224/,https://tabelog.com/en/kagawa/A3701/A370101/37000224/,香川県高松市太田下町3013-1,34.3028849,134.0509076,香川県,3013-1 Ōta Shimomachi Takamatsu Kagawa,Kagawa,
00000005,手打うどん 三徳,Teuchiudonsantoku,3.72,358,0,999,0,999,0,999,0,999,udon,https://tabelog.com/kagawa/A3701/A370101/37000142/,https://tabelog.com/en/kagawa/A3701/A370101/37000142/,香川県高松市林町390-1,34.2926795,134.0689803,香川県,390-1 Hayashicho Takamatsu Kagawa,Kagawa,http://www.santoku-udon.com/
00000006,ふるかわうどん,Furukawaudon,3.64,94,0,999,0,999,0,999,0,999,udon,https://tabelog.com/kagawa/A3701/A370101/37000375/,https://tabelog.com/en/kagawa/A3701/A370101/37000375/,香川県高松市木太町5016-1,34.3177853,134.0707402,香川県,5016-1 Kitacho Takamatsu Kagawa,Kagawa,http://www.furukawaudon.com/
00000007,六車,Muguruma,3.61,131,0,999,0,999,0,999,0,999,udon,https://tabelog.com/kagawa/A3704/A370402/37000251/,https://tabelog.com/en/kagawa/A3704/A370402/37000251/,香川県東かがわ市湊6-1,34.2463044,134.350167,香川県,6-1 Minato Higashikagawa Kagawa,Kagawa,http://www.udon.ne.jp
00000008,手打ちうどんますや,Masuya,3.91,156,0,999,0,999,0,999,0,999,udon,https://tabelog.com/kagawa/A3701/A370101/37005861/,https://tabelog.com/en/kagawa/A3701/A370101/37005861/,香川県高松市春日町1743-2,34.3373596,134.0944307,香川県,1743-2 Kasugacho Takamatsu Kagawa,Kagawa,
00000009,まいどまいど,Maidomaido,3.65,121,0,999,0,999,0,999,0,999,udon,https://tabelog.com/kagawa/A3702/A370201/37005010/,https://tabelog.com/en/kagawa/A3702/A370201/37005010/,香川県坂出市川津町45-5,34.2827018,133.8541176,香川県,45-5 Kawatsucho Sakaide Kagawa,Kagawa,
00000010,手打うどん　源内,Teuchiudongennai,3.67,249,1000,1999,1000,1999,1000,1999,1000,1999,udon,https://tabelog.com/kagawa/A3704/A370401/37000100/,https://tabelog.com/en/kagawa/A3704/A370401/37000100/,香川県さぬき市志度1597-10,34.3213871,134.1956127,香川県,1597-10 Shido Sanuki Kagawa,Kagawa,http://www.gennai.co.jp/
00000011,手打うどん 風月,teuchiudonfuugetsu,3.73,429,1000,1999,1000,1999,1000,1999,1000,1999,udon,https://tabelog.com/kagawa/A3701/A370101/37001023/,https://tabelog.com/en/kagawa/A3701/A370101/37001023/,香川県高松市紺屋町4-13 中井ビル１F,34.34488090000001,134.0474539,香川県,4-13 Konyamachi Takamatsu Kagawa,Kagawa,https://ameblo.jp/udonfugetu/
00000012,吉本食品,Yoshimotoshokuhin,3.73,268,1000,1999,1000,1999,1000,999,1000,1999,udon,https://tabelog.com/kagawa/A3704/A370402/37000684/,https://tabelog.com/en/kagawa/A3704/A370402/37000684/,香川県東かがわ市三本松608,34.250581,134.3396659,香川県,608 Sanbonmatsu Higashikagawa Kagawa,Kagawa,http://www.sanukiudon-yoshimoto.com/
00000013,宮武うどん,Teuchimiyatakeudon,3.76,546,0,999,1000,1999,0,999,1000,999,udon,https://tabelog.com/kagawa/A3701/A370101/37005339/,https://tabelog.com/en/kagawa/A3701/A370101/37005339/,香川県高松市円座町340,34.2939716,133.998337,香川県,340 Enzacho Takamatsu Kagawa,Kagawa,http://www.miyatakeudon.com/
00000014,ふる里うどん,Furusatoudon,3.92,200,0,999,1000,1999,0,999,1000,999,udon,https://tabelog.com/kagawa/A3701/A370101/37006820/,https://tabelog.com/en/kagawa/A3701/A370101/37006820/,香川県高松市川島東町523-4,34.2757088,134.1004641,香川県,523-4 Kawashima Higashimachi Takamatsu Kagawa,Kagawa,
00000015,手打うどん たむら,teuchiudontamura,3.95,791,0,999,1000,1999,0,999,1000,999,udon,https://tabelog.com/kagawa/A3702/A370202/37000077/,https://tabelog.com/en/kagawa/A3702/A370202/37000077/,香川県綾歌郡綾川町陶1090-3,34.2665137,133.9353145,香川県,1090-3 Sue Ayagawa Ayauta-gun Kagawa,Kagawa,
00000016,まつばら,Matsubara,3.87,142,0,999,1000,1999,0,999,1000,999,udon,https://tabelog.com/kagawa/A3701/A370101/37008585/,https://tabelog.com/en/kagawa/A3701/A370101/37008585/,香川県高松市寺井町1015,34.276343,134.0275695,香川県,1015 Teraicho Takamatsu Kagawa,Kagawa,
00000017,まえばうどん,maebaudon,3.62,150,0,999,1000,1999,0,999,1000,999,udon,https://tabelog.com/kagawa/A3702/A370202/37000070/,https://tabelog.com/en/kagawa/A3702/A370202/37000070/,香川県丸亀市綾歌町栗熊東420-2,34.2356529,133.8824502,香川県,420-2 Ayautacho Kurikumahigashi Marugame Kagawa,Kagawa,https://r.goope.jp/maeba-seimen
00000018,麺処 綿谷 高松店,Mendokorowataya,3.65,460,0,999,1000,1999,0,999,1000,999,udon,https://tabelog.com/kagawa/A3701/A370101/37005730/,https://tabelog.com/en/kagawa/A3701/A370101/37005730/,香川県高松市南新町8-11,34.3392227,134.0493463,香川県,8-11 Minamishinmachi Takamatsu Kagawa,Kagawa,http://www.maruwa-wataya.com/
00000019,多田製麺所,Tadaseimensho,3.62,131,0,999,1000,1999,0,999,1000,999,udon,https://tabelog.com/kagawa/A3701/A370102/37000244/,https://tabelog.com/en/kagawa/A3701/A370102/37000244/,香川県木田郡三木町大字池戸2918,34.2728249,134.1249425,香川県,2918 Ikenobe Miki Kita-gun Kagawa,Kagawa,
00000020,マルタニ製麺,Marutaniseimen,3.72,222,0,999,1000,1999,0,999,1000,999,udon,https://tabelog.com/kagawa/A3701/A370101/37000378/,https://tabelog.com/en/kagawa/A3701/A370101/37000378/,香川県高松市円座町1023-1,34.2894052,134.0113781,香川県,1023-1 Enzacho Takamatsu Kagawa,Kagawa,
00000021,山とも,Yamatomo,3.70,173,0,999,1000,1999,0,999,1000,999,udon,https://tabelog.com/kagawa/A3702/A370202/37008415/,https://tabelog.com/en/kagawa/A3702/A370202/37008415/,香川県丸亀市土器町東9-194,34.2987206,133.8105175,香川県,9-chome-194 Dokichohigashi Marugame Kagawa,Kagawa,https://yamatomo-udon.com/
00000022,手打ちうどん ひさ枝,Teuchiudonhisaeda,3.71,221,0,999,1000,1999,0,999,1000,999,udon,https://tabelog.com/kagawa/A3701/A370101/37008648/,https://tabelog.com/en/kagawa/A3701/A370101/37008648/,香川県高松市郷東町796-53,34.353572,134.010634,香川県,796-53 Gotocho Takamatsu Kagawa,Kagawa,
00000023,山下うどん,Yamashita,3.74,950,0,999,1000,1999,0,999,1000,999,udon,https://tabelog.com/kagawa/A3703/A370302/37000012/,https://tabelog.com/en/kagawa/A3703/A370302/37000012/,香川県善通寺市与北町284-1,34.2298838,133.8177267,香川県,284-1 Yogitacho Zentsuji Kagawa,Kagawa,
00000024,うどん本陣 山田家 讃岐本店,Udonhonjinyamadaya,3.74,1205,1000,1999,1000,1999,1000,1999,1000,1999,udon,https://tabelog.com/kagawa/A3701/A370101/37000002/,https://tabelog.com/en/kagawa/A3701/A370101/37000002/,香川県高松市牟礼町牟礼3186,34.3532954,134.129628,香川県,3186 Murecho Mure Takamatsu Kagawa,Kagawa,https://www.yamada-ya.com/
00000025,麺匠 くすがみ,menshoukusugami,3.64,140,1000,1999,1000,1999,1000,999,1000,1999,udon,https://tabelog.com/kagawa/A3701/A370101/37008913/,https://tabelog.com/en/kagawa/A3701/A370101/37008913/,香川県高松市楠上町2-6-36,34.3286467,134.0554794,香川県,6-36 Kusugamicho 2-chome Takamatsu Kagawa,Kagawa,
00000026,川福 本店,Kawafuku,3.64,429,0,999,1000,1999,0,999,1000,1999,udon,https://tabelog.com/kagawa/A3701/A370101/37000034/,https://tabelog.com/en/kagawa/A3701/A370101/37000034/,香川県高松市大工町2-1,34.3448431,134.0519855,香川県,2-1 Daikumachi Takamatsu Kagawa,Kagawa,http://www.kawafuku.co.jp/
00000027,ヨコクラうどん,Yokokuraudon,3.69,166,0,999,1000,1999,0,999,1000,999,udon,https://tabelog.com/kagawa/A3701/A370101/37000381/,https://tabelog.com/en/kagawa/A3701/A370101/37000381/,香川県高松市鬼無町鬼無136-1,34.3153656,133.9891892,香川県,136 Kinashicho Kinashi Takamatsu Kagawa,Kagawa,http://www.yokokura-udon.jp
