store_id,store_name,store_name_english,score,review_cnt,url,url_english,address,prefecture,address_english,prefecture_english,website
00000001,うなぎ 赤坂 勢きね,Unagiakasakasekine,3.70,67,https://tabelog.com/tokyo/A1307/A130701/13039787/,https://tabelog.com/en/tokyo/A1307/A130701/13039787/,東京都港区赤坂9-1-7 赤坂レジデンシャルホテル　１Ｆ,東京都,9-chome-1-7 Akasaka Minato City Tokyo-to,Tokyo,
00000002,炭焼 うな富士 有楽町店,Sumiyakiunafuji,3.71,1175,https://tabelog.com/tokyo/A1301/A130103/13250032/,https://tabelog.com/en/tokyo/A1301/A130103/13250032/,東京都千代田区内幸町1-7-1 H12,東京都,1-chome-7-1 Uchisaiwaicho Chiyoda City Tokyo-to,Tokyo,https://unagi-unafuji.com/ginza/
00000003,イチビキ,Ichibiki,3.77,1026,https://tabelog.com/aichi/A2301/A230101/23001379/,https://tabelog.com/en/aichi/A2301/A230101/23001379/,愛知県名古屋市中村区名駅南1-3-16,愛知県,1-chome-3-16 Meiekiminami Nakamura Ward Nagoya Aichi,Aichi,
00000004,國よし,Kuniyoshi,3.77,92,https://tabelog.com/kanagawa/A1404/A140408/14000793/,https://tabelog.com/en/kanagawa/A1404/A140408/14000793/,神奈川県中郡大磯町大磯1085,神奈川県,1085 Ōiso Oiso Naka-gun Kanagawa,Kanagawa,http://www.oiso-kuniyoshi.com
00000005,田代,Tashiro,4.21,821,https://tabelog.com/aichi/A2303/A230302/23003045/,https://tabelog.com/en/aichi/A2303/A230302/23003045/,愛知県瀬戸市深川町13,愛知県,13 Fukagawacho Seto Aichi,Aichi,
00000006,うなぎ時任,Unagitokitou,3.84,337,https://tabelog.com/tokyo/A1307/A130702/13224663/,https://tabelog.com/en/tokyo/A1307/A130702/13224663/,東京都港区麻布十番2-5-11 AZABUMAISON201,東京都,2 Chome-5 Azabujuban Minato City Tokyo,Tokyo,http://tokitou-unagi.jp
00000007,うなぎ専門店 本多,Unagisemmontenhonda,3.69,166,https://tabelog.com/nagano/A2001/A200105/20001229/,https://tabelog.com/en/nagano/A2001/A200105/20001229/,長野県飯山市大字飯山福寿町1117,長野県,Fukujumachi-1117 Iiyama Nagano,Nagano,https://www.unagi-honda.jp/
00000008,うな貴,Unaki,3.75,293,https://tabelog.com/miyagi/A0401/A040101/4000083/,https://tabelog.com/en/miyagi/A0401/A040101/4000083/,宮城県仙台市青葉区国分町3-2-18,宮城県,3-chome-2-18 Kokubuncho Aoba-ku Sendai Miyagi,Miyagi,http://www.unashow.co.jp/
00000009,うなぎのまつ嘉,Unaginomatsuka,3.92,369,https://tabelog.com/nagano/A2002/A200201/20000103/,https://tabelog.com/en/nagano/A2002/A200201/20000103/,長野県松本市中央3-2-29,長野県,Central Matsumoto Nagano,Nagano,
00000010,入船,Irifune,3.65,288,https://tabelog.com/miyazaki/A4504/A450401/45000054/,https://tabelog.com/en/miyazaki/A4504/A450401/45000054/,宮崎県西都市南方3316-3,宮崎県,3316-3 Minamikata Saito Miyazaki,Miyazaki,http://www.u-irifune.com/
