store_id,store_name,store_name_english,score,review_cnt,tabelog_lunch_budget_min,tabelog_lunch_budget_max,tabelog_dinner_budget_min,tabelog_dinner_budget_max,customer_lunch_budget_min,customer_lunch_budget_max,customer_dinner_budget_min,customer_dinner_budget_max,genre,url,url_english,address,latitude,longitude,prefecture,address_english,prefecture_english,website
00000001,長命寺 桜もち,Choumeijisakuramochi,3.74,601,0,999,1000,999,0,999,1000,1999,wagashi,https://tabelog.com/tokyo/A1312/A131203/13002949/,https://tabelog.com/en/tokyo/A1312/A131203/13002949/,東京都墨田区向島5-1-14,35.718028,139.808771,東京都,5-chome-1-14 Mukojima Sumida City Tokyo-to,Tokyo,http://www.sakura-mochi.com
00000002,翠江堂 本店,Suikoudou,3.72,500,0,999,1000,999,0,999,1000,1999,wagashi,https://tabelog.com/tokyo/A1302/A130203/13007680/,https://tabelog.com/en/tokyo/A1302/A130203/13007680/,東京都中央区新川2-17-13,35.6749698,139.7819925,東京都,Shinkawa Chuo City Tokyo,Tokyo,http://www.suikoudou.jp/
00000003,浪花家総本店,Naniwayasouhonten,3.78,1968,0,999,1000,999,0,999,1000,999,wagashi,https://tabelog.com/tokyo/A1307/A130702/13002775/,https://tabelog.com/en/tokyo/A1307/A130702/13002775/,東京都港区麻布十番1-8-14,35.6561656,139.7351755,東京都,Azabujuban Minato City Tokyo,Tokyo,
00000004,言問団子,Kototoidango,3.71,415,0,999,1000,999,0,999,1000,999,wagashi,https://tabelog.com/tokyo/A1312/A131203/13002945/,https://tabelog.com/en/tokyo/A1312/A131203/13002945/,東京都墨田区向島5-5-22,35.71853900000001,139.8091113,東京都,5-chome-5-22 Mukojima Sumida City Tokyo-to,Tokyo,http://www.kototoidango.co.jp/
00000005,甘味おかめ 有楽町店,kammiokame,3.70,551,0,999,1000,999,0,999,1000,999,wagashi,https://tabelog.com/tokyo/A1301/A130102/13011479/,https://tabelog.com/en/tokyo/A1301/A130102/13011479/,東京都千代田区有楽町2-7-1 有楽町イトシア イトシアプラザ 1F,35.6742589,139.7633266,東京都,2-chome-7-1 Yurakucho Chiyoda City Tokyo-to,Tokyo,http://kanmi-okame.jp/
00000006,梅花亭 神楽坂本店,Baikatei,3.69,414,0,999,1000,999,0,999,1000,999,wagashi,https://tabelog.com/tokyo/A1309/A130905/13040265/,https://tabelog.com/en/tokyo/A1309/A130905/13040265/,東京都新宿区神楽坂6-15,35.7030069,139.7370365,東京都,6-chome-15 Kagurazaka Shinjuku City Tokyo-to,Tokyo,http://www.baikatei.co.jp/index.html
00000007,石田屋,Ishidaya,3.70,367,0,999,1000,999,0,999,1000,999,wagashi,https://tabelog.com/tokyo/A1322/A132203/13003807/,https://tabelog.com/en/tokyo/A1322/A132203/13003807/,東京都板橋区上板橋2-32-16,35.7628314,139.6750856,東京都,2-chome-32-16 Kamiitabashi Itabashi City Tokyo-to,Tokyo,https://hitomoto-ishidaya.com
00000008,小ざさ,Ozasa,3.73,777,0,999,1000,999,0,999,1000,999,wagashi,https://tabelog.com/tokyo/A1320/A132001/13005817/,https://tabelog.com/en/tokyo/A1320/A132001/13005817/,東京都武蔵野市吉祥寺本町1-1-8,35.703975,139.579041,東京都,1-chome-1-8 Kichijoji Honcho Musashino Tokyo-to,Tokyo,http://www.ozasa.co.jp/
00000009,たいやき ひいらぎ,Taiyakihiiragi,3.79,1517,0,999,0,999,0,999,0,999,wagashi,https://tabelog.com/tokyo/A1303/A130302/13026096/,https://tabelog.com/en/tokyo/A1303/A130302/13026096/,東京都渋谷区恵比寿1-4-1 恵比寿アーバンハウス 1F,35.6476642,139.7116013,東京都,1-chome-4-1 Ebisu Shibuya City Tokyo-to,Tokyo,
00000010,虎ノ門 岡埜榮泉 新宿タカシマヤ店,toranomonokanoeisen,3.69,229,0,999,0,999,0,999,0,999,wagashi,https://tabelog.com/tokyo/A1304/A130401/13056538/,https://tabelog.com/en/tokyo/A1304/A130401/13056538/,東京都渋谷区千駄ヶ谷5-24-2 新宿タカシマヤ B1F,35.6876335,139.7022399,東京都,1-chome-5-24 Sendagaya Shibuya City Tokyo-to,Tokyo,http://www.wagashi.or.jp/tokyo_link/shop/0409.htm
00000011,ちもと,Chimoto,3.77,714,0,999,0,999,0,999,0,999,wagashi,https://tabelog.com/tokyo/A1317/A131702/13003218/,https://tabelog.com/en/tokyo/A1317/A131702/13003218/,東京都目黒区八雲1-4-6,35.6181885,139.6748272,東京都,1-chome-4-6 Yakumo Meguro City Tokyo-to,Tokyo,http://chimoto-yagumomochi.com
00000012,越後屋若狭,Echigoyawakasa,3.83,155,0,999,0,999,0,999,0,999,wagashi,https://tabelog.com/tokyo/A1312/A131201/13046248/,https://tabelog.com/en/tokyo/A1312/A131201/13046248/,東京都墨田区千歳1-8-4,35.6914293,139.792002,東京都,1-chome-8-4 Chitose Sumida City Tokyo-to,Tokyo,
00000013,松島屋,Matsushimaya,3.78,916,0,999,0,999,0,999,0,999,wagashi,https://tabelog.com/tokyo/A1314/A131403/13007137/,https://tabelog.com/en/tokyo/A1314/A131403/13007137/,東京都港区高輪1-5-25,35.6405652,139.7374007,東京都,1-chome-5-25 Takanawa Minato City Tokyo-to,Tokyo,
00000014,かどや,Kadoya,3.68,331,0,999,0,999,0,999,0,999,wagashi,https://tabelog.com/tokyo/A1324/A132402/13008735/,https://tabelog.com/en/tokyo/A1324/A132402/13008735/,東京都足立区千住5-5-10,35.7541295,139.8041993,東京都,Senju Adachi City Tokyo,Tokyo,
00000015,和菓子処 大角玉屋 銀座店,Wagashidokorooosumitamaya,3.70,464,0,999,0,999,0,999,0,999,wagashi,https://tabelog.com/tokyo/A1301/A130102/13060712/,https://tabelog.com/en/tokyo/A1301/A130102/13060712/,東京都中央区銀座西3-1 銀座インズ1 1Ｆ,35.6725407,139.7649185,東京都,Tokyo Chuo City Ginza 西3−１ 銀座インズ 2F,Tokyo,http://www.oosumi-tamaya.co.jp/
00000016,かりんとう 小桜,karintoukozakura,3.68,249,0,999,0,999,0,999,0,999,wagashi,https://tabelog.com/tokyo/A1311/A131102/13009553/,https://tabelog.com/en/tokyo/A1311/A131102/13009553/,東京都台東区浅草4-14-10,35.7184402,139.7963943,東京都,4-chome-14-10 Asakusa Taito City Tokyo-to,Tokyo,https://kozakura.shop-pro.jp/
00000017,すずめや,Suzumeya,3.79,1272,1000,999,0,999,1000,1999,0,999,wagashi,https://tabelog.com/tokyo/A1305/A130501/13009255/,https://tabelog.com/en/tokyo/A1305/A130501/13009255/,東京都豊島区南池袋2-18-5,35.7267034,139.7134965,東京都,2-chome-18-5 Minamiikebukuro Toshima City Tokyo-to,Tokyo,https://suzumeya.info/
00000018,天野屋,Amanoya,3.68,394,0,999,0,999,0,999,0,999,wagashi,https://tabelog.com/tokyo/A1310/A131002/13006339/,https://tabelog.com/en/tokyo/A1310/A131002/13006339/,東京都千代田区外神田2-18-15,35.7014229,139.7670649,東京都,Sotokanda Chiyoda City Tokyo,Tokyo,http://www.amanoya.jp/
00000019,一元屋,Ichigenya,3.71,280,0,999,0,999,0,999,0,999,wagashi,https://tabelog.com/tokyo/A1308/A130803/13006404/,https://tabelog.com/en/tokyo/A1308/A130803/13006404/,東京都千代田区麹町1-6-6,35.6846756,139.7416718,東京都,1-chome-6-6 Kojimachi Chiyoda City Tokyo-to,Tokyo,http://nttbj.itp.ne.jp/0332619127/index.html?Media_cate=populer&svc=1303
00000020,日本橋 錦豊琳 かりんとう専門店,Nihombashinishikihourin,3.70,488,0,999,0,999,0,999,0,999,wagashi,https://tabelog.com/tokyo/A1302/A130201/13045125/,https://tabelog.com/en/tokyo/A1302/A130201/13045125/,東京都千代田区丸の内1-9-1 東京駅 グランスタ B1F,35.6821866,139.7681247,東京都,1-chome-9-1 Marunouchi Chiyoda City Tokyo-to,Tokyo,http://www.nishikihorin.com/
00000021,うさぎや,Usagiya,3.80,792,0,999,0,999,0,999,0,999,wagashi,https://tabelog.com/tokyo/A1319/A131905/13000731/,https://tabelog.com/en/tokyo/A1319/A131905/13000731/,東京都杉並区阿佐谷北1-3-7,35.7051457,139.6377373,東京都,1-chome-3-7 Asagayakita Suginami City Tokyo-to,Tokyo,
