store_id,store_name,store_name_english,score,review_cnt,tabelog_lunch_budget_min,tabelog_lunch_budget_max,tabelog_dinner_budget_min,tabelog_dinner_budget_max,customer_lunch_budget_min,customer_lunch_budget_max,customer_dinner_budget_min,customer_dinner_budget_max,genre,url,url_english,address,latitude,longitude,prefecture,address_english,prefecture_english,website
00000001,TANAKA YAKINIKU RESTAURANTE,TANAKA YAKINIKU RESTAURANTE,3.86,159,4000,4999,10000,14999,10000,14999,20000,29999,yakiniku,https://tabelog.com/aichi/A2301/A230101/23082303/,https://tabelog.com/en/aichi/A2301/A230101/23082303/,愛知県名古屋市中村区名駅4-6-23 第三堀内ビル B1F,35.1711355,136.8855215,愛知県,4-chome-6-23 Meieki Nakamura Ward Nagoya Aichi,Aichi,https://tanakayakiniku.jp
00000002,雪月花 たなかさとる,Setsugekka tanakasatoru,3.92,141,4000,4999,10000,14999,10000,14999,10000,14999,yakiniku,https://tabelog.com/aichi/A2301/A230103/23071686/,https://tabelog.com/en/aichi/A2301/A230103/23071686/,愛知県名古屋市中区栄3-9-2 GEMS栄 11F,35.1673709,136.9038418,愛知県,3-chome-9-2 Sakae Naka-ku Nagoya Aichi,Aichi,http://setsugekka-tanakasatoru.jp
00000003,竹千代,Binchoutanyakinikutakechiyo,3.68,236,4000,4999,6000,7999,10000,14999,8000,9999,yakiniku,https://tabelog.com/aichi/A2301/A230104/23007634/,https://tabelog.com/en/aichi/A2301/A230104/23007634/,愛知県名古屋市東区葵1-1-20 まんてんビル　１Ｆ,35.1731685,136.9198397,愛知県,1-chome-1-20 Aoi Higashi-ku Nagoya Aichi,Aichi,
00000004,食べ飲み放題 焼肉ダイニングちからや 名駅店,Tabenomihoudaiyakinikudaininguchikaraya,3.47,187,1000,1999,3000,3999,5000,5999,4000,4999,yakiniku,https://tabelog.com/aichi/A2301/A230101/23075726/,https://tabelog.com/en/aichi/A2301/A230101/23075726/,愛知県名古屋市中村区名駅3-15-8 名駅グルメプラザ 3F,35.172869,136.8848396,愛知県,3-chome-15-8 Meieki Nakamura Ward Nagoya Aichi,Aichi,
00000005,春美可,Sumika,3.61,58,1000,1999,6000,7999,1000,1999,6000,7999,yakiniku,https://tabelog.com/hokkaido/A0101/A010102/1056834/,https://tabelog.com/en/hokkaido/A0101/A010102/1056834/,北海道札幌市中央区南2条西9-3-31 ケンタクビル29 1F,43.0567463,141.3434838,北海道,Minami 2 Jonishi Chuo Ward Sapporo Hokkaido,Hokkaido,
00000006,焼肉 拍手喝采,Yakinikuhakushukassai,3.64,255,1000,1999,15000,19999,1000,1999,30000,39999,yakiniku,https://tabelog.com/aichi/A2301/A230106/23064959/,https://tabelog.com/en/aichi/A2301/A230106/23064959/,愛知県名古屋市千種区高見2-5-6 シティライフ池下北 1F,35.1702291,136.9464,愛知県,2-chome-5-6 Takami Chikusa-ku Nagoya Aichi,Aichi,
00000007,春香苑 鈴川店,Shunkouen,3.44,36,1000,1999,15000,19999,2000,2999,5000,5999,yakiniku,https://tabelog.com/yamagata/A0601/A060101/6002855/,https://tabelog.com/en/yamagata/A0601/A060101/6002855/,山形県山形市鈴川町3-4-13,38.2695826,140.3580146,山形県,3-chome-4-13 Suzukawamachi Yamagata,Yamagata,
00000008,馬場ホルモン,Babahorumon,3.56,259,1000,1999,2000,2999,1000,1999,2000,2999,yakiniku,https://tabelog.com/hokkaido/A0104/A010401/1001340/,https://tabelog.com/en/hokkaido/A0104/A010401/1001340/,北海道旭川市七条通8丁目右4,43.7721528,142.3635169,北海道,8 Chome-右4 7 Jodori Asahikawa Hokkaido,Hokkaido,
00000009,肉八や,Nikuhachiya,3.61,64,1000,999,2000,2999,1000,1999,6000,7999,yakiniku,https://tabelog.com/ibaraki/A0802/A080201/8015609/,https://tabelog.com/en/ibaraki/A0802/A080201/8015609/,茨城県つくば市館野5-1,36.0487044,140.1220592,茨城県,5-1 Tateno Tsukuba Ibaraki,Ibaraki,https://nikuhachiya.jp
00000010,焼肉 ニクラボ 川越駅前店,Yakinikunikurabo,3.56,197,1000,1999,5000,5999,1000,1999,10000,14999,yakiniku,https://tabelog.com/saitama/A1103/A110303/11053024/,https://tabelog.com/en/saitama/A1103/A110303/11053024/,埼玉県川越市菅原町22-2 第二MSビル 4F,35.9081064,139.4847223,埼玉県,22-2 Sugawaracho Kawagoe Saitama,Saitama,
00000011,焼肉 喰心,yakinikukuushin,3.63,143,1000,1999,8000,9999,1000,1999,8000,9999,yakiniku,https://tabelog.com/saitama/A1101/A110101/11048196/,https://tabelog.com/en/saitama/A1101/A110101/11048196/,埼玉県さいたま市大宮区宮町2-17 パインズビル1F,35.9086258,139.6275372,埼玉県,2-chome-17 Miyacho Ōmiya-ku Saitama,Saitama,http://yakiniku.ku-shin.jp/
00000012,牛刺しと焼肉 仔虎 クリスロード店,gyuusashitoyakinikukotora,3.64,137,1000,1999,6000,7999,2000,2999,8000,9999,yakiniku,https://tabelog.com/miyagi/A0401/A040101/4020439/,https://tabelog.com/en/miyagi/A0401/A040101/4020439/,宮城県仙台市青葉区中央2-3-18 B1F,38.260834,140.8750788,宮城県,2-chome-3-18 Chuo Aoba-ku Sendai Miyagi,Miyagi,https://team-toranomon.com/shop-clisroad/
