store_id,store_name,store_name_english,score,review_cnt,tabelog_lunch_budget_min,tabelog_lunch_budget_max,tabelog_dinner_budget_min,tabelog_dinner_budget_max,customer_lunch_budget_min,customer_lunch_budget_max,customer_dinner_budget_min,customer_dinner_budget_max,genre,url,url_english,address,latitude,longitude,prefecture,address_english,prefecture_english,website
00000001,米山,Yoneyama,3.62,288,,,3000,3999,,,3000,3999,yakiniku,https://tabelog.com/tokyo/A1323/A132305/13046148/,https://tabelog.com/en/tokyo/A1323/A132305/13046148/,東京都北区赤羽1-64-7,35.7820135,139.7189529,東京都,Akabane Kita City Tokyo,Tokyo,
00000002,SATOブリアン にごう,SATO Buriand,4.03,839,15000,19999,15000,19999,15000,19999,15000,19999,yakiniku,https://tabelog.com/tokyo/A1319/A131905/13159782/,https://tabelog.com/en/tokyo/A1319/A131905/13159782/,東京都杉並区阿佐ヶ谷南2-17-2,35.705267,139.6359043,東京都,2 Chome-17-2 Asagayaminami Suginami City Tokyo,Tokyo,https://satobriand.yoyaku.at
00000003,三宿トラジ,sanjukutoraji,3.71,391,15000,19999,6000,7999,6000,7999,10000,14999,yakiniku,https://tabelog.com/tokyo/A1317/A131701/13004517/,https://tabelog.com/en/tokyo/A1317/A131701/13004517/,東京都目黒区祐天寺2-14-7 AIビル　Ｂ１Ｆ,35.6368707,139.6910876,東京都,2-chome-14-7 Yutenji Meguro City Tokyo-to,Tokyo,
00000004,SATOブリアン さんごう,sato-burian,3.91,223,15000,19999,6000,7999,15000,19999,15000,19999,yakiniku,https://tabelog.com/tokyo/A1319/A131905/13223460/,https://tabelog.com/en/tokyo/A1319/A131905/13223460/,東京都杉並区阿佐ヶ谷北1-37-6 1F,35.7078797,139.6356553,東京都,Asagayakita Suginami City Tokyo,Tokyo,https://satobriand.yoyaku.at/
00000005,うしごろ 貫 恵比寿本店,Ushigorokan,3.65,703,15000,19999,8000,9999,15000,19999,8000,9999,yakiniku,https://tabelog.com/tokyo/A1303/A130302/13160330/,https://tabelog.com/en/tokyo/A1303/A130302/13160330/,東京都渋谷区恵比寿南1-8-1 STM恵比寿ビル 1F,35.6461933,139.7093671,東京都,1-chome-8-1 Ebisuminami Shibuya City Tokyo-to,Tokyo,http://ushigoro-kan.com/
00000006,焼肉うしごろ 銀座並木通り店,Yakinikuushigoro,3.77,1004,4000,4999,10000,14999,10000,14999,10000,14999,yakiniku,https://tabelog.com/tokyo/A1301/A130101/13226719/,https://tabelog.com/en/tokyo/A1301/A130101/13226719/,東京都中央区銀座5-4-9 ニュー銀座ビル 7F,35.6713667,139.7629518,東京都,5-chome-4-9 Ginza Chuo City Tokyo-to,Tokyo,http://ushigoro.com
00000007,焼肉ホルモン 稲田,yakinikuhorumoninada,3.68,566,4000,4999,10000,14999,8000,9999,10000,14999,yakiniku,https://tabelog.com/tokyo/A1316/A131601/13049914/,https://tabelog.com/en/tokyo/A1316/A131601/13049914/,東京都品川区上大崎2-13-45 トラストリンク第Ⅲビル 2F,35.6348429,139.7169678,東京都,2-chome-13-45 Kamiosaki Shinagawa City Tokyo-to,Tokyo,https://valuet.co.jp/brands/inada/
00000008,スタミナ苑,Sutaminaen,4.24,1890,4000,4999,6000,7999,10000,14999,10000,14999,yakiniku,https://tabelog.com/tokyo/A1323/A132305/13003777/,https://tabelog.com/en/tokyo/A1323/A132305/13003777/,東京都足立区鹿浜3-13-4,35.7799029,139.7523707,東京都,3-chome-13-4 Shikahama Adachi City Tokyo-to,Tokyo,https://www.sutaminaen.com
00000009,焼肉 大貫,Yakinikuoonuki,3.62,299,4000,4999,15000,19999,10000,14999,15000,19999,yakiniku,https://tabelog.com/tokyo/A1304/A130402/13191277/,https://tabelog.com/en/tokyo/A1304/A130402/13191277/,東京都新宿区新宿2-18-1,35.6907721,139.7082651,東京都,2-chome-18-1 Shinjuku Shinjuku City Tokyo-to,Tokyo,
00000010,亀戸ホルモン 本店,Kameidohorumon,3.66,898,4000,4999,4000,4999,10000,14999,4000,4999,yakiniku,https://tabelog.com/tokyo/A1312/A131202/13008099/,https://tabelog.com/en/tokyo/A1312/A131202/13008099/,東京都江東区亀戸5-4-9 第2ドミール 1F,35.6985333,139.8267576,東京都,5-chome-4-9 Kameido Koto City Tokyo-to,Tokyo,
