store_id,store_name,store_name_english,score,review_cnt,url,url_english,address,prefecture,address_english,prefecture_english,website
00000001,焼肉大将,Yakinikutaishiyou,3.55,40,https://tabelog.com/miyazaki/A4503/A450301/45003643/,https://tabelog.com/en/miyazaki/A4503/A450301/45003643/,宮崎県都城市栄町6-18,宮崎県,6-18 Sakaemachi Miyakonojo Miyazaki,Miyazaki,
00000002,空 鶴橋総本店,Sora,3.74,1538,https://tabelog.com/osaka/A2701/A270205/27000564/,https://tabelog.com/en/osaka/A2701/A270205/27000564/,大阪府大阪市天王寺区下味原町1-10,大阪府,1-10 Shimoajiharacho Tennoji-ku Osaka,Osaka,http://www.yakinikusora.jp/
00000003,一升びん 本店,Isshoubin,3.75,804,https://tabelog.com/mie/A2401/A240102/24000073/,https://tabelog.com/en/mie/A2401/A240102/24000073/,三重県松阪市南町232-3,三重県,232-3 Minamimachi Matsusaka Mie,Mie,https://www.isshobin.com/
00000004,和牛懐石 但馬屋 梅田,wagyuukaisekitajimayaumeda,3.67,314,https://tabelog.com/osaka/A2701/A270101/27015353/,https://tabelog.com/en/osaka/A2701/A270101/27015353/,大阪府大阪府大阪市北区太融寺町8-2,大阪府,8-2 Taiyujicho Kita-ku Osaka,Osaka,http://www.tajima-ya.co.jp/
00000005,柘榴 奈良きみや 別邸,Zakuro narakimiya bettei,3.89,232,https://tabelog.com/osaka/A2701/A270101/27113560/,https://tabelog.com/en/osaka/A2701/A270101/27113560/,大阪府大阪市北区西天満2-7-19 西宝ビル 1F,大阪府,2-chome-7-19 Nishitenma Kita-ku Osaka,Osaka,
00000006,炭焼肉 石田屋。 トアロード,Sumiyakinikuishidaya,3.63,118,https://tabelog.com/hyogo/A2801/A280101/28036678/,https://tabelog.com/en/hyogo/A2801/A280101/28036678/,兵庫県神戸市中央区下山手通2-13-3 建創ビル 2F,兵庫県,2-chome-13-3 Shimoyamatedori Chuo-ku Kobe Hyogo,Hyogo,http://www.kobe-ishidaya.com/
00000007,オカダ食品株式会社別棟,Okadashokuhinkabushikikaishuabettou,3.62,40,https://tabelog.com/hyogo/A2801/A280102/28054528/,https://tabelog.com/en/hyogo/A2801/A280102/28054528/,兵庫県神戸市中央区楠町1-5-8,兵庫県,1-chome-5-8 Kusunokicho Chuo-ku Kobe Hyogo,Hyogo,https://store.shopping.yahoo.co.jp/okada-shokuhin/
00000008,食楽園,Shiyokurakuen,3.63,51,https://tabelog.com/tokushima/A3601/A360101/36001271/,https://tabelog.com/en/tokushima/A3601/A360101/36001271/,徳島県徳島市南仲之町1-8,徳島県,Minaminakanocho Tokushima,Tokushima,
00000009,焼肉すどう 熊本本店,Yakinikusudou,3.63,124,https://tabelog.com/kumamoto/A4301/A430101/43008422/,https://tabelog.com/en/kumamoto/A4301/A430101/43008422/,熊本県熊本市中央区上通町4-10 トラヤビル 3F,熊本県,4-10 Kamitoricho Chuo-ku Kumamoto,Kumamoto,https://yakinikusudo-honten.com/
00000010,焼肉 すっきゃねん,yakinikusukkyanen,3.64,137,https://tabelog.com/mie/A2402/A240203/24001878/,https://tabelog.com/en/mie/A2402/A240203/24001878/,三重県桑名市大福681,三重県,681 Daifuku Kuwana Mie,Mie,
00000011,力飯店,Rikihanten,3.68,159,https://tabelog.com/fukuoka/A4001/A400103/40005186/,https://tabelog.com/en/fukuoka/A4001/A400103/40005186/,福岡県福岡市中央区西中洲12-21,福岡県,12-21 Nishinakasu Chuo-ku Fukuoka,Fukuoka,http://www.rikihanten.com/
00000012,神戸元町 炭火焼肉 くにきや,Sumibiyakinikukunikiya,3.59,92,https://tabelog.com/hyogo/A2801/A280102/28006104/,https://tabelog.com/en/hyogo/A2801/A280102/28006104/,兵庫県神戸市中央区元町通3-2-17,兵庫県,3-chome-2-17 Motomachidori Chuo-ku Kobe Hyogo,Hyogo,
00000013,安兵衛,Yasubee,3.73,253,https://tabelog.com/osaka/A2701/A270401/27000791/,https://tabelog.com/en/osaka/A2701/A270401/27000791/,大阪府大阪市此花区西九条3-11-18,大阪府,3 Chome-11 Kujo Nishi Ward Osaka,Osaka,http://www.yasubee.net/
00000014,味楽園,Mirakuen,3.63,264,https://tabelog.com/hyogo/A2803/A280304/28001406/,https://tabelog.com/en/hyogo/A2803/A280304/28001406/,兵庫県尼崎市南竹谷町2-1,兵庫県,1 Minamitakeyacho 2-chome Amagasaki Hyogo,Hyogo,
00000015,焼肉ぜん,Yakinikuzen,3.80,109,https://tabelog.com/hyogo/A2801/A280101/28054589/,https://tabelog.com/en/hyogo/A2801/A280101/28054589/,兵庫県神戸市中央区中山手通2-21-14,兵庫県,2-chome-21-14 Nakayamatedori Chuo-ku Kobe Hyogo,Hyogo,
00000016,京の焼肉処 弘 千本三条本店,Kyounoyakinikudokorohiro,3.66,281,https://tabelog.com/kyoto/A2601/A260203/26002138/,https://tabelog.com/en/kyoto/A2601/A260203/26002138/,京都府京都市中京区壬生朱雀町2-6,京都府,2-6 Mibushujakucho Nakagyo-ku Kyoto,Kyoto,https://yakiniku-hiro.com/shop/honten.php
