store_id,store_name,store_name_english,score,review_cnt,tabelog_lunch_budget_min,tabelog_lunch_budget_max,tabelog_dinner_budget_min,tabelog_dinner_budget_max,customer_lunch_budget_min,customer_lunch_budget_max,customer_dinner_budget_min,customer_dinner_budget_max,genre,url,url_english,address,latitude,longitude,prefecture,address_english,prefecture_english,website
00000001,瀧口,takiguchi,3.67,299,,,15000,19999,,,20000,29999,yakitori,https://tabelog.com/tokyo/A1314/A131403/13171563/,https://tabelog.com/en/tokyo/A1314/A131403/13171563/,東京都港区高輪2-16-35 1F,35.6378689,139.7389973,東京都,2-chome-16-35 Takanawa Minato City Tokyo-to,Tokyo,http://takiguchi-sengakuji.com/
00000002,焼鳥 はちまん,yakitorihachiman,3.72,383,,,15000,19999,,,6000,7999,yakitori,https://tabelog.com/tokyo/A1305/A130504/13000055/,https://tabelog.com/en/tokyo/A1305/A130504/13000055/,東京都新宿区西早稲田3-1-1 八幡鮨　Ｂ１Ｆ,35.7095809,139.716391,東京都,3-chome-1-1 Nishiwaseda Shinjuku City Tokyo-to,Tokyo,
00000003,焼き鳥 茂 東桜,yakitorishigehigashizakura,3.69,116,,,10000,14999,,,10000,14999,yakitori,https://tabelog.com/aichi/A2301/A230103/23077448/,https://tabelog.com/en/aichi/A2301/A230103/23077448/,愛知県名古屋市東区東桜1-10-7,35.1727317,136.9096405,愛知県,1-chome-10-7 Higashisakura Higashi Ward Nagoya Aichi,Aichi,https://shige-group.co.jp/index.html
00000004,焼鳥 篠原,Yakitori shinohara,3.77,311,,,15000,19999,,,20000,29999,yakitori,https://tabelog.com/tokyo/A1307/A130701/13254666/,https://tabelog.com/en/tokyo/A1307/A130701/13254666/,東京都港区西麻布1-4-40 SHINOビル 1F,35.6619968,139.7251983,東京都,Nishiazabu Minato City Tokyo,Tokyo,https://www.yakitori-shinohara.com/
00000005,焼鶏 ひらこ,yakitorihirako,3.78,250,,,15000,19999,,,20000,29999,yakitori,https://tabelog.com/tokyo/A1307/A130701/13232545/,https://tabelog.com/en/tokyo/A1307/A130701/13232545/,東京都港区西麻布1-5-23 東ビル 1F,35.6618045,139.7257866,東京都,Nishiazabu Minato City Tokyo,Tokyo,
00000006,焼き鳥 幸羽,yakitorikohane,4.02,86,,,10000,14999,,,15000,19999,yakitori,https://tabelog.com/shizuoka/A2202/A220201/22040511/,https://tabelog.com/en/shizuoka/A2202/A220201/22040511/,静岡県浜松市中央区千歳町6 コートクビル 1F,34.7031922,137.72931,静岡県,Shizuoka Hamamatsu 中区Chitosecho ６ コートクビル,Shizuoka,
00000007,串焼とこころ 克,Kushiyakitokokorokatsu,3.60,124,,,10000,14999,,,4000,4999,yakitori,https://tabelog.com/niigata/A1501/A150101/15002706/,https://tabelog.com/en/niigata/A1501/A150101/15002706/,新潟県新潟市中央区春日町7-21,37.9120616,139.0531386,新潟県,7-21 Kasugacho Chuo-ku Niigata,Niigata,
00000008,花見川 大富,Hanamigawaootomi,3.74,121,1000,1999,8000,9999,1000,1999,10000,14999,yakitori,https://tabelog.com/chiba/A1201/A120102/12052353/,https://tabelog.com/en/chiba/A1201/A120102/12052353/,千葉県千葉市花見川区幕張本郷1-10-8 サントルビレッジ 1A,35.6724321,140.0388604,千葉県,1-chome-10-8 Makuharihongo Hanamigawa Ward Chiba,Ciba,
00000009,鶏料理・焼きとり　纜,Toriryouriyakitoritomoduna,3.63,136,1000,1999,8000,9999,1000,1999,5000,5999,yakitori,https://tabelog.com/kanagawa/A1401/A140205/14000610/,https://tabelog.com/en/kanagawa/A1401/A140205/14000610/,神奈川県横浜市神奈川区泉町3-7,35.4743362,139.6218688,神奈川県,3-7 Izumicho Kanagawa-ku Yokohama Kanagawa,Kanagawa,http://tomoduna.jp/index.html
00000010,鶏けん,Toriken,3.71,125,1000,1999,6000,7999,1000,1999,10000,14999,yakitori,https://tabelog.com/fukushima/A0701/A070101/7000904/,https://tabelog.com/en/fukushima/A0701/A070101/7000904/,福島県福島市栄町12-1 第1寿ビル1F,37.7545134,140.4626633,福島県,12-1 Sakaemachi Fukushima,Fukushima,
00000011,焼鳥  吉祥,Yakitorikisshou,3.73,229,1000,1999,8000,9999,1000,1999,8000,9999,yakitori,https://tabelog.com/aichi/A2301/A230104/23061531/,https://tabelog.com/en/aichi/A2301/A230104/23061531/,愛知県名古屋市東区東桜2-17-46,35.1720942,136.9185483,愛知県,2-chome-17-46 Higashisakura Higashi-ku Nagoya Aichi,Aichi,
00000012,炭焼 ちきんかばぶ,sumiyakichikinkababu,3.71,170,1000,1999,8000,9999,1000,1999,10000,14999,yakitori,https://tabelog.com/aichi/A2301/A230103/23032616/,https://tabelog.com/en/aichi/A2301/A230103/23032616/,愛知県名古屋市中区栄4丁目16-8 栄メンバーズオフィスビル　B1,35.1665293,136.9104221,愛知県,4-chome-16-8 Sakae Naka-ku Nagoya Aichi,Aichi,http://chickenkebab.web.fc2.com/
00000013,やきとり 陽火,Yakitoriharuka,3.75,133,1000,1999,10000,14999,1000,1999,15000,19999,yakitori,https://tabelog.com/tokyo/A1316/A131602/13247688/,https://tabelog.com/en/tokyo/A1316/A131602/13247688/,東京都港区白金5-8-13 白金ハイツ 1F,35.6462312,139.7260161,東京都,5-chome-8-13 Shirokane Minato City Tokyo-to,Tokyo,
00000014,やきとりshira,Yakitorishira,3.79,249,1000,1999,10000,14999,1000,1999,10000,14999,yakitori,https://tabelog.com/tokyo/A1318/A131812/13193012/,https://tabelog.com/en/tokyo/A1318/A131812/13193012/,東京都世田谷区梅丘1-22-1 y'sステート B1F,35.6552059,139.6533098,東京都,Umegaoka Setagaya City Tokyo,Tokyo,
00000015,焼鳥・居酒屋 とり,yakitoriizakayatori,3.70,95,1000,1999,10000,14999,1000,1999,3000,3999,yakitori,https://tabelog.com/iwate/A0301/A030101/3000435/,https://tabelog.com/en/iwate/A0301/A030101/3000435/,岩手県盛岡市大通2-6-6 京藤ビル　Ｂ１Ｆ,39.7035213,141.1458024,岩手県,Odori Morioka Iwate,Iwate,
00000016,陽風水,Hifumi,3.53,64,1000,1999,10000,14999,1000,1999,6000,7999,yakitori,https://tabelog.com/fukushima/A0701/A070101/7000600/,https://tabelog.com/en/fukushima/A0701/A070101/7000600/,福島県福島市大町2-18 石屋小路ビル　１Ｆ,37.7549094,140.4670614,福島県,2-18 Ōmachi Fukushima,Fukushima,http://www.hifumi-syamo.com/
00000017,地鶏と酒肴　音音,Jidoritosakananene,3.52,51,1000,1999,10000,14999,1000,1999,4000,4999,yakitori,https://tabelog.com/ibaraki/A0802/A080201/8008741/,https://tabelog.com/en/ibaraki/A0802/A080201/8008741/,茨城県つくば市二の宮1-1-10 101,36.0704787,140.1151206,茨城県,1-chome-1-10 Ninomiya Tsukuba Ibaraki,Ibaraki,http://tsukuba.ch/shop/?id=847
