store_id,store_name,store_name_english,score,review_cnt,tabelog_lunch_budget_min,tabelog_lunch_budget_max,tabelog_dinner_budget_min,tabelog_dinner_budget_max,customer_lunch_budget_min,customer_lunch_budget_max,customer_dinner_budget_min,customer_dinner_budget_max,genre,url,url_english,address,latitude,longitude,prefecture,address_english,prefecture_english,website
00000001,ひょご鳥,Hyogodori,3.76,129,,,6000,7999,,,6000,7999,yakitori,https://tabelog.com/kumamoto/A4301/A430101/43006697/,https://tabelog.com/en/kumamoto/A4301/A430101/43006697/,熊本県熊本市中央区安政町6-3 TM11ビル　１Ｆ,32.8013833,130.7102523,熊本県,6-3 Anseimachi Chuo-ku Kumamoto,Kumamoto,http://hyogodori.com/
00000002,鳥さき,Torisaki,4.05,241,10000,14999,15000,19999,10000,14999,20000,29999,yakitori,https://tabelog.com/kyoto/A2601/A260202/26033122/,https://tabelog.com/en/kyoto/A2601/A260202/26033122/,京都府京都市中京区押小路通室町東入蛸薬師町292-1,35.0123464,135.7584135,京都府,292-1 Takoyakushicho Nakagyo-ku Kyoto,Kyoto,
00000003,鳥多都,Toritatsu,3.39,13,10000,14999,15000,19999,10000,14999,1000,1999,yakitori,https://tabelog.com/ehime/A3802/A380201/38001923/,https://tabelog.com/en/ehime/A3802/A380201/38001923/,愛媛県今治市高橋甲152-6,34.0357542,132.9699982,愛媛県,甲１１９７−１５２−６ Takahashi Imabari Ehime,Ehime,
00000004,吾一,Goichi,3.93,370,8000,9999,10000,14999,10000,14999,10000,14999,yakitori,https://tabelog.com/osaka/A2701/A270102/27112024/,https://tabelog.com/en/osaka/A2701/A270102/27112024/,大阪府大阪市西区江戸堀1-19-12 1F,34.689008,135.4948345,大阪府,1-chome-19-12 Edobori Nishi-ku Osaka,Osaka,
00000005,焼き鳥 貴,Yakitoritaka,3.74,142,8000,9999,8000,9999,10000,14999,10000,14999,yakitori,https://tabelog.com/fukuoka/A4001/A400104/40033935/,https://tabelog.com/en/fukuoka/A4001/A400104/40033935/,福岡県福岡市中央区高砂2-13-7 ミカミビル 1F,33.5766836,130.41018,福岡県,2-chome-13-7 Takasago Chuo-ku Fukuoka,Fukuoka,http://www.yakitori-taka.jp/
00000006,心斎橋かわぐち,Shinsaibashikawaguchi,3.69,454,8000,9999,8000,9999,10000,14999,8000,9999,yakitori,https://tabelog.com/osaka/A2701/A270201/27011662/,https://tabelog.com/en/osaka/A2701/A270201/27011662/,大阪府大阪市中央区東心斎橋1-19-11 ピテカントロプスビル　１F,34.6744402,135.5024723,大阪府,1-chome-19-11 Higashishinsaibashi Chuo-ku Osaka,Osaka,
00000007,鳥喜久,Torikiku,3.58,62,8000,9999,8000,9999,10000,14999,3000,3999,yakitori,https://tabelog.com/nara/A2902/A290203/29001244/,https://tabelog.com/en/nara/A2902/A290203/29001244/,奈良県生駒郡平群町西宮3-2-1,34.6192968,135.7044024,奈良県,Nishinomiya Heguri Ikoma District Nara,Nara,
00000008,焼とり 鳥次,Yakitorichouji,3.71,116,8000,9999,6000,7999,10000,14999,8000,9999,yakitori,https://tabelog.com/fukuoka/A4001/A400105/40004687/,https://tabelog.com/en/fukuoka/A4001/A400105/40004687/,福岡県福岡市中央区大手門1-8-14,33.5895386,130.3814899,福岡県,1-chome-8-14 Ōtemon Chuo-ku Fukuoka,Fukuoka,
00000009,焼鳥と日本酒 地鶏らぼ,yakitoritonihonshujidorirabo,3.77,43,8000,9999,10000,14999,10000,14999,10000,14999,yakitori,https://tabelog.com/kagawa/A3701/A370101/37008870/,https://tabelog.com/en/kagawa/A3701/A370101/37008870/,香川県高松市古馬場町6-22 萱本ビル２F,34.342816,134.0520227,香川県,6-22 Furubabacho Takamatsu Kagawa,Kagawa,
00000010,きく,Kiku,3.50,60,8000,9999,10000,14999,10000,14999,5000,5999,yakitori,https://tabelog.com/wakayama/A3001/A300101/30001062/,https://tabelog.com/en/wakayama/A3001/A300101/30001062/,和歌山県和歌山市新雑賀町45,34.2348938,135.1791075,和歌山県,45 Shinsaikamachi Wakayama,Wakayama,
00000011,焼鳥 やまね,Yakitoriyamane,3.73,141,8000,9999,10000,14999,10000,14999,8000,9999,yakitori,https://tabelog.com/osaka/A2701/A270103/27066479/,https://tabelog.com/en/osaka/A2701/A270103/27066479/,大阪府大阪市北区池田町8-19 第2タナカハイツ 1F,34.7070721,135.5134471,大阪府,8-19 Ikedacho Kita-ku Osaka,Osaka,
00000012,鳥雅,Torimasa,3.75,168,8000,9999,5000,5999,10000,14999,6000,7999,yakitori,https://tabelog.com/miyazaki/A4501/A450101/45007617/,https://tabelog.com/en/miyazaki/A4501/A450101/45007617/,宮崎県宮崎市橘通東1-8-11 常盤25ビル 1F,31.90990579999999,131.4225962,宮崎県,1-chome-8-11 Tachibanadorihigashi Miyazaki,Miyazaki,
