store_id,store_name,store_name_english,score,review_cnt,tabelog_lunch_budget_min,tabelog_lunch_budget_max,tabelog_dinner_budget_min,tabelog_dinner_budget_max,customer_lunch_budget_min,customer_lunch_budget_max,customer_dinner_budget_min,customer_dinner_budget_max,genre,url,url_english,address,latitude,longitude,prefecture,address_english,prefecture_english,website
00000001,ぐりる スズコウ,Gurirusuzukou,3.63,445,1000,1999,1000,1999,2000,2999,1000,1999,yoshoku,https://tabelog.com/tokyo/A1315/A131503/13031132/,https://tabelog.com/en/tokyo/A1315/A131503/13031132/,東京都大田区蒲田5-16-8,35.5621907,139.717287,東京都,5-chome-16-8 Kamata Ota City Tokyo-to,Tokyo,
00000002,ぽん多本家,Pontahonke,3.89,1472,1000,1999,1000,1999,4000,4999,4000,4999,yoshoku,https://tabelog.com/tokyo/A1311/A131101/13003587/,https://tabelog.com/en/tokyo/A1311/A131101/13003587/,東京都台東区上野3-23-3,35.7063597,139.7730055,東京都,3-chome-23-3 Ueno Taito City Tokyo-to,Tokyo,
00000003,洋食コノヨシ 白石駅前店,youshokukonoyoshi,3.59,100,1000,1999,2000,2999,2000,2999,2000,2999,yoshoku,https://tabelog.com/hokkaido/A0101/A010301/1067636/,https://tabelog.com/en/hokkaido/A0101/A010301/1067636/,北海道札幌市白石区東札幌2条6-9-13 ルーブル富士 1F,43.0453403,141.3944719,北海道,6-chome-9-13 Higashisapporo 2 Jo Shiroishi Ward Sapporo Hokkaido,Hokkaido,http://www.conoyoshi.com
00000004,すゞ家 赤門店,Suzuya,3.76,987,1000,1999,2000,2999,1000,1999,2000,2999,yoshoku,https://tabelog.com/aichi/A2301/A230105/23000039/,https://tabelog.com/en/aichi/A2301/A230105/23000039/,愛知県名古屋市中区大須3-11-17,35.16068,136.9050479,愛知県,3-chome-11-17 Ōsu Naka-ku Nagoya Aichi,Aichi,
00000005,フライング ピッグ,Flying pig,3.65,303,1000,1999,3000,3999,1000,1999,4000,4999,yoshoku,https://tabelog.com/chiba/A1203/A120302/12037473/,https://tabelog.com/en/chiba/A1203/A120302/12037473/,千葉県松戸市小根本2-9 吉ビル 1F,35.7867421,139.9026283,千葉県,2-9 Konemoto Matsudo Chiba,Ciba,
00000006,洋食の店 橋本,Youshokunomisehashimoto,3.85,255,1000,1999,3000,3999,6000,7999,15000,19999,yoshoku,https://tabelog.com/kumamoto/A4301/A430101/43000997/,https://tabelog.com/en/kumamoto/A4301/A430101/43000997/,熊本県熊本市中央区上通町1-24 ビアーレビル2F,32.8040067,130.7104734,熊本県,1-24 Kamitoricho Chuo-ku Kumamoto,Kumamoto,
00000007,カジュアルダイニング Bon,kajuarudainingubon,3.52,64,1000,999,1000,1999,1000,1999,1000,1999,yoshoku,https://tabelog.com/ehime/A3802/A380202/38012121/,https://tabelog.com/en/ehime/A3802/A380202/38012121/,愛媛県西条市大町1707-41,33.9173903,133.1831725,愛媛県,1707-41 Ōmachi Saijo Ehime,Ehime,https://odekake.blog/casualdining-bon/
00000008,キッチン兆,Kicchinchou,3.70,368,1000,1999,3000,3999,1000,1999,3000,3999,yoshoku,https://tabelog.com/aichi/A2301/A230106/23063452/,https://tabelog.com/en/aichi/A2301/A230106/23063452/,愛知県名古屋市千種区春岡1-1-7 池下ハイツクローバー 1F,35.16758480000001,136.9423038,愛知県,1-chome-1-7 Haruoka Chikusa-ku Nagoya Aichi,Aichi,
00000009,グリル佐久良,Gurirusakura,3.72,583,2000,2999,2000,2999,3000,3999,3000,3999,yoshoku,https://tabelog.com/tokyo/A1311/A131102/13003755/,https://tabelog.com/en/tokyo/A1311/A131102/13003755/,東京都台東区浅草3-32-4,35.7172937,139.7971135,東京都,3-chome-32-4 Asakusa Taito City Tokyo-to,Tokyo,
00000010,サフラン,Safuran,3.61,85,2000,2999,2000,2999,1000,1999,3000,3999,yoshoku,https://tabelog.com/fukuoka/A4008/A400806/40017105/,https://tabelog.com/en/fukuoka/A4008/A400806/40017105/,福岡県柳川市三橋町蒲船津121-2,33.1638127,130.429541,福岡県,121-2 Mitsuhashimachi Kamafunatsu Yanagawa Fukuoka,Fukuoka,http://www.saffron63.com/
00000011,えいすけ,Eisuke,3.64,195,2000,2999,2000,2999,1000,1999,1000,1999,yoshoku,https://tabelog.com/saitama/A1103/A110302/11035644/,https://tabelog.com/en/saitama/A1103/A110302/11035644/,埼玉県富士見市東みずほ台2-6-7 1F,35.8397092,139.5518013,埼玉県,2-chome-6-7 Higashimizuhodai Fujimi Saitama,Saitama,
